# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.008130617702062335e-06 1.008130479617205015e-06 4.556292956718735958e-08 2.061824026886454723e-06
7.120201309567302239e-01 1.009176232048703102e-06 1.009176093820626487e-06 4.564209088525739506e-08 2.063994416754587056e-06
1.424040261913460448e+00 1.010223473969813974e-06 1.010223335598295505e-06 4.572145868317218361e-08 2.066168268251281531e-06
2.136060392870190672e+00 1.011272346845050694e-06 1.011272208329866755e-06 4.580103367964121913e-08 2.068345588854558781e-06
2.848080523826920896e+00 1.012322854062845111e-06 1.012322715403772086e-06 4.588081659650375584e-08 2.070526386063121019e-06
3.560100654783651120e+00 1.013374999020433985e-06 1.013374860217247197e-06 4.596080815874516649e-08 2.072710667396426157e-06
4.272120785740381343e+00 1.014428785123884602e-06 1.014428646176359589e-06 4.604100909451344639e-08 2.074898440394757253e-06
4.984140916697111123e+00 1.015484215788124640e-06 1.015484076696036090e-06 4.612142013513574368e-08 2.077089712619296639e-06
5.696161047653841791e+00 1.016541294436967997e-06 1.016541155200089964e-06 4.620204201513507509e-08 2.079284491652192824e-06
6.408181178610572459e+00 1.017600024503143382e-06 1.017599885121250132e-06 4.628287547224704814e-08 2.081482785096640972e-06
7.120201309567302239e+00 1.018660409428322054e-06 1.018660269901186371e-06 4.636392124743679525e-08 2.083684600576945578e-06
7.832221440524032019e+00 1.019722452663145353e-06 1.019722312990540443e-06 4.644518008491589449e-08 2.085889945738601783e-06
8.544241571480762687e+00 1.020786157667253916e-06 1.020786017848952140e-06 4.652665273215948896e-08 2.088098828248365678e-06
9.256261702437493355e+00 1.021851527909314792e-06 1.021851387945087874e-06 4.660833993992348549e-08 2.090311255794326303e-06
9.968281833394222247e+00 1.022918566867050020e-06 1.022918426756669472e-06 4.669024246226177986e-08 2.092527236085981034e-06
1.068030196435095291e+01 1.023987278027265010e-06 1.023987137770501711e-06 4.677236105654375996e-08 2.094746776854310540e-06
1.139232209530768358e+01 1.025057664885877129e-06 1.025057524482501744e-06 4.685469648347173613e-08 2.096969885851850787e-06
1.210434222626441425e+01 1.026129730947944076e-06 1.026129590397726636e-06 4.693724950709858987e-08 2.099196570852769268e-06
1.281636235722114492e+01 1.027203479727692682e-06 1.027203339030402582e-06 4.702002089484550198e-08 2.101426839652940813e-06
1.352838248817787381e+01 1.028278914748548133e-06 1.028278773903954345e-06 4.710301141751974690e-08 2.103660700070022126e-06
1.424040261913460448e+01 1.029356039543162344e-06 1.029355898551033416e-06 4.718622184933270534e-08 2.105898159943528446e-06
1.495242275009133515e+01 1.030434857653442547e-06 1.030434716513546604e-06 4.726965296791786379e-08 2.108139227134906810e-06
1.566444288104806404e+01 1.031515372630581574e-06 1.031515231342686316e-06 4.735330555434895951e-08 2.110383909527616526e-06
1.637646301200479471e+01 1.032597588035086441e-06 1.032597446598958724e-06 4.743718039315836381e-08 2.112632215027203707e-06
1.708848314296152537e+01 1.033681507436807363e-06 1.033681365852214040e-06 4.752127827235538590e-08 2.114884151561376663e-06
1.780050327391825604e+01 1.034767134414968244e-06 1.034766992681675322e-06 4.760559998344480173e-08 2.117139727080088480e-06
1.851252340487498671e+01 1.035854472558194418e-06 1.035854330675967270e-06 4.769014632144549535e-08 2.119398949555607329e-06
1.922454353583171738e+01 1.036943525464543992e-06 1.036943383433148200e-06 4.777491808490915978e-08 2.121661826982601590e-06
1.993656366678844449e+01 1.038034296741537486e-06 1.038034154560737365e-06 4.785991607593920308e-08 2.123928367378214392e-06
2.064858379774517516e+01 1.039126790006186428e-06 1.039126647675746290e-06 4.794514110020967423e-08 2.126198578782142386e-06
2.136060392870190583e+01 1.040221008885024900e-06 1.040220866404708211e-06 4.803059396698440078e-08 2.128472469256717485e-06
2.207262405965863650e+01 1.041316957014138127e-06 1.041316814383708142e-06 4.811627548913611324e-08 2.130750046886982250e-06
2.278464419061536717e+01 1.042414638039194244e-06 1.042414495258413581e-06 4.820218648316589382e-08 2.133031319780773745e-06
2.349666432157209783e+01 1.043514055615473301e-06 1.043513912684104156e-06 4.828832776922254562e-08 2.135316296068799771e-06
2.420868445252882850e+01 1.044615213407898396e-06 1.044615070325702118e-06 4.837470017112218029e-08 2.137604983904722721e-06
2.492070458348555917e+01 1.045718115091065744e-06 1.045717971857803892e-06 4.846130451636793804e-08 2.139897391465237931e-06
2.563272471444228984e+01 1.046822764349276015e-06 1.046822620964708880e-06 4.854814163616979362e-08 2.142193526950154576e-06
2.634474484539901695e+01 1.047929164876564406e-06 1.047929021340452277e-06 4.863521236546446161e-08 2.144493398582481210e-06
2.705676497635574762e+01 1.049037320376732404e-06 1.049037176688834935e-06 4.872251754293553330e-08 2.146797014608503282e-06
2.776878510731247829e+01 1.050147234563377219e-06 1.050147090723453430e-06 4.881005801103362019e-08 2.149104383297864018e-06
2.848080523826920896e+01 1.051258911159924822e-06 1.051258767167733308e-06 4.889783461599670266e-08 2.151415512943655057e-06
2.919282536922593962e+01 1.052372353899659374e-06 1.052372209754958308e-06 4.898584820787055797e-08 2.153730411862488451e-06
2.990484550018267029e+01 1.053487566525756689e-06 1.053487422228303607e-06 4.907409964052937365e-08 2.156049088394589836e-06
3.061686563113940096e+01 1.054604552791312819e-06 1.054604408340864834e-06 4.916258977169642038e-08 2.158371550903874239e-06
3.132888576209612808e+01 1.055723316459378146e-06 1.055723171855691736e-06 4.925131946296490353e-08 2.160697807778034600e-06
3.204090589305285874e+01 1.056843861302988300e-06 1.056843716545819520e-06 4.934028957981896037e-08 2.163027867428626893e-06
3.275292602400958941e+01 1.057966191105195288e-06 1.057966046194299770e-06 4.942950099165471674e-08 2.165361738291149748e-06
3.346494615496632008e+01 1.059090309659100740e-06 1.059090164594233266e-06 4.951895457180154229e-08 2.167699428825135509e-06
3.417696628592305075e+01 1.060216220767886400e-06 1.060216075548801544e-06 4.960865119754346454e-08 2.170040947514231547e-06
3.488898641687978142e+01 1.061343928244847587e-06 1.061343782871299284e-06 4.969859175014060277e-08 2.172386302866287507e-06
3.560100654783651208e+01 1.062473435913424532e-06 1.062473290385166296e-06 4.978877711485087987e-08 2.174735503413442125e-06
3.631302667879324275e+01 1.063604747607235838e-06 1.063604601924020337e-06 4.987920818095177388e-08 2.177088557712207935e-06
3.702504680974997342e+01 1.064737867170110033e-06 1.064737721331689720e-06 4.996988584176224820e-08 2.179445474343561901e-06
3.773706694070670409e+01 1.065872798456118176e-06 1.065872652462245295e-06 5.006081099466476781e-08 2.181806261913028424e-06
3.844908707166343476e+01 1.067009545329608168e-06 1.067009399180033479e-06 5.015198454112760010e-08 2.184170929050769128e-06
3.916110720262016542e+01 1.068148111665235241e-06 1.068147965359709927e-06 5.024340738672702298e-08 2.186539484411672225e-06
3.987312733357688899e+01 1.069288501347997322e-06 1.069288354886271298e-06 5.033508044116993009e-08 2.188911936675438484e-06
4.058514746453361965e+01 1.070430718273266376e-06 1.070430571655089554e-06 5.042700461831640951e-08 2.191288294546672293e-06
4.129716759549035032e+01 1.071574766346822706e-06 1.071574619571944366e-06 5.051918083620252764e-08 2.193668566754969745e-06
4.200918772644708099e+01 1.072720649484888204e-06 1.072720502553056989e-06 5.061161001706320568e-08 2.196052762055008425e-06
4.272120785740381166e+01 1.073868371614158960e-06 1.073868224525122665e-06 5.070429308735535425e-08 2.198440889226637198e-06
4.343322798836054233e+01 1.075017936671840624e-06 1.075017789425347045e-06 5.079723097778105428e-08 2.200832957074968531e-06
4.414524811931727299e+01 1.076169348605680383e-06 1.076169201201476469e-06 5.089042462331089672e-08 2.203228974430467861e-06
4.485726825027400366e+01 1.077322611374002325e-06 1.077322463811834601e-06 5.098387496320757379e-08 2.205628950149044646e-06
4.556928838123073433e+01 1.078477728945740049e-06 1.078477581225354617e-06 5.107758294104941715e-08 2.208032893112143845e-06
4.628130851218746500e+01 1.079634705300472240e-06 1.079634557421614355e-06 5.117154950475434652e-08 2.210440812226840790e-06
4.699332864314419567e+01 1.080793544428455917e-06 1.080793396390870410e-06 5.126577560660378505e-08 2.212852716425930118e-06
4.770534877410092633e+01 1.081954250330661157e-06 1.081954102134092225e-06 5.136026220326673363e-08 2.215268614668020222e-06
4.841736890505765700e+01 1.083116827018805618e-06 1.083116678662997457e-06 5.145501025582415617e-08 2.217688515937627265e-06
4.912938903601438767e+01 1.084281278515389475e-06 1.084281130000084798e-06 5.155002072979335162e-08 2.220112429245267935e-06
4.984140916697111834e+01 1.085447608853729723e-06 1.085447460178671455e-06 5.164529459515255767e-08 2.222540363627553888e-06
5.055342929792784901e+01 1.086615822077995545e-06 1.086615673242925766e-06 5.174083282636566026e-08 2.224972328147287037e-06
5.126544942888457967e+01 1.087785922243242827e-06 1.087785773247902980e-06 5.183663640240724725e-08 2.227408331893552730e-06
5.197746955984130324e+01 1.088957913415450157e-06 1.088957764259581261e-06 5.193270630678754292e-08 2.229848383981818848e-06
5.268948969079803391e+01 1.090131799671553127e-06 1.090131650354895778e-06 5.202904352757771312e-08 2.232292493554026440e-06
5.340150982175476457e+01 1.091307585099481396e-06 1.091307435621775344e-06 5.212564905743526960e-08 2.234740669778692215e-06
5.411352995271149524e+01 1.092485273798191932e-06 1.092485124159176289e-06 5.222252389362963323e-08 2.237192921850997900e-06
5.482555008366822591e+01 1.093664869877706281e-06 1.093664720077119951e-06 5.231966903806784277e-08 2.239649258992894008e-06
5.553757021462495658e+01 1.094846377459146994e-06 1.094846227496728031e-06 5.241708549732050846e-08 2.242109690453195547e-06
5.624959034558168725e+01 1.096029800674772138e-06 1.096029650550258386e-06 5.251477428264785833e-08 2.244574225507678582e-06
