# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 8.534026673788442443e-06
7.057083005703900236e-01 8.542816320881055388e-06
1.411416601140780047e+00 8.551619554317603465e-06
2.117124901711170182e+00 8.560436402113381224e-06
2.822833202281560094e+00 8.569266892355919881e-06
3.528541502851950007e+00 8.578111053205222792e-06
4.234249803422340364e+00 8.586968912893994148e-06
4.939958103992729832e+00 8.595840499727854127e-06
5.645666404563120189e+00 8.604725842085570977e-06
6.351374705133510545e+00 8.613624968419288021e-06
7.057083005703900014e+00 8.622537907254740501e-06
7.762791306274290370e+00 8.631464687191513072e-06
8.468499606844680727e+00 8.640405336903231233e-06
9.174207907415070196e+00 8.649359885137820520e-06
9.879916207985459664e+00 8.658328360717714874e-06
1.058562450855585091e+01 8.667310792540122610e-06
1.129133280912624038e+01 8.676307209577219543e-06
1.199704110969662985e+01 8.685317640876404790e-06
1.270274941026702109e+01 8.694342115560531160e-06
1.340845771083741056e+01 8.703380662828144024e-06
1.411416601140780003e+01 8.712433311953713395e-06
1.481987431197819127e+01 8.721500092287862632e-06
1.552558261254858074e+01 8.730581033257625936e-06
1.623129091311897199e+01 8.739676164366671967e-06
1.693699921368936145e+01 8.748785515195546094e-06
1.764270751425975092e+01 8.757909115401912650e-06
1.834841581483014039e+01 8.767046994720800566e-06
1.905412411540052986e+01 8.776199182964840548e-06
1.975983241597091933e+01 8.785365710024502236e-06
2.046554071654131235e+01 8.794546605868350020e-06
2.117124901711170182e+01 8.803741900543288668e-06
2.187695731768209129e+01 8.812951624174793726e-06
2.258266561825248075e+01 8.822175806967172404e-06
2.328837391882287022e+01 8.831414479203802435e-06
2.399408221939325969e+01 8.840667671247396354e-06
2.469979051996364916e+01 8.849935413540230194e-06
2.540549882053404218e+01 8.859217736604402678e-06
2.611120712110443165e+01 8.868514671042089330e-06
2.681691542167482112e+01 8.877826247535799975e-06
2.752262372224521059e+01 8.887152496848610821e-06
2.822833202281560006e+01 8.896493449824438901e-06
2.893404032338598952e+01 8.905849137388299573e-06
2.963974862395638254e+01 8.915219590546533520e-06
3.034545692452677201e+01 8.924604840387099825e-06
3.105116522509716148e+01 8.934004918079806366e-06
3.175687352566755095e+01 8.943419854876591031e-06
3.246258182623794397e+01 8.952849682111763965e-06
3.316829012680832989e+01 8.962294431202268461e-06
3.387399842737872291e+01 8.971754133647957092e-06
3.457970672794910882e+01 8.981228821031844123e-06
3.528541502851950185e+01 8.990718525020368097e-06
3.599112332908988776e+01 9.000223277363664573e-06
3.669683162966028078e+01 9.009743109895813467e-06
3.740253993023067380e+01 9.019278054535138895e-06
3.810824823080105972e+01 9.028828143284437876e-06
3.881395653137145274e+01 9.038393408231276793e-06
3.951966483194183866e+01 9.047973881548243807e-06
4.022537313251223168e+01 9.057569595493238543e-06
4.093108143308262470e+01 9.067180582409719425e-06
4.163678973365301061e+01 9.076806874726995054e-06
4.234249803422340364e+01 9.086448504960493566e-06
4.304820633479378955e+01 9.096105505712031984e-06
4.375391463536418257e+01 9.105777909670092357e-06
4.445962293593456849e+01 9.115465749610104665e-06
4.516533123650496151e+01 9.125169058394722954e-06
4.587103953707535453e+01 9.134887868974098077e-06
4.657674783764574045e+01 9.144622214386160608e-06
4.728245613821613347e+01 9.154372127756900358e-06
4.798816443878651938e+01 9.164137642300657758e-06
4.869387273935691240e+01 9.173918791320393213e-06
4.939958103992729832e+01 9.183715608207980178e-06
5.010528934049769134e+01 9.193528126444477900e-06
5.081099764106808436e+01 9.203356379600438045e-06
5.151670594163847028e+01 9.213200401336175748e-06
5.222241424220886330e+01 9.223060225402060996e-06
5.292812254277924922e+01 9.232935885638804917e-06
5.363383084334964224e+01 9.242827415977766415e-06
5.433953914392003526e+01 9.252734850441216439e-06
5.504524744449042117e+01 9.262658223142656468e-06
5.575095574506081419e+01 9.272597568287103116e-06
5.645666404563120011e+01 9.282552920171367649e-06
5.716237234620159313e+01 9.292524313184381251e-06
5.786808064677197905e+01 9.302511781807459295e-06
5.857378894734237207e+01 9.312515360614633379e-06
5.927949724791276509e+01 9.322535084272924073e-06
5.998520554848315101e+01 9.332570987542649238e-06
6.069091384905354403e+01 9.342623105277727264e-06
6.139662214962392994e+01 9.352691472425987083e-06
6.210233045019432296e+01 9.362776124029454467e-06
6.280803875076470888e+01 9.372877095224672208e-06
6.351374705133510190e+01 9.382994421242989801e-06
6.421945535190549492e+01 9.393128137410902256e-06
6.492516365247588794e+01 9.403278279150319459e-06
6.563087195304626675e+01 9.413444881978893123e-06
6.633658025361665977e+01 9.423627981510347132e-06
6.704228855418705280e+01 9.433827613454748591e-06
6.774799685475744582e+01 9.444043813618853417e-06
6.845370515532783884e+01 9.454276617906406187e-06
6.915941345589821765e+01 9.464526062318463705e-06
6.986512175646861067e+01 9.474792182953706711e-06
7.057083005703900369e+01 9.485075016008751587e-06
7.127653835760939671e+01 9.495374597778482396e-06
7.198224665817977552e+01 9.505690964656365980e-06
7.268795495875016854e+01 9.516024153134767049e-06
7.339366325932056156e+01 9.526374199805278533e-06
7.409937155989095459e+01 9.536741141359041755e-06
7.480507986046134761e+01 9.547125014587078468e-06
7.551078816103172642e+01 9.557525856380605952e-06
7.621649646160211944e+01 9.567943703731369054e-06
7.692220476217251246e+01 9.578378593731975608e-06
7.762791306274290548e+01 9.588830563576221697e-06
7.833362136331329850e+01 9.599299650559418612e-06
7.903932966388367731e+01 9.609785892078729966e-06
7.974503796445407033e+01 9.620289325633512201e-06
8.045074626502446336e+01 9.630809988825638160e-06
8.115645456559485638e+01 9.641347919359834201e-06
8.186216286616524940e+01 9.651903155044032565e-06
8.256787116673562821e+01 9.662475733789686471e-06
8.327357946730602123e+01 9.673065693612144505e-06
8.397928776787641425e+01 9.683673072630955553e-06
8.468499606844680727e+01 9.694297909070227943e-06
8.539070436901718608e+01 9.704940241258991972e-06
8.609641266958757910e+01 9.715600107631508229e-06
8.680212097015797212e+01 9.726277546727641983e-06
8.750782927072836515e+01 9.736972597193205384e-06
8.821353757129875817e+01 9.747685297780308135e-06
8.891924587186913698e+01 9.758415687347699692e-06
8.962495417243953000e+01 9.769163804861131795e-06
9.033066247300992302e+01 9.779929689393700672e-06
9.103637077358031604e+01 9.790713380126228198e-06
9.174207907415070906e+01 9.801514916347580384e-06
9.244778737472108787e+01 9.812334337455053622e-06
9.315349567529148089e+01 9.823171682954728748e-06
9.385920397586187391e+01 9.834026992461821707e-06
9.456491227643226694e+01 9.844900305701057949e-06
9.527062057700265996e+01 9.855791662507019707e-06
9.597632887757303877e+01 9.866701102824525471e-06
9.668203717814343179e+01 9.877628666709006069e-06
9.738774547871382481e+01 9.888574394326836705e-06
9.809345377928421783e+01 9.899538325955738451e-06
9.879916207985459664e+01 9.910520501985137392e-06
9.950487038042498966e+01 9.921520962916539010e-06
1.002105786809953827e+02 9.932539749363889024e-06
1.009162869815657757e+02 9.943576902053966412e-06
1.016219952821361687e+02 9.954632461826756106e-06
1.023277035827065475e+02 9.965706469635816602e-06
1.030334118832769406e+02 9.976798966548666210e-06
1.037391201838473336e+02 9.987909993747160828e-06
1.044448284844177266e+02 9.999039592527888664e-06
1.051505367849881196e+02 1.001018780430252768e-05
1.058562450855584984e+02 1.002135467059825724e-05
1.065619533861288915e+02 1.003254023305813930e-05
1.072676616866992845e+02 1.004374453344148601e-05
1.079733699872696775e+02 1.005496761362427812e-05
1.086790782878400705e+02 1.006620951559953433e-05
1.093847865884104493e+02 1.007747028147771785e-05
1.100904948889808423e+02 1.008874995348713109e-05
1.107962031895512354e+02 1.010004857397429688e-05
1.115019114901216284e+02 1.011136618540436328e-05
1.122076197906920072e+02 1.012270283036152211e-05
1.129133280912624002e+02 1.013405855154937306e-05
1.136190363918327932e+02 1.014543339179135407e-05
1.143247446924031863e+02 1.015682739403112926e-05
1.150304529929735793e+02 1.016824060133301408e-05
1.157361612935439581e+02 1.017967305688235656e-05
1.164418695941143511e+02 1.019112480398595907e-05
1.171475778946847441e+02 1.020259588607248998e-05
1.178532861952551372e+02 1.021408634669290046e-05
1.185589944958255302e+02 1.022559622952081913e-05
1.192647027963959090e+02 1.023712557835297899e-05
1.199704110969663020e+02 1.024867443710964433e-05
1.206761193975366950e+02 1.026024284983500713e-05
1.213818276981070881e+02 1.027183086069762246e-05
1.220875359986774811e+02 1.028343851399082349e-05
