# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 7.5761034172e+01 -1.9492120282e-14 0.0000000000e+00 -1.9492120282e-14 7.5761034172e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045191328e+01
0.30400000 7.5761685984e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5761685984e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045203810e+01
0.60800000 7.5763641498e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5763641498e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045241259e+01
0.91200000 7.5766900943e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5766900943e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045303673e+01
1.21600000 7.5771464705e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5771464705e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045391055e+01
1.52000000 7.5777333322e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5777333322e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045503403e+01
1.82400000 7.5784507486e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5784507486e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045640721e+01
2.12800000 7.5792988044e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5792988044e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045803010e+01
2.43200000 7.5802775998e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5802775998e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045990271e+01
2.73600000 7.5813872504e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5813872504e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046202506e+01
3.04000000 7.5826278873e+01 -1.9572334769e-14 0.0000000000e+00 -1.9572334769e-14 7.5826278873e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046439719e+01
3.34400000 7.5839996573e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5839996573e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046701911e+01
3.64800000 7.5855027226e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5855027226e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046989085e+01
