# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 7.5761034172e+01 -1.9492120282e-14 0.0000000000e+00 -1.9492120282e-14 7.5761034172e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045191328e+01
0.15200000 7.5761197124e+01 -1.9492120282e-14 0.0000000000e+00 -1.9492120282e-14 7.5761197124e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045194448e+01
0.30400000 7.5761685984e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5761685984e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045203810e+01
0.45600000 7.5762500768e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5762500768e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045219414e+01
0.60800000 7.5763641498e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5763641498e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045241259e+01
0.76000000 7.5765108209e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5765108209e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045269345e+01
0.91200000 7.5766900943e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5766900943e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045303673e+01
1.06400000 7.5769019755e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5769019755e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045344243e+01
1.21600000 7.5771464705e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5771464705e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045391055e+01
1.36800000 7.5774235867e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5774235867e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045444108e+01
1.52000000 7.5777333322e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5777333322e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045503403e+01
1.67200000 7.5780757161e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5780757161e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045568941e+01
1.82400000 7.5784507486e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5784507486e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045640721e+01
1.97600000 7.5788584407e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5788584407e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045718744e+01
2.12800000 7.5792988044e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5792988044e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045803010e+01
2.28000000 7.5797718528e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5797718528e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045893519e+01
2.43200000 7.5802775998e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5802775998e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8045990271e+01
2.58400000 7.5808160604e+01 -1.9572334769e-14 0.0000000000e+00 -1.9572334769e-14 7.5808160604e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046093267e+01
2.73600000 7.5813872504e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5813872504e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046202506e+01
2.88800000 7.5819911867e+01 -1.9572334769e-14 0.0000000000e+00 -1.9572334769e-14 7.5819911867e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046317990e+01
3.04000000 7.5826278873e+01 -1.9572334769e-14 0.0000000000e+00 -1.9572334769e-14 7.5826278873e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046439719e+01
3.19200000 7.5832973709e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5832973709e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046567692e+01
3.34400000 7.5839996573e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5839996573e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046701911e+01
3.49600000 7.5847347673e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5847347673e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046842375e+01
3.64800000 7.5855027226e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5855027226e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8046989085e+01
3.80000000 7.5863035461e+01 -2.0133836176e-14 0.0000000000e+00 -2.0133836176e-14 7.5863035461e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8047142042e+01
3.95200000 7.5871372613e+01 -1.9492120282e-14 0.0000000000e+00 -1.9492120282e-14 7.5871372613e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8047301245e+01
4.10400000 7.5880038930e+01 -2.0133836176e-14 0.0000000000e+00 -2.0133836176e-14 7.5880038930e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8047466696e+01
4.25600000 7.5889034669e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5889034669e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8047638395e+01
4.40800000 7.5898360097e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5898360097e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8047816342e+01
4.56000000 7.5908015490e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5908015490e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8048000538e+01
4.71200000 7.5918001134e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5918001134e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8048190983e+01
4.86400000 7.5928317327e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5928317327e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8048387677e+01
5.01600000 7.5938964373e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5938964373e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8048590623e+01
5.16800000 7.5949942591e+01 -2.0214050663e-14 0.0000000000e+00 -2.0214050663e-14 7.5949942591e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8048799819e+01
