# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.184596531817836296e-04 1.184596531817848358e-04 2.228955730300867259e-05 2.592088636665771414e-04
1.519999999999999962e-01 1.188126768721294724e-04 1.188126768721306785e-04 2.231119898266430661e-05 2.599365527269244507e-04
3.039999999999999925e-01 1.191673560432897870e-04 1.191673560432909932e-04 2.233287219486057427e-05 2.606675842814413341e-04
4.559999999999999609e-01 1.195237011641162164e-04 1.195237011641174361e-04 2.235457700088232523e-05 2.614019793291159845e-04
6.079999999999999849e-01 1.198817227864777636e-04 1.198817227864789833e-04 2.237631346216331079e-05 2.621397590351200678e-04
7.600000000000000089e-01 1.202414315460521106e-04 1.202414315460533303e-04 2.239808164028671579e-05 2.628809447323921466e-04
9.119999999999999218e-01 1.206028381631253936e-04 1.206028381631266269e-04 2.241988159698552453e-05 2.636255579232375823e-04
1.064000000000000057e+00 1.209659534434013022e-04 1.209659534434025219e-04 2.244171339414299853e-05 2.643736202809468159e-04
1.215999999999999970e+00 1.213307882788185952e-04 1.213307882788198285e-04 2.246357709379306612e-05 2.651251536514314831e-04
1.367999999999999883e+00 1.216973536483786315e-04 1.216973536483798647e-04 2.248547275812081715e-05 2.658801800548793405e-04
1.520000000000000018e+00 1.220656606189812759e-04 1.220656606189825228e-04 2.250740044946292987e-05 2.666387216874267557e-04
1.671999999999999931e+00 1.224357203462707810e-04 1.224357203462720007e-04 2.252936023030809783e-05 2.674008009228509303e-04
1.823999999999999844e+00 1.228075440754908829e-04 1.228075440754921297e-04 2.255135216329747034e-05 2.681664403142804999e-04
1.975999999999999979e+00 1.231811431423497378e-04 1.231811431423510117e-04 2.257337631122513361e-05 2.689356625959259204e-04
2.128000000000000114e+00 1.235565289738944526e-04 1.235565289738956994e-04 2.259543273703853425e-05 2.697084906848286659e-04
2.279999999999999805e+00 1.239337130893952926e-04 1.239337130893965666e-04 2.261752150383892647e-05 2.704849476826307552e-04
2.431999999999999940e+00 1.243127071012406634e-04 1.243127071012419102e-04 2.263964267488184309e-05 2.712650568773643895e-04
2.584000000000000075e+00 1.246935227158409826e-04 1.246935227158422566e-04 2.266179631357751901e-05 2.720488417452607819e-04
2.735999999999999766e+00 1.250761717345442081e-04 1.250761717345454820e-04 2.268398248349137237e-05 2.728363259525810490e-04
2.887999999999999901e+00 1.254606660545605533e-04 1.254606660545618273e-04 2.270620124834444494e-05 2.736275333574668357e-04
3.040000000000000036e+00 1.258470176698985065e-04 1.258470176698997804e-04 2.272845267201387652e-05 2.744224880118121363e-04
3.191999999999999726e+00 1.262352386723111764e-04 1.262352386723124774e-04 2.275073681853332844e-05 2.752212141631569619e-04
3.343999999999999861e+00 1.266253412522537784e-04 1.266253412522550523e-04 2.277305375209348837e-05 2.760237362566023665e-04
3.495999999999999996e+00 1.270173376998513391e-04 1.270173376998526402e-04 2.279540353704250403e-05 2.768300789367465070e-04
3.647999999999999687e+00 1.274112404058783815e-04 1.274112404058797097e-04 2.281778623788646766e-05 2.776402670496445554e-04
3.799999999999999822e+00 1.278070618627493707e-04 1.278070618627506988e-04 2.284020191928983281e-05 2.784543256447898616e-04
3.951999999999999957e+00 1.282048146655205166e-04 1.282048146655218176e-04 2.286265064607595639e-05 2.792722799771183177e-04
4.104000000000000092e+00 1.286045115129032322e-04 1.286045115129045332e-04 2.288513248322750527e-05 2.800941555090352740e-04
4.256000000000000227e+00 1.290061652082894091e-04 1.290061652082907372e-04 2.290764749588695772e-05 2.809199779124670667e-04
4.407999999999999474e+00 1.294097886607882401e-04 1.294097886607895682e-04 2.293019574935707436e-05 2.817497730709348793e-04
4.559999999999999609e+00 1.298153948862751849e-04 1.298153948862765402e-04 2.295277730910133524e-05 2.825835670816530536e-04
4.711999999999999744e+00 1.302229970084531601e-04 1.302229970084545154e-04 2.297539224074446836e-05 2.834213862576521201e-04
4.863999999999999879e+00 1.306326082599260075e-04 1.306326082599273356e-04 2.299804061007289016e-05 2.842632571299262773e-04
5.016000000000000014e+00 1.310442419832842686e-04 1.310442419832855967e-04 2.302072248303521710e-05 2.851092064496051027e-04
5.168000000000000149e+00 1.314579116322038880e-04 1.314579116322052432e-04 2.304343792574267566e-05 2.859592611901518272e-04
5.320000000000000284e+00 1.318736307725574934e-04 1.318736307725588757e-04 2.306618700446967828e-05 2.868134485495860034e-04
5.471999999999999531e+00 1.322914130835389844e-04 1.322914130835403125e-04 2.308896978565423333e-05 2.876717959527334964e-04
5.623999999999999666e+00 1.327112723588008334e-04 1.327112723588021615e-04 2.311178633589849066e-05 2.885343310535015194e-04
5.775999999999999801e+00 1.331332225076048306e-04 1.331332225076062130e-04 2.313463672196913452e-05 2.894010817371801781e-04
5.927999999999999936e+00 1.335572775559869512e-04 1.335572775559883065e-04 2.315752101079798675e-05 2.902720761227732343e-04
6.080000000000000071e+00 1.339834516479349610e-04 1.339834516479363163e-04 2.318043926948241327e-05 2.911473425653536974e-04
6.232000000000000206e+00 1.344117590465805786e-04 1.344117590465819610e-04 2.320339156528587304e-05 2.920269096584483652e-04
6.383999999999999453e+00 1.348422141354054871e-04 1.348422141354068695e-04 2.322637796563833471e-05 2.929108062364506608e-04
6.535999999999999588e+00 1.352748314194616042e-04 1.352748314194629866e-04 2.324939853813686285e-05 2.937990613770614977e-04
6.687999999999999723e+00 1.357096255266057984e-04 1.357096255266072079e-04 2.327245335054605496e-05 2.946917044037590376e-04
6.839999999999999858e+00 1.361466112087494592e-04 1.361466112087508415e-04 2.329554247079855989e-05 2.955887648882988064e-04
6.991999999999999993e+00 1.365858033431221889e-04 1.365858033431236254e-04 2.331866596699557587e-05 2.964902726532414037e-04
7.144000000000000128e+00 1.370272169335518930e-04 1.370272169335533024e-04 2.334182390740734521e-05 2.973962577745125203e-04
7.295999999999999375e+00 1.374708671117585317e-04 1.374708671117599412e-04 2.336501636047366587e-05 2.983067505839921219e-04
7.447999999999999510e+00 1.379167691386645408e-04 1.379167691386659774e-04 2.338824339480440647e-05 2.992217816721349653e-04
7.599999999999999645e+00 1.383649384057205126e-04 1.383649384057219491e-04 2.341150507918000437e-05 3.001413818906224491e-04
7.751999999999999780e+00 1.388153904362465167e-04 1.388153904362479532e-04 2.343480148255194334e-05 3.010655823550463929e-04
7.903999999999999915e+00 1.392681408867897923e-04 1.392681408867912560e-04 2.345813267404332284e-05 3.019944144476243678e-04
8.055999999999999162e+00 1.397232055484989204e-04 1.397232055485003570e-04 2.348149872294934246e-05 3.029279098199485825e-04
8.208000000000000185e+00 1.401806003485140686e-04 1.401806003485155051e-04 2.350489969873781018e-05 3.038661003957673500e-04
8.359999999999999432e+00 1.406403413513745569e-04 1.406403413513760206e-04 2.352833567104965055e-05 3.048090183738002179e-04
8.512000000000000455e+00 1.411024447604429305e-04 1.411024447604443670e-04 2.355180670969945700e-05 3.057566962305867104e-04
8.663999999999999702e+00 1.415669269193467038e-04 1.415669269193481675e-04 2.357531288467598309e-05 3.067091667233708477e-04
8.815999999999998948e+00 1.420338043134373454e-04 1.420338043134388090e-04 2.359885426614266769e-05 3.076664628930188424e-04
8.967999999999999972e+00 1.425030935712668788e-04 1.425030935712683425e-04 2.362243092443818383e-05 3.086286180669733882e-04
9.119999999999999218e+00 1.429748114660829713e-04 1.429748114660844621e-04 2.364604293007690290e-05 3.095956658622443227e-04
9.272000000000000242e+00 1.434489749173414495e-04 1.434489749173429403e-04 2.366969035374949772e-05 3.105676401884338773e-04
9.423999999999999488e+00 1.439256009922381145e-04 1.439256009922396053e-04 2.369337326632342706e-05 3.115445752508011739e-04
9.576000000000000512e+00 1.444047069072587717e-04 1.444047069072602624e-04 2.371709173884348112e-05 3.125265055533625017e-04
9.727999999999999758e+00 1.448863100297481253e-04 1.448863100297496161e-04 2.374084584253227618e-05 3.135134659020300278e-04
9.879999999999999005e+00 1.453704278794988938e-04 1.453704278795003846e-04 2.376463564879086450e-05 3.145054914077901904e-04
1.003200000000000003e+01 1.458570781303588954e-04 1.458570781303604133e-04 2.378846122919919508e-05 3.155026174899185206e-04
1.018399999999999928e+01 1.463462786118596281e-04 1.463462786118611188e-04 2.381232265551672353e-05 3.165048798792374535e-04
1.033600000000000030e+01 1.468380473108634441e-04 1.468380473108649620e-04 2.383621999968285252e-05 3.175123146214112722e-04
1.048799999999999955e+01 1.473324023732323538e-04 1.473324023732338988e-04 2.386015333381758571e-05 3.185249580802838247e-04
1.064000000000000057e+01 1.478293621055165618e-04 1.478293621055181068e-04 2.388412273022200546e-05 3.195428469412566266e-04
1.079199999999999982e+01 1.483289449766643086e-04 1.483289449766658265e-04 2.390812826137883186e-05 3.205660182147089770e-04
1.094399999999999906e+01 1.488311696197532595e-04 1.488311696197548045e-04 2.393216999995298182e-05 3.215945092394610627e-04
1.109600000000000009e+01 1.493360548337426842e-04 1.493360548337442563e-04 2.395624801879208399e-05 3.226283576862790212e-04
1.124799999999999933e+01 1.498436195852484855e-04 1.498436195852500305e-04 2.398036239092707854e-05 3.236676015614255945e-04
1.140000000000000036e+01 1.503538830103393965e-04 1.503538830103409686e-04 2.400451318957275243e-05 3.247122792102531208e-04
1.155199999999999960e+01 1.508668644163564351e-04 1.508668644163580071e-04 2.402870048812827815e-05 3.257624293208427136e-04
1.170399999999999885e+01 1.513825832837546650e-04 1.513825832837562371e-04 2.405292436017777950e-05 3.268180909276887053e-04
1.185599999999999987e+01 1.519010592679686741e-04 1.519010592679702462e-04 2.407718487949090763e-05 3.278793034154298212e-04
1.200799999999999912e+01 1.524223122013006041e-04 1.524223122013022033e-04 2.410148212002338988e-05 3.289461065226262143e-04
1.216000000000000014e+01 1.529463620948329542e-04 1.529463620948345263e-04 2.412581615591759561e-05 3.300185403455850727e-04
1.231199999999999939e+01 1.534732291403647763e-04 1.534732291403663755e-04 2.415018706150308167e-05 3.310966453422342572e-04
1.246400000000000041e+01 1.540029337123731868e-04 1.540029337123748131e-04 2.417459491129720229e-05 3.321804623360452157e-04
1.261599999999999966e+01 1.545354963699987301e-04 1.545354963700003293e-04 2.419903978000564101e-05 3.332700325200047410e-04
1.276799999999999891e+01 1.550709378590567366e-04 1.550709378590583358e-04 2.422352174252299681e-05 3.343653974606381201e-04
1.291999999999999993e+01 1.556092791140740235e-04 1.556092791140756498e-04 2.424804087393337028e-05 3.354665991020830233e-04
