z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-18.10803148306344,1.7094488586924292e-07,3.762156255202734e-09,1.671827296140402e-07,1.3510853117010887e-08,-2.4465495360587894e-07
-18.027216597768753,2.0096922260888946e-07,2.0895465445686574e-08,1.800737571632029e-07,2.8063493146737972e-08,-5.069985474911291e-07
-17.94640171247407,1.731681721065461e-07,-2.070272945703733e-09,1.7523844505224983e-07,4.2225367982854386e-08,-7.611532423018522e-07
-17.865586827179385,1.9628611396874904e-07,9.394026873588932e-09,1.868920870951601e-07,5.73290305639339e-08,-1.0309890375525487e-06
-17.7847719418847,1.731031945483235e-07,-8.37837343659051e-09,1.81481567984914e-07,7.199544266373419e-08,-1.291827831953195e-06
-17.703957056590014,1.885029906084599e-07,-3.0544394247541262e-09,1.91557430033214e-07,8.74761343992129e-08,-1.565897333644418e-06
-17.62314217129533,1.7074519279847262e-07,-1.5077669501446405e-08,1.8582286229991903e-07,1.0249338770111079e-07,-1.8305485236061186e-06
-17.54232728600065,1.7784985166631607e-07,-1.619531041484958e-08,1.9404516208116566e-07,1.1817512521668862e-07,-2.10564269551754e-06
-17.461512400705963,1.6612639809646954e-07,-2.2088410658084087e-08,1.882148087545536e-07,1.3338568339694882e-07,-2.371242045803813e-06
-17.380697515411278,1.6459758056475857e-07,-2.97556128166233e-08,1.9435319338138186e-07,1.490923144267208e-07,-2.6442342487184522e-06
-17.299882630116592,1.5931534856848234e-07,-2.9321558383272324e-08,1.8863690695175467e-07,1.6433698442437088e-07,-2.9079652504126587e-06
-17.21906774482191,1.4906647715657084e-07,-4.3435047760078434e-08,1.9250152491664927e-07,1.7989397307956172e-07,-3.1758420919718154e-06
-17.138252859527224,1.5041000858101676e-07,-3.669099387198329e-08,1.8710100245300006e-07,1.9501451913132137e-07,-3.4349818335809983e-06
-17.057437974232542,1.316214674668938e-07,-5.695302528679344e-08,1.8857449275368726e-07,2.1025414513271388e-07,-3.694930808850253e-06
-16.976623088937856,1.3956209977284536e-07,-4.411499971938323e-08,1.8367709949222858e-07,2.2509798885943868e-07,-3.946929148989954e-06
-16.895808203643174,1.126762820041444e-07,-7.000926809476558e-08,1.8268555009890998e-07,2.398617006356784e-07,-4.1963739915351685e-06
-16.814993318348492,1.2692784230246895e-07,-5.1499340143059e-08,1.7842718244552793e-07,2.5428127291846745e-07,-4.43883900312371e-06
-16.734178433053806,9.26368634188931e-08,-8.234387369665443e-08,1.7498073711554752e-07,2.6842232111723976e-07,-4.675477826912379e-06
-16.65336354775912,1.1270981681506184e-07,-5.875506230353829e-08,1.7146487911860012e-07,2.822792356552763e-07,-4.906242062364531e-06
-16.572548662464435,7.193533137179447e-08,-9.368945896199441e-08,1.6562479033378888e-07,2.956641840880576e-07,-5.128064771611376e-06
-16.491733777169753,9.71359754847905e-08,-6.57768952129721e-08,1.629128706977626e-07,3.0882996904652507e-07,-5.345191392113886e-06
-16.410918891875067,5.101182317472616e-08,-1.0379649082450562e-07,1.548083139992318e-07,3.2134078518503644e-07,-5.550505381034159e-06
-16.330104006580385,8.0462034351336e-08,-7.247464700159657e-08,1.5293668135293258e-07,3.337003455459234e-07,-5.75233828720305e-06
-16.2492891212857,3.0283793707172235e-08,-1.1245219184470752e-07,1.4273598555187975e-07,3.4523553784572227e-07,-5.939776961952111e-06
-16.168474235991013,6.295352982539885e-08,-7.874899147173955e-08,1.417025212971384e-07,3.5668721085031805e-07,-6.124933041885912e-06
-16.08765935069633,1.0174117578653177e-08,-1.1947124067901416e-07,1.2964535825766734e-07,3.671644856068997e-07,-6.293487869093447e-06
-16.006844465401645,4.488804037563363e-08,-8.44783723489546e-08,1.2936641272458823e-07,3.776192174122221e-07,-6.460835135028731e-06
-15.926029580106963,-8.954173754604584e-09,-1.246907759126886e-07,1.1573660215808402e-07,3.869724576400242e-07,-6.609795115566553e-06
-15.845214694812277,2.655855975179873e-08,-8.955916567154805e-08,1.1611772542334679e-07,3.963564983007916e-07,-6.758487254541261e-06
-15.764399809517595,-2.6736541405320475e-08,-1.2798118750772966e-07,1.0124464610240919e-07,4.045385727622587e-07,-6.887472747623072e-06
-15.68358492422291,8.281391698346948e-09,-9.387797564314267e-08,1.0215936734148962e-07,4.127945703157387e-07,-7.016956386387252e-06
-15.602770038928226,-4.288309226768502e-08,-1.2925428318272824e-07,8.637119091504322e-08,4.197746482023032e-07,-7.125864936505126e-06
-15.52195515363354,-9.660237596524768e-09,-9.732258287988238e-08,8.76623452833576e-08,4.268590705810408e-07,-7.2358290229572885e-06
-15.441140268338856,-5.71464087212246e-08,-1.284645308077667e-07,7.13181220865421e-08,4.32622636436897e-07,-7.3248250517833726e-06
-15.36032538304417,-2.698321413354212e-08,-9.976296049718076e-08,7.277974636363864e-08,4.3850432329105066e-07,-7.4151696756643465e-06
-15.279510497749488,-6.931078624693784e-08,-1.255939115941986e-07,5.628312534726075e-08,4.430528376100159e-07,-7.48466874795014e-06
-15.198695612454804,-4.3400750936961164e-08,-1.0110677296663994e-07,5.770602202967878e-08,4.477163431611569e-07,-7.555547949308925e-06
-15.117880727160118,-7.926463973422727e-08,-1.206602689475834e-07,4.1395629213356125e-08,4.5106172618773557e-07,-7.606123050891407e-06
-15.037065841865434,-5.86589299031136e-08,-1.0122748030522542e-07,4.2568550402111816e-08,4.5450189870564325e-07,-7.65785315155056e-06
-14.956250956570749,-8.691494207821796e-08,-1.1372787486335426e-07,2.68129327851363e-08,4.566687827930881e-07,-7.690261613756186e-06
-14.875436071276065,-7.25243819202658e-08,-1.0002829664068425e-07,2.7503914720418447e-08,4.588915085063735e-07,-7.723325628008145e-06
-14.79462118598138,-9.226348771184762e-08,-1.0488786783054229e-07,1.262438011869467e-08,4.599117463375823e-07,-7.738419660240485e-06
-14.713806300686697,-8.480215260849372e-08,-9.742634341011585e-08,1.262419080162213e-08,4.609319688691536e-07,-7.753431016953621e-06
-14.632991415392011,-9.534645507245097e-08,-9.426423828350326e-08,-1.0822167889477146e-09,4.608445096434908e-07,-7.7521512268553e-06
-14.552176530097327,-9.532107839223629e-08,-9.332291609955648e-08,-1.998162292679815e-09,4.606830283870077e-07,-7.749801323104657e-06
-14.471361644802643,-9.627580008554346e-08,-8.200891937349613e-08,-1.4266880712047321e-08,4.5953005205875064e-07,-7.733116185690553e-06
-14.390546759507957,-1.0394603206885334e-07,-8.767165645824303e-08,-1.6274375610610316e-08,4.5821484026053654e-07,-7.714189568809697e-06
-14.309731874213275,-9.52245088231682e-08,-6.830512671377072e-08,-2.6919382109397482e-08,4.560393534831618e-07,-7.683058936329567e-06
-14.22891698891859,-1.1060944468423747e-07,-8.042052486887426e-08,-3.018891981536321e-08,4.535996393911128e-07,-7.648344447037108e-06
-14.148102103623906,-9.239932719983637e-08,-5.335222641205218e-08,-3.904710078778419e-08,4.5044405241985807e-07,-7.60369888037093e-06
-14.06728721832922,-1.1525000679011032e-07,-7.155752705613155e-08,-4.369247973397877e-08,4.469130496819163e-07,-7.5540272506875955e-06
-13.986472333034536,-8.806645780037797e-08,-3.738003270176745e-08,-5.068642509861052e-08,4.4281683205157445e-07,-7.496735616130731e-06
-13.90565744773985,-1.1788317425464045e-07,-6.108477131890314e-08,-5.6798402935737314e-08,4.382266756334016e-07,-7.432906473348075e-06
-13.824842562445168,-8.250574327915653e-08,-2.06197767041575e-08,-6.188596657499904e-08,4.3322536834329234e-07,-7.363764187455906e-06
-13.744027677150484,-1.1855086383025184e-07,-4.905037456220292e-08,-6.950048926804893e-08,4.2760869427517054e-07,-7.286568463610106e-06
-13.663212791855798,-7.604316997208673e-08,-3.312909640418077e-09,-7.273026033166865e-08,4.217310066290142e-07,-7.2062603665766104e-06
-13.582397906561114,-1.1734794921333054e-07,-3.550545659896369e-08,-8.184249261436685e-08,4.1511691497615306e-07,-7.116425141956986e-06
-13.501583021266429,-6.90196871876579e-08,1.4279768534341053e-08,-8.329945572199895e-08,4.083850790168701e-07,-7.02553469986718e-06
-13.420768135971747,-1.1441811253636892e-07,-2.0559787496713876e-08,-9.385832503965505e-08,4.0079992924483916e-07,-6.923736163500134e-06
-13.33995325067706,-6.177388183187327e-08,3.191150477810622e-08,-9.368538660997948e-08,3.932287554721655e-07,-6.822737059319916e-06
-13.259138365382377,-1.0992136846103148e-07,-4.361945156197451e-09,-1.0555942330483403e-07,3.846979827860123e-07,-6.709626363910586e-06
-13.178323480087693,-5.463739438980847e-08,4.93346389656901e-08,-1.0397203335549858e-07,3.762954948365326e-07,-6.598895659674803e-06
-13.097508594793009,-1.0406639412850981e-07,1.294223964511228e-08,-1.1700863377362209e-07,3.668394555196296e-07,-6.475045103448965e-06
-13.016693709498327,-4.794347578482032e-08,6.630232621856007e-08,-1.1424580200338039e-07,3.5760669413532723e-07,-6.354865076416617e-06
-12.935878824203641,-9.710691522449005e-08,3.114196689987614e-08,-1.282488821243662e-07,3.4724227543727507e-07,-6.220792212055304e-06
-12.855063938908957,-4.198707823883646e-08,8.257690281608966e-08,-1.245639810549261e-07,3.37175651596472e-07,-6.091385118932835e-06
