# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 5.991065602620770607e-06
1.210521604444432020e+00 6.006039751512602803e-06
2.421043208888864040e+00 6.021087754210923999e-06
3.631564813333295838e+00 6.036210152341756082e-06
4.842086417777728080e+00 6.051407492669598877e-06
6.052608022222160322e+00 6.066680327156547968e-06
7.263129626666591676e+00 6.082029213022245995e-06
8.473651231111023918e+00 6.097454712804615763e-06
9.684172835555456160e+00 6.112957394421429374e-06
1.089469443999988840e+01 6.128537831232715921e-06
1.210521604444432064e+01 6.144196602103998423e-06
1.331573764888875289e+01 6.159934291470416765e-06
1.452625925333318335e+01 6.175751489401701051e-06
1.573678085777761559e+01 6.191648791668061450e-06
1.694730246222204784e+01 6.207626799806942867e-06
1.815782406666648185e+01 6.223686121190740137e-06
1.936834567111091232e+01 6.239827369095401773e-06
2.057886727555534279e+01 6.256051162770008634e-06
2.178938887999977680e+01 6.272358127507306362e-06
2.299991048444420727e+01 6.288748894715193268e-06
2.421043208888864129e+01 6.305224101989239902e-06
2.542095369333307175e+01 6.321784393186167473e-06
2.663147529777750577e+01 6.338430418498395213e-06
2.784199690222193624e+01 6.355162834529590636e-06
2.905251850666636670e+01 6.371982304371291293e-06
3.026304011111080072e+01 6.388889497680602254e-06
3.147356171555523119e+01 6.405885090758976103e-06
3.268408331999966521e+01 6.422969766632102545e-06
3.389460492444409567e+01 6.440144215130933035e-06
3.510512652888852614e+01 6.457409132973815024e-06
3.631564813333296371e+01 6.474765223849846775e-06
3.752616973777739418e+01 6.492213198503345185e-06
3.873669134222182464e+01 6.509753774819571445e-06
3.994721294666625511e+01 6.527387677911639164e-06
4.115773455111068557e+01 6.545115640208674408e-06
4.236825615555512314e+01 6.562938401545241196e-06
4.357877775999955361e+01 6.580856709252031630e-06
4.478929936444398408e+01 6.598871318247876540e-06
4.599982096888841454e+01 6.616982991133056330e-06
4.721034257333285211e+01 6.635192498283978080e-06
4.842086417777728258e+01 6.653500617949205373e-06
4.963138578222171304e+01 6.671908136346877244e-06
