# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.20000000 8.3418127436e-06 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3418127436e-06 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6291821509e-11
0.40000000 1.6683654864e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6683654864e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.2583756248e-11
0.60000000 2.5025555738e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5025555738e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3887591745e-10
0.80000000 3.3367544743e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3367544743e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8516841834e-10
1.00000000 4.1709651257e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.1709651257e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3146137216e-10
1.20000000 5.0051904660e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.0051904660e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7775489214e-10
1.40000000 5.8394334332e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.8394334332e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2404909153e-10
1.60000000 6.6736969655e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.6736969655e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7034408357e-10
1.80000000 7.5079840013e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.5079840013e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.1663998151e-10
2.00000000 8.3422974793e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3422974793e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6293689859e-10
2.20000000 9.1766403381e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.1766403381e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.0923494810e-10
2.40000000 1.0011015517e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0011015517e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5553424329e-10
2.60000000 1.0845425955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0845425955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0183489743e-10
2.80000000 1.1679874593e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1679874593e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.4813702382e-10
3.00000000 1.2514364369e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2514364369e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.9444073575e-10
3.20000000 1.3348898225e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3348898225e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4074614651e-10
3.40000000 1.4183479102e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4183479102e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.8705336942e-10
3.60000000 1.5018109939e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5018109939e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3336251782e-10
3.80000000 1.5852793680e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5852793680e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.7967370502e-10
4.00000000 1.6687533266e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6687533266e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.2598704438e-10
4.20000000 1.7522331640e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7522331640e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.7230264927e-10
