# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.972757980063944975e-07 1.972757980063944710e-07 1.576368527811997901e-12 3.945531723813168302e-07
2.464760265283258422e-01 1.975394523776621379e-07 1.975394523776621379e-07 1.578124076697588959e-12 3.950804828794009510e-07
4.929520530566516845e-01 1.978036356215047755e-07 1.978036356215047755e-07 1.579882559736117341e-12 3.956088511255692938e-07
7.394280795849774712e-01 1.980683491532914362e-07 1.980683491532914362e-07 1.581643983469646873e-12 3.961382799505663167e-07
9.859041061133033690e-01 1.983335943931286280e-07 1.983335943931286280e-07 1.583408354458484187e-12 3.966687721946117059e-07
1.232380132641629267e+00 1.985993727658793988e-07 1.985993727658793988e-07 1.585175679281238902e-12 3.972003307074380687e-07
1.478856159169954942e+00 1.988656857011827388e-07 1.988656857011827388e-07 1.586945964534885219e-12 3.977329583483300029e-07
1.725332185698280840e+00 1.991325346334728505e-07 1.991325346334728505e-07 1.588719216834825126e-12 3.982666579861625312e-07
1.971808212226606738e+00 1.993999210019979953e-07 1.993999210019979953e-07 1.590495442814946163e-12 3.988014324994387937e-07
2.218284238754932414e+00 1.996678462508402134e-07 1.996678462508402399e-07 1.592274649127687858e-12 3.993372847763295940e-07
2.464760265283258533e+00 1.999363118289349908e-07 1.999363118289350173e-07 1.594056842444101907e-12 3.998742177147124687e-07
2.711236291811584209e+00 2.002053191900904764e-07 2.002053191900904500e-07 1.595842029453914175e-12 4.004122342222103860e-07
2.957712318339909885e+00 2.004748697930073079e-07 2.004748697930073079e-07 1.597630216865588309e-12 4.009513372162315035e-07
3.204188344868236005e+00 2.007449651012984377e-07 2.007449651012984377e-07 1.599421411406388947e-12 4.014915296240082904e-07
3.450664371396561680e+00 2.010156065835090380e-07 2.010156065835090644e-07 1.601215619822445129e-12 4.020328143826379732e-07
3.697140397924887800e+00 2.012867957131362209e-07 2.012867957131362209e-07 1.603012848878812702e-12 4.025751944391213407e-07
