# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 3.003916530709580478e-04
2.398916437817792402e-01 3.008181690090295959e-04
4.797832875635584804e-01 3.012456158439779795e-04
7.196749313453376651e-01 3.016739963562762618e-04
9.595665751271169608e-01 3.021033133370579779e-04
1.199458218908896256e+00 3.025335695881663039e-04
1.439349862690675330e+00 3.029647679222053388e-04
1.679241506472454626e+00 3.033969111625909546e-04
1.919133150254233922e+00 3.038300021436016445e-04
2.159024794036012995e+00 3.042640437104305109e-04
2.398916437817792513e+00 3.046990387192367107e-04
2.638808081599571587e+00 3.051349900371973342e-04
2.878699725381350660e+00 3.055719005425600976e-04
3.118591369163130178e+00 3.060097731246958180e-04
3.358483012944909252e+00 3.064486106841512146e-04
3.598374656726688769e+00 3.068884161327024135e-04
3.838266300508467843e+00 3.073291923934087246e-04
4.078157944290246917e+00 3.077709424006656587e-04
4.318049588072025990e+00 3.082136691002598425e-04
4.557941231853805952e+00 3.086573754494230121e-04
4.797832875635585026e+00 3.091020644168873612e-04
5.037724519417364100e+00 3.095477389829399137e-04
5.277616163199143173e+00 3.099944021394786860e-04
5.517507806980922247e+00 3.104420568900677639e-04
5.757399450762701321e+00 3.108907062499937355e-04
5.997291094544481282e+00 3.113403532463216903e-04
6.237182738326260356e+00 3.117910009179524649e-04
6.477074382108039430e+00 3.122426523156791303e-04
6.716966025889818503e+00 3.126953105022448336e-04
6.956857669671597577e+00 3.131489785523999900e-04
7.196749313453377539e+00 3.136036595529603961e-04
7.436640957235156613e+00 3.140593566028659933e-04
7.676532601016935686e+00 3.145160728132388728e-04
7.916424244798714760e+00 3.149738113074430153e-04
8.156315888580493834e+00 3.154325752211430546e-04
8.396207532362273795e+00 3.158923677023643965e-04
8.636099176144051981e+00 3.163531919115529045e-04
8.875990819925831943e+00 3.168150510216356688e-04
9.115882463707611905e+00 3.172779482180815053e-04
9.355774107489390090e+00 3.177418866989621042e-04
9.595665751271170052e+00 3.182068696750138298e-04
9.835557395052948237e+00 3.186729003696989779e-04
1.007544903883472820e+01 3.191399820192682255e-04
1.031534068261650816e+01 3.196081178728232982e-04
1.055523232639828635e+01 3.200773111923796367e-04
1.079512397018006631e+01 3.205475652529299856e-04
1.103501561396184449e+01 3.210188833425078186e-04
1.127490725774362446e+01 3.214912687622513074e-04
1.151479890152540264e+01 3.219647248264679933e-04
1.175469054530718260e+01 3.224392548626992439e-04
1.199458218908896256e+01 3.229148622117856840e-04
1.223447383287074075e+01 3.233915502279322484e-04
1.247436547665252071e+01 3.238693222787752935e-04
1.271425712043429890e+01 3.243481817454474869e-04
1.295414876421607886e+01 3.248281320226450823e-04
1.319404040799785882e+01 3.253091765186955737e-04
1.343393205177963701e+01 3.257913186556241568e-04
1.367382369556141697e+01 3.262745618692225219e-04
1.391371533934319515e+01 3.267589096091169415e-04
1.415360698312497512e+01 3.272443653388365211e-04
1.439349862690675508e+01 3.277309325358828047e-04
1.463339027068853326e+01 3.282186146917991641e-04
