# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.792168863322240714e-07 2.792168863322240714e-07 1.304504543329687087e-09 5.597382772077778749e-07
2.548558853934743684e-01 2.795875897734303038e-07 2.795875897734303038e-07 1.305921187758360497e-09 5.604811007346189896e-07
5.097117707869487369e-01 2.799590319271426821e-07 2.799590319271426821e-07 1.307340141021088249e-09 5.612254039953064392e-07
7.645676561804231053e-01 2.803312147573352611e-07 2.803312147573352082e-07 1.308761408137696748e-09 5.619711909228081684e-07
1.019423541573897474e+00 2.807041402345133552e-07 2.807041402345133552e-07 1.310184994141663359e-09 5.627184654631684047e-07
1.274279426967371842e+00 2.810778103357397427e-07 2.810778103357397956e-07 1.311610904080159217e-09 5.634672315755596452e-07
1.529135312360846211e+00 2.814522270446598659e-07 2.814522270446598130e-07 1.313039143014093270e-09 5.642174932323336903e-07
1.783991197754320579e+00 2.818273923515290945e-07 2.818273923515290945e-07 1.314469716018160469e-09 5.649692544190763829e-07
2.038847083147794947e+00 2.822033082532388247e-07 2.822033082532387718e-07 1.315902628180882911e-09 5.657225191346584310e-07
2.293702968541269094e+00 2.825799767533428435e-07 2.825799767533428435e-07 1.317337884604656792e-09 5.664772913912903583e-07
2.548558853934743684e+00 2.829573998620845923e-07 2.829573998620846453e-07 1.318775490405799339e-09 5.672335752145751267e-07
2.803414739328218275e+00 2.833355795964233191e-07 2.833355795964233191e-07 1.320215450714591006e-09 5.679913746435611813e-07
3.058270624721692421e+00 2.837145179800613423e-07 2.837145179800613423e-07 1.321657770675324683e-09 5.687506937307980371e-07
3.313126510115166568e+00 2.840942170434713677e-07 2.840942170434714207e-07 1.323102455446349541e-09 5.695115365423891127e-07
3.567982395508641158e+00 2.844746788239232228e-07 2.844746788239232228e-07 1.324549510200117562e-09 5.702739071580465758e-07
3.822838280902115748e+00 2.848559053655113325e-07 2.848559053655113325e-07 1.325998940123229857e-09 5.710378096711458706e-07
4.077694166295589895e+00 2.852378987191824064e-07 2.852378987191824064e-07 1.327450750416484025e-09 5.718032481887813048e-07
4.332550051689064041e+00 2.856206609427625442e-07 2.856206609427625442e-07 1.328904946294919026e-09 5.725702268318200474e-07
4.587405937082538188e+00 2.860041941009856637e-07 2.860041941009856108e-07 1.330361532987863988e-09 5.733387497349591980e-07
4.842261822476013222e+00 2.863885002655204475e-07 2.863885002655204475e-07 1.331820515738983283e-09 5.741088210467798911e-07
5.097117707869487369e+00 2.867735815149990888e-07 2.867735815149990359e-07 1.333281899806325334e-09 5.748804449298043643e-07
5.351973593262961515e+00 2.871594399350449793e-07 2.871594399350449793e-07 1.334745690462369766e-09 5.756536255605522866e-07
5.606829478656436549e+00 2.875460776183010313e-07 2.875460776183010313e-07 1.336211892994072895e-09 5.764283671295961332e-07
5.861685364049910696e+00 2.879334966644581065e-07 2.879334966644581065e-07 1.337680512702918607e-09 5.772046738416191008e-07
6.116541249443384842e+00 2.883216991802835505e-07 2.883216991802835505e-07 1.339151554904964880e-09 5.779825499154720711e-07
6.371397134836858989e+00 2.887106872796495155e-07 2.887106872796495155e-07 1.340625024930890112e-09 5.787619995842299385e-07
6.626253020230333135e+00 2.891004630835621296e-07 2.891004630835621296e-07 1.342100928126044195e-09 5.795430270952502666e-07
6.881108905623808170e+00 2.894910287201904023e-07 2.894910287201904552e-07 1.343579269850497115e-09 5.803256367102313106e-07
7.135964791017282316e+00 2.898823863248948115e-07 2.898823863248948115e-07 1.345060055479082996e-09 5.811098327052686622e-07
7.390820676410756462e+00 2.902745380402570559e-07 2.902745380402570559e-07 1.346543290401455938e-09 5.818956193709156010e-07
7.645676561804231497e+00 2.906674860161087477e-07 2.906674860161087477e-07 1.348028980022132822e-09 5.826830010122396335e-07
7.900532447197705643e+00 2.910612324095617474e-07 2.910612324095617474e-07 1.349517129760546458e-09 5.834719819488840095e-07
8.155388332591179790e+00 2.914557793850368571e-07 2.914557793850368571e-07 1.351007745051093350e-09 5.842625665151247902e-07
8.410244217984654824e+00 2.918511291142940487e-07 2.918511291142939957e-07 1.352500831343183332e-09 5.850547590599313061e-07
8.665100103378128082e+00 2.922472837764622158e-07 2.922472837764622158e-07 1.353996394101290233e-09 5.858485639470257659e-07
8.919955988771603117e+00 2.926442455580695616e-07 2.926442455580695616e-07 1.355494438805001088e-09 5.866439855549441378e-07
9.174811874165076375e+00 2.930420166530729270e-07 2.930420166530729270e-07 1.356994970949066397e-09 5.874410282770949121e-07
9.429667759558551410e+00 2.934405992628888131e-07 2.934405992628888131e-07 1.358497996043449956e-09 5.882396965218210405e-07
9.684523644952026444e+00 2.938399955964239804e-07 2.938399955964239804e-07 1.360003519613382423e-09 5.890399947124613460e-07
9.939379530345499703e+00 2.942402078701050423e-07 2.942402078701050423e-07 1.361511547199407015e-09 5.898419272874094974e-07
1.019423541573897474e+01 2.946412383079104400e-07 2.946412383079104400e-07 1.363022084357435137e-09 5.906454987001782783e-07
1.044909130113244977e+01 2.950430891414003539e-07 2.950430891414003539e-07 1.364535136658794567e-09 5.914507134194595145e-07
1.070394718652592303e+01 2.954457626097484140e-07 2.954457626097484669e-07 1.366050709690282808e-09 5.922575759291871778e-07
1.095880307191939806e+01 2.958492609597727757e-07 2.958492609597727757e-07 1.367568809054217339e-09 5.930660907285997489e-07
1.121365895731287310e+01 2.962535864459666128e-07 2.962535864459666128e-07 1.369089440368487934e-09 5.938762623323017332e-07
1.146851484270634636e+01 2.966587413305310991e-07 2.966587413305310991e-07 1.370612609266607948e-09 5.946880952703287767e-07
1.172337072809982139e+01 2.970647278834058481e-07 2.970647278834058481e-07 1.372138321397768705e-09 5.955015940882094989e-07
1.197822661349329465e+01 2.974715483823009952e-07 2.974715483823009952e-07 1.373666582426887677e-09 5.963167633470289147e-07
1.223308249888676968e+01 2.978792051127294900e-07 2.978792051127294900e-07 1.375197398034665978e-09 5.971336076234936559e-07
1.248793838428024472e+01 2.982877003680390723e-07 2.982877003680390723e-07 1.376730773917637374e-09 5.979521315099958163e-07
1.274279426967371798e+01 2.986970364494437710e-07 2.986970364494437710e-07 1.378266715788223492e-09 5.987723396146757381e-07
