# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.03768562       0.04047201      -5.52073134
    0     1       0.03768562       0.12141602      -5.39265916
    0     2       0.03768562       0.20236003      -5.02180466
    0     3       0.03768562       0.28330404      -4.44638696
    0     4       0.03768562       0.36424805      -3.72506619
    0     5       0.03768562       0.44519206      -2.92509514
    0     6       0.03768562       0.52613607      -2.10196499
    0     7       0.03768562       0.60708008      -1.28226195
    0     8       0.03768562       0.68802409      -0.51222371
    0     9       0.03768562       0.76896810       0.16508017
    0    10       0.03768562       0.84991211       0.74941542
    0    11       0.03768562       0.93085612       1.21774213
    0    12       0.03768562       1.01180013       1.57041452
    0    13       0.03768562       1.09274414       1.84081889
    0    14       0.03768562       1.17368815       2.04806275
    0    15       0.03768562       1.25463216       2.20720942
    0    16       0.03768562       1.33557617       2.32761844
    0    17       0.03768562       1.41652018       2.41794400
    0    18       0.03768562       1.49746419       2.48442199
    0    19       0.03768562       1.57840820       2.53260737
    0    20       0.03768562       1.65935221       2.56545804
    0    21       0.03768562       1.74029622       2.58616835
    0    22       0.03768562       1.82124023       2.59597828
    0    23       0.03768562       1.90218424       2.59597826
    0    24       0.03768562       1.98312825       2.58616831
    0    25       0.03768562       2.06407226       2.56545796
    0    26       0.03768562       2.14501627       2.53260726
    0    27       0.03768562       2.22596028       2.48442184
    0    28       0.03768562       2.30690430       2.41794382
    0    29       0.03768562       2.38784831       2.32761823
    0    30       0.03768562       2.46879232       2.20720918
    0    31       0.03768562       2.54973633       2.04806247
    0    32       0.03768562       2.63068034       1.84081859
    0    33       0.03768562       2.71162435       1.57041419
    0    34       0.03768562       2.79256836       1.21774179
    0    35       0.03768562       2.87351237       0.74941507
    0    36       0.03768562       2.95445638       0.16507981
    0    37       0.03768562       3.03540039      -0.51222407
    0    38       0.03768562       3.11634440      -1.28226229
    0    39       0.03768562       3.19728841      -2.10196531
    0    40       0.03768562       3.27823242      -2.92509542
    0    41       0.03768562       3.35917643      -3.72506642
    0    42       0.03768562       3.44012044      -4.44638714
    0    43       0.03768562       3.52106445      -5.02180478
    0    44       0.03768562       3.60200846      -5.39265923
    1     0       0.11305687       0.04047201      -4.58612120
    1     1       0.11305687       0.12141602      -4.47457257
    1     2       0.11305687       0.20236003      -4.15242801
    1     3       0.11305687       0.28330404      -3.65364608
    1     4       0.11305687       0.36424805      -3.02903945
    1     5       0.11305687       0.44519206      -2.33125123
    1     6       0.11305687       0.52613607      -1.59643885
    1     7       0.11305687       0.60708008      -0.86166242
    1     8       0.11305687       0.68802409      -0.18223420
    1     9       0.11305687       0.76896810       0.42215348
    1    10       0.11305687       0.84991211       0.94154126
    1    11       0.11305687       0.93085612       1.34971520
    1    12       0.11305687       1.01180013       1.66233928
    1    13       0.11305687       1.09274414       1.90485976
    1    14       0.11305687       1.17368815       2.09227435
    1    15       0.11305687       1.25463216       2.23676296
    1    16       0.11305687       1.33557617       2.34631357
    1    17       0.11305687       1.41652018       2.42869353
    1    18       0.11305687       1.49746419       2.48932830
    1    19       0.11305687       1.57840820       2.53309345
    1    20       0.11305687       1.65935221       2.56299433
    1    21       0.11305687       1.74029622       2.58175952
    1    22       0.11305687       1.82124023       2.59075759
    1    23       0.11305687       1.90218424       2.59075758
    1    24       0.11305687       1.98312825       2.58175948
    1    25       0.11305687       2.06407226       2.56299425
    1    26       0.11305687       2.14501627       2.53309334
    1    27       0.11305687       2.22596028       2.48932816
    1    28       0.11305687       2.30690430       2.42869337
    1    29       0.11305687       2.38784831       2.34631337
    1    30       0.11305687       2.46879232       2.23676273
    1    31       0.11305687       2.54973633       2.09227409
    1    32       0.11305687       2.63068034       1.90485948
    1    33       0.11305687       2.71162435       1.66233897
    1    34       0.11305687       2.79256836       1.34971488
    1    35       0.11305687       2.87351237       0.94154093
    1    36       0.11305687       2.95445638       0.42215314
    1    37       0.11305687       3.03540039      -0.18223453
    1    38       0.11305687       3.11634440      -0.86166273
    1    39       0.11305687       3.19728841      -1.59643915
    1    40       0.11305687       3.27823242      -2.33125148
    1    41       0.11305687       3.35917643      -3.02903966
    1    42       0.11305687       3.44012044      -3.65364625
    1    43       0.11305687       3.52106445      -4.15242813
    1    44       0.11305687       3.60200846      -4.47457263
    2     0       0.18842811       0.04047201      -3.61020242
    2     1       0.18842811       0.12141602      -3.51672451
    2     2       0.18842811       0.20236003      -3.24657404
    2     3       0.18842811       0.28330404      -2.82781532
    2     4       0.18842811       0.36424805      -2.29835899
    2     5       0.18842811       0.44519206      -1.69274458
    2     6       0.18842811       0.52613607      -1.04779721
    2     7       0.18842811       0.60708008      -0.41444582
    2     8       0.18842811       0.68802409       0.17126549
    2     9       0.18842811       0.76896810       0.69948378
    2    10       0.18842811       0.84991211       1.14289612
    2    11       0.18842811       0.93085612       1.48917689
    2    12       0.18842811       1.01180013       1.76075002
    2    13       0.18842811       1.09274414       1.97348738
    2    14       0.18842811       1.17368815       2.13965830
    2    15       0.18842811       1.25463216       2.26786515
    2    16       0.18842811       1.33557617       2.36531726
    2    17       0.18842811       1.41652018       2.43835246
    2    18       0.18842811       1.49746419       2.49231324
    2    19       0.18842811       1.57840820       2.53101983
    2    20       0.18842811       1.65935221       2.55756365
    2    21       0.18842811       1.74029622       2.57397707
    2    22       0.18842811       1.82124023       2.58184788
    2    23       0.18842811       1.90218424       2.58184787
    2    24       0.18842811       1.98312825       2.57397703
    2    25       0.18842811       2.06407226       2.55756358
    2    26       0.18842811       2.14501627       2.53101973
    2    27       0.18842811       2.22596028       2.49231311
    2    28       0.18842811       2.30690430       2.43835231
    2    29       0.18842811       2.38784831       2.36531708
    2    30       0.18842811       2.46879232       2.26786494
    2    31       0.18842811       2.54973633       2.13965806
    2    32       0.18842811       2.63068034       1.97348712
    2    33       0.18842811       2.71162435       1.76074974
    2    34       0.18842811       2.79256836       1.48917659
    2    35       0.18842811       2.87351237       1.14289581
    2    36       0.18842811       2.95445638       0.69948348
    2    37       0.18842811       3.03540039       0.17126519
    2    38       0.18842811       3.11634440      -0.41444611
    2    39       0.18842811       3.19728841      -1.04779747
    2    40       0.18842811       3.27823242      -1.69274482
    2    41       0.18842811       3.35917643      -2.29835919
    2    42       0.18842811       3.44012044      -2.82781547
    2    43       0.18842811       3.52106445      -3.24657415
    2    44       0.18842811       3.60200846      -3.51672456
    3     0       0.26379936       0.04047201      -2.65738861
    3     1       0.26379936       0.12141602      -2.58074779
    3     2       0.26379936       0.20236003      -2.35813537
    3     3       0.26379936       0.28330404      -2.00838039
    3     4       0.26379936       0.36424805      -1.55741061
    3     5       0.26379936       0.44519206      -1.03850492
    3     6       0.26379936       0.52613607      -0.49566993
    3     7       0.26379936       0.60708008       0.03354855
    3     8       0.26379936       0.68802409       0.53230434
    3     9       0.26379936       0.76896810       0.97660464
    3    10       0.26379936       0.84991211       1.33975819
    3    11       0.26379936       0.93085612       1.62896053
    3    12       0.26379936       1.01180013       1.86023477
    3    13       0.26379936       1.09274414       2.04312567
    3    14       0.26379936       1.17368815       2.18692503
    3    15       0.26379936       1.25463216       2.29765620
    3    16       0.26379936       1.33557617       2.38222783
    3    17       0.26379936       1.41652018       2.44526140
    3    18       0.26379936       1.49746419       2.49190599
    3    19       0.26379936       1.57840820       2.52491634
    3    20       0.26379936       1.65935221       2.54751005
    3    21       0.26379936       1.74029622       2.56146191
    3    22       0.26379936       1.82124023       2.56815953
    3    23       0.26379936       1.90218424       2.56815952
    3    24       0.26379936       1.98312825       2.56146187
    3    25       0.26379936       2.06407226       2.54750998
    3    26       0.26379936       2.14501627       2.52491625
    3    27       0.26379936       2.22596028       2.49190588
    3    28       0.26379936       2.30690430       2.44526125
    3    29       0.26379936       2.38784831       2.38222766
    3    30       0.26379936       2.46879232       2.29765600
    3    31       0.26379936       2.54973633       2.18692481
    3    32       0.26379936       2.63068034       2.04312543
    3    33       0.26379936       2.71162435       1.86023451
    3    34       0.26379936       2.79256836       1.62896026
    3    35       0.26379936       2.87351237       1.33975791
    3    36       0.26379936       2.95445638       0.97660436
    3    37       0.26379936       3.03540039       0.53230407
    3    38       0.26379936       3.11634440       0.03354829
    3    39       0.26379936       3.19728841      -0.49567017
    3    40       0.26379936       3.27823242      -1.03850514
    3    41       0.26379936       3.35917643      -1.55741079
    3    42       0.26379936       3.44012044      -2.00838053
    3    43       0.26379936       3.52106445      -2.35813547
    3    44       0.26379936       3.60200846      -2.58074784
    4     0       0.33917060       0.04047201      -1.75317744
    4     1       0.33917060       0.12141602      -1.68947551
    4     2       0.33917060       0.20236003      -1.50359244
    4     3       0.33917060       0.28330404      -1.21060284
    4     4       0.33917060       0.36424805      -0.83570212
    4     5       0.33917060       0.44519206      -0.41243767
    4     6       0.33917060       0.52613607       0.02880276
    4     7       0.33917060       0.60708008       0.46746360
    4     8       0.33917060       0.68802409       0.87908458
    4     9       0.33917060       0.76896810       1.23386283
    4    10       0.33917060       0.84991211       1.52483206
    4    11       0.33917060       0.93085612       1.76323822
    4    12       0.33917060       1.01180013       1.95575896
    4    13       0.33917060       1.09274414       2.10971150
    4    14       0.33917060       1.17368815       2.23088997
    4    15       0.33917060       1.25463216       2.32422537
    4    16       0.33917060       1.33557617       2.39509569
    4    17       0.33917060       1.41652018       2.44758994
    4    18       0.33917060       1.49746419       2.48599525
    4    19       0.33917060       1.57840820       2.51283846
    4    20       0.33917060       1.65935221       2.53100245
    4    21       0.33917060       1.74029622       2.54201604
    4    22       0.33917060       1.82124023       2.54724309
    4    23       0.33917060       1.90218424       2.54724308
    4    24       0.33917060       1.98312825       2.54201600
    4    25       0.33917060       2.06407226       2.53100239
    4    26       0.33917060       2.14501627       2.51283838
    4    27       0.33917060       2.22596028       2.48599514
    4    28       0.33917060       2.30690430       2.44758981
    4    29       0.33917060       2.38784831       2.39509554
    4    30       0.33917060       2.46879232       2.32422520
    4    31       0.33917060       2.54973633       2.23088978
    4    32       0.33917060       2.63068034       2.10971129
