# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        3.06429622
     1        0.08081489        3.06430035
     2        0.16162978        3.06429692
     3        0.24244467        3.06429962
     4        0.32325956        3.06429768
     5        0.40407446        3.06429885
     6        0.48488935        3.06429846
     7        0.56570424        3.06429807
     8        0.64651913        3.06429924
     9        0.72733402        3.06429730
    10        0.80814891        3.06429999
    11        0.88896380        3.06429657
    12        0.96977869        3.06430069
    13        1.05059358        3.06429591
    14        1.13140848        3.06430131
    15        1.21222337        3.06429534
    16        1.29303826        3.06430182
    17        1.37385315        3.06429488
    18        1.45466804        3.06430221
    19        1.53548293        3.06429456
    20        1.61629782        3.06430247
    21        1.69711271        3.06429437
    22        1.77792760        3.06430259
    23        1.85874250        3.06429433
    24        1.93955739        3.06430255
    25        2.02037228        3.06429444
    26        2.10118717        3.06430237
    27        2.18200206        3.06429469
    28        2.26281695        3.06430204
    29        2.34363184        3.06429509
    30        2.42444673        3.06430159
    31        2.50526162        3.06429560
    32        2.58607652        3.06430101
    33        2.66689141        3.06429623
    34        2.74770630        3.06430034
    35        2.82852119        3.06429694
    36        2.90933608        3.06429960
    37        2.99015097        3.06429771
    38        3.07096586        3.06429881
    39        3.15178075        3.06429851
    40        3.23259564        3.06429800
    41        3.31341054        3.06429932
    42        3.39422543        3.06429720
    43        3.47504032        3.06430011
    44        3.55585521        3.06429643
    45        3.63667010        3.06430084
    46        3.71748499        3.06429573
    47        3.79829988        3.06430150
    48        3.87911477        3.06429513
    49        3.95992966        3.06430205
    50        4.04074456        3.06429464
    51        4.12155945        3.06430248
    52        4.20237434        3.06429428
    53        4.28318923        3.06430276
    54        4.36400412        3.06429407
    55        4.44481901        3.06430290
    56        4.52563390        3.06429402
    57        4.60644879        3.06430287
    58        4.68726368        3.06429413
    59        4.76807858        3.06430267
    60        4.84889347        3.06429440
    61        4.92970836        3.06430232
    62        5.01052325        3.06429483
    63        5.09133814        3.06430182
    64        5.17215303        3.06429540
    65        5.25296792        3.06430119
    66        5.33378281        3.06429609
    67        5.41459770        3.06430044
    68        5.49541260        3.06429688
    69        5.57622749        3.06429961
    70        5.65704238        3.06429775
    71        5.73785727        3.06429872
    72        5.81867216        3.06429866
    73        5.89948705        3.06429779
    74        5.98030194        3.06429959
    75        6.06111683        3.06429687
    76        6.14193172        3.06430049
    77        6.22274662        3.06429599
    78        6.30356151        3.06430134
    79        6.38437640        3.06429518
    80        6.46519129        3.06430210
    81        6.54600618        3.06429448
    82        6.62682107        3.06430275
    83        6.70763596        3.06429390
    84        6.78845085        3.06430325
    85        6.86926574        3.06429348
    86        6.95008064        3.06430358
    87        7.03089553        3.06429324
    88        7.11171042        3.06430373
    89        7.19252531        3.06429319
