# Directional plane-averaged electrostatic potential
# direction = a
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 0.00000000 0.00000000
# interpolation_samples = 64 64
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.03997793       -0.41149906        4096
      0.11993378       -0.30860337        4096
      0.19988964       -0.11712115        4096
      0.27984549        0.13675267        4096
      0.35980135        0.41976577        4096
      0.43975720        0.69760165        4096
      0.51971305        0.94056544        4096
      0.59966891        1.12726531        4096
      0.67962476        1.24533398        4096
      0.75958062        1.28968264        4096
      0.83953647        1.25999546        4096
      0.91949233        1.15924354        4096
      0.99944818        0.99392155        4096
      1.07940404        0.77534109        4096
      1.15935989        0.52058249        4096
      1.23931574        0.25198678        4096
      1.31927160       -0.00498454        4096
      1.39922745       -0.22485118        4096
      1.47918331       -0.38529626        4096
      1.55913916       -0.46984120        4096
      1.63909502       -0.46975064        4096
      1.71905087       -0.38503036        4096
      1.79900673       -0.22442608        4096
      1.87896258       -0.00442380        4096
      1.95891843        0.25265583        4096
      2.03887429        0.52133199        4096
      2.11883014        0.77614501        4096
      2.19878600        0.99475730        4096
      2.27874185        1.16009276        4096
      2.35869771        1.26084380        4096
      2.43865356        1.29051847        4096
      2.51860942        1.24614641        4096
      2.59856527        1.12804219        4096
      2.67852112        0.94129202        4096
      2.75847698        0.69826063        4096
      2.83843283        0.42033856        4096
      2.91838869        0.13722116        4096
      2.99834454       -0.11677314        4096
      3.07830040       -0.30838883        4096
      3.15825625       -0.41142654        4096
