# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.03997775       0.00000000       2.51097025
    0     1       0.07995551       0.06924390       2.50728834
    0     2       0.11993326       0.13848780       2.49608245
    0     3       0.15991101       0.20773170       2.47695811
    0     4       0.19988877       0.27697561       2.44931840
    0     5       0.23986652       0.34621951       2.41236444
    0     6       0.27984428       0.41546341       2.36515552
    0     7       0.31982203       0.48470731       2.30665900
    0     8       0.35979978       0.55395121       2.23588166
    0     9       0.39977754       0.62319511       2.15205570
    0    10       0.43975529       0.69243901       2.05483876
    0    11       0.47973304       0.76168292       1.94457532
    0    12       0.51971080       0.83092682       1.82259215
    0    13       0.55968855       0.90017072       1.69144565
    0    14       0.59966630       0.96941462       1.55515299
    0    15       0.63964406       1.03865852       1.41933167
    0    16       0.67962181       1.10790242       1.29112899
    0    17       0.71959957       1.17714632       1.17879026
    0    18       0.75957732       1.24639022       1.09077091
    0    19       0.79955507       1.31563413       1.03451052
    0    20       0.83953283       1.38487803       1.01514412
    0    21       0.87951058       1.45412193       1.03451052
    0    22       0.91948833       1.52336583       1.09077091
    0    23       0.95946609       1.59260973       1.17879026
    0    24       0.99944384       1.66185363       1.29112899
    0    25       1.03942159       1.73109753       1.41933167
    0    26       1.07939935       1.80034144       1.55515299
    0    27       1.11937710       1.86958534       1.69144565
    0    28       1.15935486       1.93882924       1.82259215
    0    29       1.19933261       2.00807314       1.94457532
    0    30       1.23931036       2.07731704       2.05483876
    0    31       1.27928812       2.14656094       2.15205570
    0    32       1.31926587       2.21580484       2.23588166
    0    33       1.35924362       2.28504875       2.30665900
    0    34       1.39922138       2.35429265       2.36515552
    0    35       1.43919913       2.42353655       2.41236444
    0    36       1.47917688       2.49278045       2.44931840
    0    37       1.51915464       2.56202435       2.47695811
    0    38       1.55913239       2.63126825       2.49608245
    0    39       1.59911015       2.70051215       2.50728834
    1     0       0.07995551      -0.06924390       2.50728834
    1     1       0.11993326       0.00000000       2.50728834
    1     2       0.15991101       0.06924390       2.49965251
    1     3       0.19988877       0.13848780       2.48408872
    1     4       0.23986652       0.20773170       2.46006208
    1     5       0.27984428       0.27697561       2.42706661
    1     6       0.31982203       0.34621951       2.38423177
    1     7       0.35979978       0.41546341       2.33066309
    1     8       0.39977754       0.48470731       2.26542265
    1     9       0.43975529       0.55395121       2.18764130
    1    10       0.47973304       0.62319511       2.09698899
    1    11       0.51971080       0.69243901       1.99340413
