# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.04027171       0.04095276       2.70581189
    0     1       0.04027171       0.12285829       2.70429595
    0     2       0.04027171       0.20476381       2.69963298
    0     3       0.04027171       0.28666934       2.69085075
    0     4       0.04027171       0.36857486       2.67674569
    0     5       0.04027171       0.45048039       2.65520790
    0     6       0.04027171       0.53238592       2.62381816
    0     7       0.04027171       0.61429144       2.57855733
    0     8       0.04027171       0.69619697       2.51538633
    0     9       0.04027171       0.77810249       2.42867771
    0    10       0.04027171       0.86000802       2.31160729
    0    11       0.04027171       0.94191354       2.15434263
    0    12       0.04027171       1.02381907       1.94546842
    0    13       0.04027171       1.10572459       1.67158587
    0    14       0.04027171       1.18763012       1.31351730
    0    15       0.04027171       1.26953564       0.84292406
    0    16       0.04027171       1.35144117       0.22597714
    0    17       0.04027171       1.43334669      -0.55356078
    0    18       0.04027171       1.51525222      -1.48391950
    0    19       0.04027171       1.59715775      -2.52312286
    0    20       0.04027171       1.67906327      -3.59675115
    0    21       0.04027171       1.76096880      -4.61931785
    0    22       0.04027171       1.84287432      -5.51706790
    0    23       0.04027171       1.92477985      -6.22330020
    0    24       0.04027171       2.00668537      -6.67742375
    0    25       0.04027171       2.08859090      -6.83448818
    0    26       0.04027171       2.17049642      -6.67742764
    0    27       0.04027171       2.25240195      -6.22330745
    0    28       0.04027171       2.33430747      -5.51707764
    0    29       0.04027171       2.41621300      -4.61932893
    0    30       0.04027171       2.49811853      -3.59676213
    0    31       0.04027171       2.58002405      -2.52313215
    0    32       0.04027171       2.66192958      -1.48392577
    0    33       0.04027171       2.74383510      -0.55356368
    0    34       0.04027171       2.82574063       0.22597659
    0    35       0.04027171       2.90764615       0.84292437
    0    36       0.04027171       2.98955168       1.31351807
    0    37       0.04027171       3.07145720       1.67158711
    0    38       0.04027171       3.15336273       1.94546992
    0    39       0.04027171       3.23526825       2.15434422
    0    40       0.04027171       3.31717378       2.31160882
    0    41       0.04027171       3.39907931       2.42867919
    0    42       0.04027171       3.48098483       2.51538769
    0    43       0.04027171       3.56289036       2.57855854
    0    44       0.04027171       3.64479588       2.62381919
    0    45       0.04027171       3.72670141       2.65520875
    0    46       0.04027171       3.80860693       2.67674638
    0    47       0.04027171       3.89051246       2.69085126
    0    48       0.04027171       3.97241798       2.69963331
    0    49       0.04027171       4.05432351       2.70429612
    1     0       0.12081513       0.04095276       2.66517954
    1     1       0.12081513       0.12285829       2.66425715
