# Directional plane-averaged electrostatic potential
# direction = a-b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.90061750        5184
      0.05813662        2.88223415        5184
      0.09689437        2.85821158        5184
      0.13565212        2.82838883        5184
      0.17440987        2.79254636        5184
      0.21316762        2.75040628        5184
      0.25192537        2.70163530        5184
      0.29068312        2.64585112        5184
      0.32944087        2.58263353        5184
      0.36819862        2.51154026        5184
      0.40695637        2.43212752        5184
      0.44571412        2.34397415        5184
      0.48447187        2.24670783        5184
      0.52322962        2.14003179        5184
      0.56198737        2.02375048        5184
      0.60074512        1.89779313        5184
      0.63950287        1.76223481        5184
      0.67826062        1.61731488        5184
      0.71701837        1.46345277        5184
      0.75577612        1.30126093        5184
      0.79453387        1.13155420        5184
      0.83329162        0.95535452        5184
      0.87204937        0.77388978        5184
      0.91080712        0.58858591        5184
      0.94956487        0.40105206        5184
      0.98832262        0.21305955        5184
      1.02708037        0.02651621        5184
      1.06583812       -0.15656213        5184
      1.10459587       -0.33408131        5184
      1.14335362       -0.50389903        5184
      1.18211137       -0.66385586        5184
      1.22086912       -0.81180824        5184
      1.25962687       -0.94566528        5184
      1.29838462       -1.06343044        5184
      1.33714237       -1.16324862        5184
      1.37590012       -1.24345725        5184
      1.41465787       -1.30263881        5184
      1.45341562       -1.33967115        5184
      1.49217337       -1.35377127        5184
      1.53093112       -1.34452910        5184
      1.56968887       -1.31192845        5184
      1.60844662       -1.25635361        5184
      1.64720437       -1.17858148        5184
      1.68596212       -1.07976013        5184
      1.72471987       -0.96137514        5184
      1.76347762       -0.82520591        5184
      1.80223537       -0.67327402        5184
      1.84099312       -0.50778636        5184
      1.87975087       -0.33107562        5184
      1.91850862       -0.14554119        5184
      1.95726637        0.04640675        5184
      1.99602412        0.24239756        5184
      2.03478187        0.44014335        5184
      2.07353962        0.63747469        5184
      2.11229737        0.83236960        5184
      2.15105512        1.02297743        5184
      2.18981287        1.20763922        5184
      2.22857062        1.38490598        5184
      2.26732837        1.55355504        5184
      2.30608612        1.71260338        5184
      2.34484387        1.86131601        5184
      2.38360162        1.99920682        5184
      2.42235937        2.12603006        5184
      2.46111712        2.24176136        5184
      2.49987487        2.34656904        5184
      2.53863262        2.44077784        5184
      2.57739037        2.52482842        5184
      2.61614812        2.59923631        5184
      2.65490587        2.66455390        5184
      2.69366362        2.72133799        5184
      2.73242137        2.77012445        5184
      2.77117912        2.81141036        5184
      2.80993687        2.84564278        5184
      2.84869462        2.87321297        5184
      2.88745237        2.89445442        5184
      2.92621012        2.90964324        5184
      2.96496787        2.91899955        5184
      3.00372562        2.92268906        5184
      3.04248337        2.92082424        5184
      3.08124112        2.91346477        5184
      3.11999887        2.90061719        5184
      3.15875662        2.88223383        5184
      3.19751437        2.85821125        5184
      3.23627212        2.82838850        5184
      3.27502987        2.79254601        5184
      3.31378762        2.75040594        5184
      3.35254537        2.70163495        5184
      3.39130312        2.64585078        5184
      3.43006087        2.58263318        5184
      3.46881862        2.51153991        5184
      3.50757637        2.43212716        5184
      3.54633412        2.34397375        5184
      3.58509187        2.24670738        5184
      3.62384962        2.14003127        5184
      3.66260737        2.02374987        5184
      3.70136512        1.89779241        5184
      3.74012287        1.76223397        5184
      3.77888062        1.61731391        5184
      3.81763837        1.46345168        5184
      3.85639612        1.30125973        5184
      3.89515387        1.13155289        5184
      3.93391162        0.95535312        5184
      3.97266937        0.77388831        5184
      4.01142712        0.58858438        5184
      4.05018487        0.40105049        5184
      4.08894262        0.21305795        5184
      4.12770037        0.02651458        5184
      4.16645812       -0.15656377        5184
      4.20521587       -0.33408294        5184
      4.24397362       -0.50390064        5184
      4.28273137       -0.66385741        5184
      4.32148912       -0.81180972        5184
      4.36024687       -0.94566665        5184
      4.39900462       -1.06343167        5184
      4.43776237       -1.16324969        5184
      4.47652012       -1.24345813        5184
      4.51527787       -1.30263951        5184
      4.55403562       -1.33967164        5184
      4.59279337       -1.35377155        5184
      4.63155112       -1.34452920        5184
      4.67030887       -1.31192837        5184
      4.70906662       -1.25635335        5184
      4.74782436       -1.17858108        5184
      4.78658211       -1.07975961        5184
      4.82533986       -0.96137453        5184
      4.86409761       -0.82520524        5184
      4.90285536       -0.67327332        5184
      4.94161311       -0.50778565        5184
      4.98037086       -0.33107492        5184
      5.01912861       -0.14554051        5184
      5.05788636        0.04640740        5184
      5.09664411        0.24239818        5184
      5.13540186        0.44014393        5184
      5.17415961        0.63747523        5184
      5.21291736        0.83237011        5184
      5.25167511        1.02297790        5184
      5.29043286        1.20763963        5184
      5.32919061        1.38490632        5184
      5.36794836        1.55355531        5184
      5.40670611        1.71260358        5184
      5.44546386        1.86131612        5184
      5.48422161        1.99920686        5184
      5.52297936        2.12603004        5184
      5.56173711        2.24176130        5184
      5.60049486        2.34656896        5184
      5.63925261        2.44077775        5184
      5.67801036        2.52482833        5184
      5.71676811        2.59923624        5184
      5.75552586        2.66455386        5184
      5.79428361        2.72133798        5184
      5.83304136        2.77012448        5184
      5.87179911        2.81141043        5184
      5.91055686        2.84564288        5184
      5.94931461        2.87321310        5184
      5.98807236        2.89445458        5184
      6.02683011        2.90964343        5184
      6.06558786        2.91899977        5184
      6.10434561        2.92268931        5184
      6.14310336        2.92082451        5184
      6.18186111        2.91346506        5184
