# Directional plane-averaged electrostatic potential
# direction = a-b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.27108948        5184
      0.06099981       -1.39976530        5184
      0.10166636       -1.50627640        5184
      0.14233290       -1.58879665        5184
      0.18299944       -1.64586824        5184
      0.22366599       -1.67645179        5184
      0.26433253       -1.67996324        5184
      0.30499907       -1.65629620        5184
      0.34566561       -1.60582889        5184
      0.38633216       -1.52941486        5184
      0.42699870       -1.42835701        5184
      0.46766524       -1.30436503        5184
      0.50833179       -1.15949745        5184
      0.54899833       -0.99609140        5184
      0.58966487       -0.81668475        5184
      0.63033141       -0.62393668        5184
      0.67099796       -0.42055341        5184
      0.71166450       -0.20922487        5184
      0.75233104        0.00742412        5184
      0.79299758        0.22686736        5184
      0.83366413        0.44669855        5184
      0.87433067        0.66464559        5184
      0.91499721        0.87858476        5184
      0.95566376        1.08656039        5184
      0.99633030        1.28681308        5184
      1.03699684        1.47781531        5184
      1.07766338        1.65830948        5184
      1.11832993        1.82734082        5184
      1.15899647        1.98427702        5184
      1.19966301        2.12880835        5184
      1.24032956        2.26092552        5184
      1.28099610        2.38087706        5184
      1.32166264        2.48911174        5184
      1.36232918        2.58621419        5184
      1.40299573        2.67284229        5184
      1.44366227        2.74967337        5184
      1.48432881        2.81736339        5184
      1.52499536        2.87652022        5184
      1.56566190        2.92768924        5184
      1.60632844        2.97134828        5184
      1.64699498        3.00790820        5184
      1.68766153        3.03771631        5184
      1.72832807        3.06106036        5184
      1.76899461        3.07817219        5184
      1.80966115        3.08923043        5184
      1.85032770        3.09436228        5184
      1.89099424        3.09364434        5184
      1.93166078        3.08710264        5184
      1.97232733        3.07471198        5184
      2.01299387        3.05639446        5184
      2.05366041        3.03201732        5184
      2.09432695        3.00139017        5184
      2.13499350        2.96426157        5184
      2.17566004        2.92031539        5184
      2.21632658        2.86916747        5184
      2.25699313        2.81036363        5184
      2.29765967        2.74338085        5184
      2.33832621        2.66763364        5184
      2.37899275        2.58248834        5184
      2.41965930        2.48728750        5184
      2.46032584        2.38138578        5184
      2.50099238        2.26419687        5184
      2.54165893        2.13524900        5184
      2.58232547        1.99424398        5184
      2.62299201        1.84111338        5184
      2.66365855        1.67606454        5184
      2.70432510        1.49961070        5184
      2.74499164        1.31258167        5184
      2.78565818        1.11611531        5184
      2.82632472        0.91163341        5184
      2.86699127        0.70080806        5184
      2.90765781        0.48552529        5184
      2.94832435        0.26785175        5184
      2.98899090        0.05000756        5184
      3.02965744       -0.16565483        5184
      3.07032398       -0.37666873        5184
      3.11099052       -0.58047365        5184
      3.15165707       -0.77444316        5184
      3.19232361       -0.95592450        5184
      3.23299015       -1.12229134        5184
      3.27365670       -1.27100807        5184
      3.31432324       -1.39970169        5184
      3.35498978       -1.50623574        5184
      3.39565632       -1.58878072        5184
      3.43632287       -1.64587614        5184
      3.47698941       -1.67648109        5184
      3.51765595       -1.68001108        5184
      3.55832250       -1.65636006        5184
      3.59898904       -1.60590700        5184
      3.63965558       -1.52950612        5184
      3.68032212       -1.42846053        5184
      3.72098867       -1.30447943        5184
      3.76165521       -1.15962006        5184
      3.80232175       -0.99621769        5184
      3.84298829       -0.81680816        5184
      3.88365484       -0.62404917        5184
      3.92432138       -0.42064674        5184
      3.96498792       -0.20929228        5184
      4.00565447        0.00738621        5184
      4.04632101        0.22685832        5184
      4.08698755        0.44671358        5184
      4.12765409        0.66467697        5184
      4.16832064        0.87862386        5184
      4.20898718        1.08659980        5184
      4.24965372        1.28684803        5184
      4.29032027        1.47784408        5184
      4.33098681        1.65833279        5184
      4.37165335        1.82736063        5184
      4.41231989        1.98429539        5184
      4.45298644        2.12882664        5184
      4.49365298        2.26094420        5184
      4.53431952        2.38089589        5184
      4.57498607        2.48913014        5184
      4.61565261        2.58623157        5184
      4.65631915        2.67285822        5184
      4.69698569        2.74968763        5184
      4.73765224        2.81737593        5184
      4.77831878        2.87653110        5184
      4.81898532        2.92769858        5184
      4.85965186        2.97135620        5184
      4.90031841        3.00791484        5184
      4.94098495        3.03772178        5184
      4.98165149        3.06106477        5184
      5.02231804        3.07817561        5184
      5.06298458        3.08923294        5184
      5.10365112        3.09436391        5184
      5.14431766        3.09364509        5184
      5.18498421        3.08710253        5184
      5.22565075        3.07471099        5184
      5.26631729        3.05639258        5184
      5.30698384        3.03201455        5184
      5.34765038        3.00138648        5184
      5.38831692        2.96425692        5184
      5.42898346        2.92030971        5184
      5.46965001        2.86916065        5184
      5.51031655        2.81035549        5184
      5.55098309        2.74337112        5184
      5.59164964        2.66762197        5184
      5.63231618        2.58247434        5184
      5.67298272        2.48727083        5184
      5.71364926        2.38136627        5184
      5.75431581        2.26417473        5184
      5.79498235        2.13522488        5184
      5.83564889        1.99421908        5184
      5.87631544        1.84108934        5184
      5.91698198        1.67604340        5184
      5.95764852        1.49959469        5184
      5.99831506        1.31257301        5184
      6.03898161        1.11611578        5184
      6.07964815        0.91164369        5184
      6.12031469        0.70082687        5184
      6.16098123        0.48554869        5184
      6.20164778        0.26787314        5184
      6.24231432        0.05001859        5184
      6.28298086       -0.16566225        5184
      6.32364741       -0.37670011        5184
      6.36431395       -0.58052998        5184
      6.40498049       -0.77452025        5184
      6.44564703       -0.95601382        5184
      6.48631358       -1.12238205        5184
