# Directional plane-averaged electrostatic potential
# direction = a+b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.43952054        5184
      0.06099981       -1.53786665        5184
      0.10166636       -1.61166905        5184
      0.14233290       -1.65960868        5184
      0.18299944       -1.68080048        5184
      0.22366599       -1.67482524        5184
      0.26433253       -1.64174631        5184
      0.30499907       -1.58211061        5184
      0.34566561       -1.49693305        5184
      0.38633216       -1.38766437        5184
      0.42699870       -1.25614267        5184
      0.46766524       -1.10453073        5184
      0.50833179       -0.93524277        5184
      0.54899833       -0.75086584        5184
      0.58966487       -0.55408229        5184
      0.63033141       -0.34759942        5184
      0.67099796       -0.13409135        5184
      0.71166450        0.08384464        5184
      0.75233104        0.30371778        5184
      0.79299758        0.52316315        5184
      0.83366413        0.73995636        5184
      0.87433067        0.95202970        5184
      0.91499721        1.15749443        5184
      0.95566376        1.35467093        5184
      0.99633030        1.54212475        5184
      1.03699684        1.71870293        5184
      1.07766338        1.88356268        5184
      1.11832993        2.03618507        5184
      1.15899647        2.17636799        5184
      1.19966301        2.30419701        5184
      1.24032956        2.41999705        5184
      1.28099610        2.52427155        5184
      1.32166264        2.61763765        5184
      1.36232918        2.70076576        5184
      1.40299573        2.77432989        5184
      1.44366227        2.83897172        5184
      1.48432881        2.89527847        5184
      1.52499536        2.94377217        5184
      1.56566190        2.98490701        5184
      1.60632844        3.01907120        5184
      1.64699498        3.04659077        5184
      1.68766153        3.06773358        5184
      1.72832807        3.08271260        5184
      1.76899461        3.09168831        5184
      1.80966115        3.09477015        5184
      1.85032770        3.09201708        5184
      1.89099424        3.08343737        5184
      1.93166078        3.06898760        5184
      1.97232733        3.04857099        5184
      2.01299387        3.02203500        5184
      2.05366041        2.98916830        5184
      2.09432695        2.94969724        5184
      2.13499350        2.90328225        5184
      2.17566004        2.84951477        5184
      2.21632658        2.78791621        5184
      2.25699313        2.71794057        5184
      2.29765967        2.63898339        5184
      2.33832621        2.55039931        5184
      2.37899275        2.45153051        5184
      2.41965930        2.34174660        5184
      2.46032584        2.22049504        5184
      2.50099238        2.08735845        5184
      2.54165893        1.94211341        5184
      2.58232547        1.78478372        5184
      2.62299201        1.61568148        5184
      2.66365855        1.43543044        5184
      2.70432510        1.24496975        5184
      2.74499164        1.04553914        5184
      2.78565818        0.83865047        5184
      2.82632472        0.62605228        5184
      2.86699127        0.40969432        5184
      2.90765781        0.19169704        5184
      2.94832435       -0.02567224        5184
      2.98899090       -0.24001798        5184
      3.02965744       -0.44883465        5184
      3.07032398       -0.64952992        5184
      3.11099052       -0.83945777        5184
      3.15165707       -1.01596421        5184
      3.19232361       -1.17644536        5184
      3.23299015       -1.31841509        5184
      3.27365670       -1.43957760        5184
      3.31432324       -1.53789958        5184
      3.35498978       -1.61167714        5184
      3.39565632       -1.65959351        5184
      3.43632287       -1.68076474        5184
      3.47698941       -1.67477172        5184
      3.51765595       -1.64167729        5184
      3.55832250       -1.58202760        5184
      3.59898904       -1.49683707        5184
      3.63965558       -1.38755645        5184
      3.68032212       -1.25602462        5184
      3.72098867       -1.10440588        5184
      3.76165521       -0.93511642        5184
      3.80232175       -0.75074519        5184
      3.84298829       -0.55397564        5184
      3.88365484       -0.34751476        5184
      3.92432138       -0.13403452        5184
      3.96498792        0.08387146        5184
      4.00565447        0.30371678        5184
      4.04632101        0.52314042        5184
      4.08698755        0.73992031        5184
      4.12765409        0.95198888        5184
      4.16832064        1.15745552        5184
      4.20898718        1.35463765        5184
      4.24965372        1.54209787        5184
      4.29032027        1.71868108        5184
      4.33098681        1.88354369        5184
      4.37165335        2.03616701        5184
      4.41231989        2.17634977        5184
      4.45298644        2.30417840        5184
      4.49365298        2.41997845        5184
      4.53431952        2.52425358        5184
      4.57498607        2.61762085        5184
      4.61565261        2.70075051        5184
      4.65631915        2.77431634        5184
      4.69698569        2.83895987        5184
      4.73765224        2.89526823        5184
      4.77831878        2.94376342        5184
      4.81898532        2.98489961        5184
      4.85965186        3.01906504        5184
      4.90031841        3.04658576        5184
      4.94098495        3.06772962        5184
      4.98165149        3.08270961        5184
      5.02231804        3.09168625        5184
      5.06298458        3.09476898        5184
      5.10365112        3.09201679        5184
      5.14431766        3.08343794        5184
      5.18498421        3.06898904        5184
      5.22565075        3.04857332        5184
      5.26631729        3.02203826        5184
      5.30698384        2.98917252        5184
      5.34765038        2.94970249        5184
      5.38831692        2.90328860        5184
      5.42898346        2.84952235        5184
      5.46965001        2.78792522        5184
      5.51031655        2.71795128        5184
      5.55098309        2.63899616        5184
      5.59164964        2.55041453        5184
      5.63231618        2.45154850        5184
      5.67298272        2.34176744        5184
      5.71364926        2.22051843        5184
      5.75431581        2.08738356        5184
      5.79498235        1.94213889        5184
      5.83564889        1.78480776        5184
      5.87631544        1.61570194        5184
      5.91698198        1.43544504        5184
      5.95764852        1.24497636        5184
      5.99831506        1.04553629        5184
      6.03898161        0.83863809        5184
      6.07964815        0.62603257        5184
      6.12031469        0.40967221        5184
      6.16098123        0.19167991        5184
      6.20164778       -0.02567589        5184
      6.24231432       -0.24000073        5184
      6.28298086       -0.44879247        5184
      6.32364741       -0.64946367        5184
      6.36431395       -0.83937340        5184
      6.40498049       -1.01587140        5184
      6.44564703       -1.17635523        5184
      6.48631358       -1.31833780        5184
