# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.221846389856828688e-04 1.221846389856818117e-04 2.640373212459159088e-05 2.707730100959562748e-04
3.800000000000000044e-01 1.228547990141044051e-04 1.228547990141033209e-04 2.649758426358512483e-05 2.722071822917928306e-04
7.600000000000000089e-01 1.235312625103344541e-04 1.235312625103333699e-04 2.659203010308893860e-05 2.736545551237567694e-04
1.140000000000000124e+00 1.242141162030870429e-04 1.242141162030859587e-04 2.668707507320482140e-05 2.751153074793778264e-04
1.520000000000000018e+00 1.249034483997612708e-04 1.249034483997601866e-04 2.678272466837232216e-05 2.765896214678937931e-04
1.899999999999999911e+00 1.255993490220585432e-04 1.255993490220574319e-04 2.687898444829839190e-05 2.780776824924144179e-04
2.280000000000000249e+00 1.263019096425549881e-04 1.263019096425538768e-04 2.697586003890290284e-05 2.795796793240117170e-04
2.660000000000000142e+00 1.270112235222575954e-04 1.270112235222564841e-04 2.707335713328021723e-05 2.810958041777942662e-04
3.040000000000000036e+00 1.277273856491759562e-04 1.277273856491748449e-04 2.717148149267720539e-05 2.826262527910280336e-04
3.419999999999999929e+00 1.284504927779398778e-04 1.284504927779387394e-04 2.727023894748800125e-05 2.841712245033666353e-04
3.799999999999999822e+00 1.291806434704971345e-04 1.291806434704959961e-04 2.736963539826582048e-05 2.857309223392589408e-04
4.179999999999999716e+00 1.299179381379238815e-04 1.299179381379227431e-04 2.746967681675222746e-05 2.873055530925988621e-04
4.560000000000000497e+00 1.306624790833842685e-04 1.306624790833831571e-04 2.757036924692411544e-05 2.888953274136915952e-04
4.940000000000000391e+00 1.314143705462746798e-04 1.314143705462735413e-04 2.767171880605881324e-05 2.905004598986070581e-04
5.320000000000000284e+00 1.321737187475905209e-04 1.321737187475893554e-04 2.777373168581765382e-05 2.921211691809975572e-04
5.700000000000000178e+00 1.329406319365552332e-04 1.329406319365540948e-04 2.787641415334839780e-05 2.937576780264577461e-04
6.080000000000000071e+00 1.337152204385515979e-04 1.337152204385504595e-04 2.797977255240682032e-05 2.954102134295088946e-04
6.459999999999999964e+00 1.344975967043969631e-04 1.344975967043958247e-04 2.808381330449792189e-05 2.970790067132907369e-04
6.839999999999999858e+00 1.352878753610069001e-04 1.352878753610057346e-04 2.818854291003715297e-05 2.987642936320498012e-04
7.219999999999999751e+00 1.360861732634914968e-04 1.360861732634903313e-04 2.829396794953196396e-05 3.004663144765137785e-04
7.599999999999999645e+00 1.368926095487315339e-04 1.368926095487303413e-04 2.840009508478419893e-05 3.021853141822460911e-04
7.980000000000000426e+00 1.377073056904829515e-04 1.377073056904817860e-04 2.850693106011371606e-05 3.039215424410784028e-04
8.359999999999999432e+00 1.385303855560599960e-04 1.385303855560588305e-04 2.861448270360361415e-05 3.056752538157223899e-04
8.740000000000000213e+00 1.393619754646490880e-04 1.393619754646478954e-04 2.872275692836760057e-05 3.074467078576645840e-04
9.120000000000000995e+00 1.402022042473076218e-04 1.402022042473064292e-04 2.883176073383984290e-05 3.092361692284539007e-04
