mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
4,99.84256658317938,0.18802549805554203,0.75,0.0,-1.4807500000000313e-08,-0.16539715,-1.4807500000000313e-08,0.0,0.01216411,-0.16539715,0.01216411,0.0
5,99.84256658317938,0.1880254980555948,0.75,0.0,8.90825000000005e-08,-0.01216411,8.90825000000005e-08,0.0,-0.16539715,-0.01216411,-0.16539715,0.0
6,158.0392309001983,0.6378118373080468,0.039750228423396435,-0.3767250000000111,8.403100000000004e-14,2.337274999999998e-08,8.403100000000004e-14,-0.3767250000000111,2.337274999999998e-08,2.337274999999998e-08,2.337274999999998e-08,-0.1403249999999856
7,205.72370635154542,0.5934628907913932,0.75,0.0,1.3017499999999872e-07,-0.5491805,1.3017499999999872e-07,0.0,-0.0031680704999999996,-0.5491805,-0.0031680704999999996,0.0
8,205.72370635154542,0.5934628907913818,0.75,0.0,1.0520000000000282e-07,0.0031680704999999996,1.0520000000000282e-07,0.0,-0.5491805,0.0031680704999999996,-0.5491805,0.0
9,276.24356619071455,0.35434694590260424,0.7500000000000001,0.5360999999999949,-1.0370250000000003e-14,-7.823175000000003e-08,-1.0370250000000003e-14,-0.5360999999999949,7.823175000000003e-08,-7.823175000000003e-08,7.823175000000003e-08,0.0
10,276.2821099788975,0.2257993117360247,0.75,0.0,1.3385000000000156e-08,0.4279953,1.3385000000000156e-08,0.0,0.00058404475,0.4279953,0.00058404475,0.0
11,276.2821099788975,0.2257993117360743,0.75,0.0,-2.0112849999999988e-07,-0.00058404475,-2.0112849999999988e-07,0.0,0.4279953,-0.00058404475,0.4279953,0.0
12,364.64432430118046,0.10848732537874888,0.2245398012609482,-0.32642499999999686,1.0898949999999984e-13,7.964049999999994e-08,1.0898949999999984e-13,-0.32642499999999686,7.964049999999994e-08,7.964049999999994e-08,7.964049999999994e-08,0.08707500000000312
13,498.28727896483645,0.21831869687814862,0.75,0.0,-7.96849999999999e-08,0.64398825,-7.96849999999999e-08,0.0,-0.0014731615000000001,0.64398825,-0.0014731615000000001,0.0
14,498.28727896483645,0.21831869687814603,0.75,0.0,-3.832750000000025e-08,0.0014731615000000001,-3.832750000000025e-08,0.0,0.64398825,0.0014731615000000001,0.64398825,0.0
15,676.4067689621465,1.0,0.005701180388043848,1.2548250000000039,4.526500000000094e-15,7.930500000000002e-08,4.526500000000094e-15,1.2548250000000039,7.930500000000002e-08,7.930500000000002e-08,7.930500000000002e-08,0.9193000000000007
