# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 1.428552408562289502e-03
3.800000000000000044e-01 1.435937116128818995e-03
7.600000000000000089e-01 1.443387763806573297e-03
1.140000000000000124e+00 1.450905217946823079e-03
1.520000000000000018e+00 1.458490360093387837e-03
1.899999999999999911e+00 1.466144087316038035e-03
2.280000000000000249e+00 1.473867312552662803e-03
2.660000000000000142e+00 1.481660964960466228e-03
3.040000000000000036e+00 1.489525990276480399e-03
3.419999999999999929e+00 1.497463351187669532e-03
3.799999999999999822e+00 1.505474027710933293e-03
4.179999999999999716e+00 1.513559017583306597e-03
4.560000000000000497e+00 1.521719336662684429e-03
4.940000000000000391e+00 1.529956019339392568e-03
5.320000000000000284e+00 1.538270118958948813e-03
5.700000000000000178e+00 1.546662708256371383e-03
6.080000000000000071e+00 1.555134879802392948e-03
6.459999999999999964e+00 1.563687746461971031e-03
6.839999999999999858e+00 1.572322441865473160e-03
7.219999999999999751e+00 1.581040120892959408e-03
7.599999999999999645e+00 1.589841960171975606e-03
7.980000000000000426e+00 1.598729158589293729e-03
8.359999999999999432e+00 1.607702937817063939e-03
8.740000000000000213e+00 1.616764542853834068e-03
9.120000000000000995e+00 1.625915242580939840e-03
9.500000000000000000e+00 1.635156330334760436e-03
9.880000000000000782e+00 1.644489124495374360e-03
1.025999999999999979e+01 1.653914969092150095e-03
1.064000000000000057e+01 1.663435234426850111e-03
1.101999999999999957e+01 1.673051317714825854e-03
1.140000000000000036e+01 1.682764643744917186e-03
1.177999999999999936e+01 1.692576665558688997e-03
1.216000000000000014e+01 1.702488865149664413e-03
1.254000000000000092e+01 1.712502754183232870e-03
1.291999999999999993e+01 1.722619874737946026e-03
1.330000000000000071e+01 1.732841800068940941e-03
1.367999999999999972e+01 1.743170135394247946e-03
1.406000000000000050e+01 1.753606518704788975e-03
1.443999999999999950e+01 1.764152621598888849e-03
1.482000000000000028e+01 1.774810150142158401e-03
1.519999999999999929e+01 1.785580845753649559e-03
1.558000000000000007e+01 1.796466486119204604e-03
1.596000000000000085e+01 1.807468886132980587e-03
1.633999999999999986e+01 1.818589898868139655e-03
1.671999999999999886e+01 1.829831416577768453e-03
1.710000000000000142e+01 1.841195371727104724e-03
1.748000000000000043e+01 1.852683738058217558e-03
1.785999999999999943e+01 1.864298531688313729e-03
1.824000000000000199e+01 1.876041812242910684e-03
1.862000000000000099e+01 1.887915684025149449e-03
1.900000000000000000e+01 1.899922297222589275e-03
1.937999999999999901e+01 1.912063849152876140e-03
1.976000000000000156e+01 1.924342585549728606e-03
2.014000000000000057e+01 1.936760801890764988e-03
2.051999999999999957e+01 1.949320844768736563e-03
2.089999999999999858e+01 1.962025113307818477e-03
2.128000000000000114e+01 1.974876060626669892e-03
2.166000000000000014e+01 1.987876195350050772e-03
2.203999999999999915e+01 2.001028083170867077e-03
2.242000000000000171e+01 2.014334348464585749e-03
2.280000000000000071e+01 2.027797675958052138e-03
2.317999999999999972e+01 2.041420812454843806e-03
2.355999999999999872e+01 2.055206568619362493e-03
2.394000000000000128e+01 2.069157820821987490e-03
2.432000000000000028e+01 2.083277513047712519e-03
2.469999999999999929e+01 2.097568658870782761e-03
2.508000000000000185e+01 2.112034343497987913e-03
2.546000000000000085e+01 2.126677725883355588e-03
2.583999999999999986e+01 2.141502040917158539e-03
2.621999999999999886e+01 2.156510601692224628e-03
2.660000000000000142e+01 2.171706801850737962e-03
2.698000000000000043e+01 2.187094118014817207e-03
2.735999999999999943e+01 2.202676112304341807e-03
2.774000000000000199e+01 2.218456434945649536e-03
2.812000000000000099e+01 2.234438826974883587e-03
2.850000000000000000e+01 2.250627123039992093e-03
2.887999999999999901e+01 2.267025254305500906e-03
2.926000000000000156e+01 2.283637251464460619e-03
2.964000000000000057e+01 2.300467247862107625e-03
3.001999999999999957e+01 2.317519482736051743e-03
3.039999999999999858e+01 2.334798304578006821e-03
3.078000000000000114e+01 2.352308174622330487e-03
3.116000000000000014e+01 2.370053670466913329e-03
3.153999999999999915e+01 2.388039489832214941e-03
3.192000000000000171e+01 2.406270454464538334e-03
3.229999999999999716e+01 2.424751514189937753e-03
3.267999999999999972e+01 2.443487751125489760e-03
3.306000000000000227e+01 2.462484384054963206e-03
3.343999999999999773e+01 2.481746772976329164e-03
3.382000000000000028e+01 2.501280423828891077e-03
3.420000000000000284e+01 2.521090993408236450e-03
3.457999999999999829e+01 2.541184294477625595e-03
3.496000000000000085e+01 2.561566301084913008e-03
3.534000000000000341e+01 2.582243154094493367e-03
3.571999999999999886e+01 2.603221166944385146e-03
3.610000000000000142e+01 2.624506831638969469e-03
3.648000000000000398e+01 2.646106824988569278e-03
3.685999999999999943e+01 2.668028015107585561e-03
3.724000000000000199e+01 2.690277468183573106e-03
3.761999999999999744e+01 2.712862455530285280e-03
3.800000000000000000e+01 2.735790460938471950e-03
3.838000000000000256e+01 2.759069188338896840e-03
3.875999999999999801e+01 2.782706569792923589e-03
3.914000000000000057e+01 2.806710773826816014e-03
3.952000000000000313e+01 2.831090214126810115e-03
3.989999999999999858e+01 2.855853558613001986e-03
4.028000000000000114e+01 2.881009738911081107e-03
4.066000000000000369e+01 2.906567960242048727e-03
4.103999999999999915e+01 2.932537711751199896e-03
4.142000000000000171e+01 2.958928777298891043e-03
4.179999999999999716e+01 2.985751246736900472e-03
4.217999999999999972e+01 3.013015527695608094e-03
4.256000000000000227e+01 3.040732357908676638e-03
4.293999999999999773e+01 3.068912818103514649e-03
4.332000000000000028e+01 3.097568345487492977e-03
4.370000000000000284e+01 3.126710747861648036e-03
4.407999999999999829e+01 3.156352218395571448e-03
4.446000000000000085e+01 3.186505351099199260e-03
4.484000000000000341e+01 3.217183157029399661e-03
4.521999999999999886e+01 3.248399081271630389e-03
4.560000000000000142e+01 3.280167020739373825e-03
4.598000000000000398e+01 3.312501342836793924e-03
4.635999999999999943e+01 3.345416905032849372e-03
4.674000000000000199e+01 3.378929075398225124e-03
4.711999999999999744e+01 3.413053754159636310e-03
4.750000000000000000e+01 3.447807396329651605e-03
4.788000000000000256e+01 3.483207035473859410e-03
4.825999999999999801e+01 3.519270308681297227e-03
4.864000000000000057e+01 3.556015482808344997e-03
4.902000000000000313e+01 3.593461482070937907e-03
4.939999999999999858e+01 3.631627917064944068e-03
4.978000000000000114e+01 3.670535115299886336e-03
5.016000000000000369e+01 3.710204153336961984e-03
5.053999999999999915e+01 3.750656890628500852e-03
5.092000000000000171e+01 3.791916005162636587e-03
5.129999999999999716e+01 3.834005031024173820e-03
5.167999999999999972e+01 3.876948397990337154e-03
5.206000000000000227e+01 3.920771473288392830e-03
5.243999999999999773e+01 3.965500605651163177e-03
5.282000000000000028e+01 4.011163171816083811e-03
5.320000000000000284e+01 4.057787625623936537e-03
5.357999999999999829e+01 4.105403549884686920e-03
5.396000000000000085e+01 4.154041711190063248e-03
5.434000000000000341e+01 4.203734117865697006e-03
5.471999999999999886e+01 4.254514081269960418e-03
5.510000000000000142e+01 4.306416280662091201e-03
5.548000000000000398e+01 4.359476831878946086e-03
5.585999999999999943e+01 4.413733360077921018e-03
5.624000000000000199e+01 4.469225076823271116e-03
5.661999999999999744e+01 4.525992861814456120e-03
5.700000000000000000e+01 4.584079349578414411e-03
5.738000000000000256e+01 4.643529021472882906e-03
5.775999999999999801e+01 4.704388303375411917e-03
5.814000000000000057e+01 4.766705669462626381e-03
5.852000000000000313e+01 4.830531752516816976e-03
5.889999999999999858e+01 4.895919461232555066e-03
5.928000000000000114e+01 4.962924105034669832e-03
5.966000000000000369e+01 5.031603526961261896e-03
6.003999999999999915e+01 5.102018245211614733e-03
6.042000000000000171e+01 5.174231604009363848e-03
6.079999999999999716e+01 5.248309934486505152e-03
6.117999999999999972e+01 5.324322726354368401e-03
6.156000000000000227e+01 5.402342811193918543e-03
6.193999999999999773e+01 5.482446558270468243e-03
