system,channel,mode,irrep,frequency_cm-1,relative_weight,citation_key,doi,source_method,source_scope,note
CH4,ir,7,F2,1306.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu4; IR and Raman active; mode is the representative ZStar mode
CH4,ir,15,F2,3019.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu3; IR and Raman active; mode is the representative ZStar mode
CH4,raman,7,F2,1306.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu4; IR and Raman active; mode is the representative ZStar mode
CH4,raman,10,E,1534.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu2; Raman active; mode is the representative ZStar mode
CH4,raman,12,A1,2917.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu1; Raman active; mode is the representative ZStar mode
CH4,raman,15,F2,3019.0,1.0,Shimanouchi1972,10.6028/NBS.NSRDS.39,NIST evaluated gas-phase fundamental,Td gas-phase molecule,nu3; IR and Raman active; mode is the representative ZStar mode
GaAsNW,ir,19,A1,151.652957,1.0,Rivano2023,10.1038/s41524-023-01140-2,QE PBE 1D-DFPT,24-atom H-passivated wurtzite GaAs nanowire,Gamma frequency from Materials Cloud dataset 10.24435/materialscloud:46-wj
GaAsNW,ir,31,A1,239.927292,1.0,Rivano2023,10.1038/s41524-023-01140-2,QE PBE 1D-DFPT,24-atom H-passivated wurtzite GaAs nanowire,Gamma frequency from Materials Cloud dataset 10.24435/materialscloud:46-wj
GaAsNW,ir,34,A1,244.756088,1.0,Rivano2023,10.1038/s41524-023-01140-2,QE PBE 1D-DFPT,24-atom H-passivated wurtzite GaAs nanowire,Gamma frequency from Materials Cloud dataset 10.24435/materialscloud:46-wj
GaAsNW,ir,35,B2,252.679001,1.0,Rivano2023,10.1038/s41524-023-01140-2,QE PBE 1D-DFPT,24-atom H-passivated wurtzite GaAs nanowire,Gamma frequency from Materials Cloud dataset 10.24435/materialscloud:46-wj
