case,BEC_Separate,BEC_Unified,SCF_Separate,SCF_Unified,core_h_Separate,core_h_Unified,speedup,independent_force_core_h_added,static_response_relative_difference
cubic_BaTiO3,9,3,13,4,6.0791520131819805,2.5598515689166055,2.374806448545309,0.0,
SiC,12,2,15,3,13.156192610666361,3.7807256981678723,3.4798061697630724,0.23384421112326284,1.4335437765743586e-05
t_HfO2,12,4,17,5,29.976658615050837,10.87362902115306,2.7568218997296685,5.842413025173462,0.0002585573244381054
alpha_In2Se3,30,10,41,11,22.107794126248013,7.397423743704955,2.9885801992972567,3.95403913012253,0.0005192298502124702
hBN,12,2,15,3,2.2458565197610167,0.567259513888146,3.9591341613070976,0.278086407115269,0.00043423028637940486
MoS2,12,3,16,4,7.22440886033906,3.0131735380428535,2.39760796022108,2.254919289942417,0.014591421580089158
H2O,12,6,19,7,21.667002159419162,8.908031079643925,2.432299793938892,7.398200623318553,0.00015321022086263428
CH4,12,3,16,4,12.978126084297482,3.2605297272093594,3.9803734883918,2.477258344118794,1.8757866023296082e-05
BN_9_0,60,56,117,57,270.4139237705383,125.03524300151814,2.1627016293898436,130.36238450568092,
Sb2S3,30,20,51,21,41.669086078264655,18.94506395142008,2.199469275222015,17.926560676925718,
