case,original_BEC_stages,reduced_BEC_stages,max_BEC_difference_before_ASR_e,max_BEC_difference_after_ASR_e,full_raw_ASR_max_e,reduced_raw_ASR_max_e,same_SCF_force_stages
SiC,12,2,5.231758668466924e-05,1.748797147360648e-05,0.003636348398424971,0.0037060076288470967,0
HfO2_t_TZDP,12,6,0.00020269309932707813,0.0001351287328854589,0.0008107723972434755,0.0008107723972416991,0
bto_tet_legacy,12,9,8.881784197001252e-16,8.881784197001252e-16,0.0714441843978646,0.0714441843978646,0
pto_legacy,12,9,8.881784197001252e-16,8.881784197001252e-16,0.02607928590575259,0.026079285905750815,0
hfo2_legacy,6,5,8.881784197001252e-16,8.881784197001252e-16,0.01459684718486276,0.01459684718486276,0
in2se3_legacy,15,15,0.0,0.0,0.01713417513703893,0.01713417513703893,15
hBN,6,4,0.009980021693520857,2.1743206982005603e-05,0.01991655697223793,0.0013498237990207662,0
MoS2_D3BJ,6,4,0.0029405560480904036,0.0006435405398707017,0.007963048494434188,0.002262933545224202,0
In2Se3_PBEsol,15,10,0.002915793050358717,0.0011428378771320968,0.0073085015235077044,0.006939543231100548,15
H2O_PBE,12,9,0.0009992407012092697,0.0006661604674728094,0.000999240701209242,0.001998481402418567,0
CH4_PBE,12,3,0.0009992407012093286,0.0007993925609674699,0.0009992407012093633,0.001998481402418653,0
