# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.529252267988032328e-06
1.042700299492969052e+00 4.533505906814531360e-06
2.085400598985938103e+00 4.537766274405681604e-06
3.128100898478907155e+00 4.542033386452716739e-06
4.170801197971876206e+00 4.546307258696019529e-06
5.213501497464845258e+00 4.550587906925309870e-06
6.256201796957814310e+00 4.554875346979843835e-06
7.298902096450783361e+00 4.559169594748605109e-06
8.341602395943752413e+00 4.563470666170500652e-06
9.384302695436721464e+00 4.567778577234559752e-06
1.042700299492969052e+01 4.572093343980132228e-06
1.146970329442265957e+01 4.576414982497085794e-06
1.251240359391562862e+01 4.580743508926000024e-06
1.355510389340859767e+01 4.585078939458380656e-06
1.459780419290156672e+01 4.589421290336845937e-06
1.564050449239453577e+01 4.593770577855340920e-06
1.668320479188750483e+01 4.598126818359334827e-06
1.772590509138047565e+01 4.602490028246026030e-06
1.876860539087344293e+01 4.606860223964546184e-06
1.981130569036641020e+01 4.611237422016171986e-06
2.085400598985938103e+01 4.615621638954527615e-06
2.189670628935235186e+01 4.620012891385794802e-06
2.293940658884531913e+01 4.624411195968920342e-06
2.398210688833828641e+01 4.628816569415829558e-06
2.502480718783125724e+01 4.633229028491633816e-06
2.606750748732422807e+01 4.637648590014847370e-06
2.711020778681719534e+01 4.642075270857594881e-06
2.815290808631016262e+01 4.646509087945833343e-06
2.919560838580313344e+01 4.650950058259560454e-06
3.023830868529610427e+01 4.655398198833033145e-06
3.128100898478907155e+01 4.659853526754986968e-06
3.232370928428203882e+01 4.664316059168852932e-06
3.336640958377500965e+01 4.668785813272977733e-06
3.440910988326798048e+01 4.673262806320842290e-06
3.545181018276095131e+01 4.677747055621287052e-06
3.649451048225391503e+01 4.682238578538731385e-06
3.753721078174688586e+01 4.686737392493396335e-06
3.857991108123985668e+01 4.691243514961539262e-06
3.962261138073282041e+01 4.695756963475663055e-06
4.066531168022579124e+01 4.700277755624756687e-06
4.170801197971876206e+01 4.704805909054522224e-06
4.275071227921173289e+01 4.709341441467594203e-06
4.379341257870470372e+01 4.713884370623780194e-06
4.483611287819766744e+01 4.718434714340289491e-06
4.587881317769063827e+01 4.722992490491964360e-06
4.692151347718360910e+01 4.727557717011511276e-06
4.796421377667657282e+01 4.732130411889742325e-06
4.900691407616954365e+01 4.736710593175807295e-06
5.004961437566251448e+01 4.741298278977427454e-06
5.109231467515548530e+01 4.745893487461139498e-06
5.213501497464845613e+01 4.750496236852534412e-06
5.317771527414141985e+01 4.755106545436495488e-06
5.422041557363439068e+01 4.759724431557438881e-06
5.526311587312736151e+01 4.764349913619561791e-06
5.630581617262032523e+01 4.768983010087083019e-06
5.734851647211329606e+01 4.773623739484484373e-06
5.839121677160626689e+01 4.778272120396769858e-06
5.943391707109923772e+01 4.782928171469697766e-06
6.047661737059220854e+01 4.787591911410040710e-06
6.151931767008517227e+01 4.792263358985831271e-06
6.256201796957814310e+01 4.796942533026611865e-06
6.360471826907111392e+01 4.801629452423693941e-06
6.464741856856407765e+01 4.806324136130401922e-06
6.569011886805705558e+01 4.811026603162340026e-06
6.673281916755001930e+01 4.815736872597638744e-06
6.777551946704298302e+01 4.820454963577214890e-06
6.881821976653596096e+01 4.825180895305034170e-06
6.986092006602892468e+01 4.829914687048371230e-06
7.090362036552190261e+01 4.834656358138062068e-06
7.194632066501486634e+01 4.839405927968778472e-06
7.298902096450783006e+01 4.844163415999287213e-06
7.403172126400080799e+01 4.848928841752710086e-06
7.507442156349377171e+01 4.853702224816800885e-06
7.611712186298673544e+01 4.858483584844206296e-06
7.715982216247971337e+01 4.863272941552737788e-06
7.820252246197267709e+01 4.868070314725637584e-06
7.924522276146564082e+01 4.872875724211859877e-06
8.028792306095861875e+01 4.877689189926334257e-06
8.133062336045158247e+01 4.882510731850247770e-06
8.237332365994456040e+01 4.887340370031315973e-06
8.341602395943752413e+01 4.892178124584064145e-06
8.445872425893048785e+01 4.897024015690100035e-06
8.550142455842346578e+01 4.901878063598406932e-06
8.654412485791642951e+01 4.906740288625606248e-06
8.758682515740940744e+01 4.911610711156258214e-06
8.862952545690237116e+01 4.916489351643135470e-06
8.967222575639533488e+01 4.921376230607513599e-06
9.071492605588831282e+01 4.926271368639455730e-06
9.175762635538127654e+01 4.931174786398105612e-06
9.280032665487424026e+01 4.936086504611970519e-06
9.384302695436721820e+01 4.941006544079217719e-06
9.488572725386018192e+01 4.945934925667970080e-06
9.592842755335314564e+01 4.950871670316595761e-06
9.697112785284612357e+01 4.955816799034005519e-06
9.801382815233908730e+01 4.960770332899948324e-06
9.905652845183206523e+01 4.965732293065315442e-06
1.000992287513250290e+02 4.970702700752436898e-06
1.011419290508179927e+02 4.975681577255383868e-06
1.021846293503109706e+02 4.980668943940276148e-06
1.032273296498039343e+02 4.985664822245576926e-06
1.042700299492969123e+02 4.990669233682415500e-06
1.053127302487898760e+02 4.995682199834877806e-06
1.063554305482828397e+02 5.000703742360330840e-06
1.073981308477758176e+02 5.005733882989725042e-06
1.084408311472687814e+02 5.010772643527909394e-06
1.094835314467617451e+02 5.015820045853949059e-06
1.105262317462547230e+02 5.020876111921436241e-06
1.115689320457476867e+02 5.025940863758809515e-06
1.126116323452406505e+02 5.031014323469680783e-06
1.136543326447336284e+02 5.036096513233138514e-06
1.146970329442265921e+02 5.041187455304089095e-06
1.157397332437195701e+02 5.046287172013571926e-06
1.167824335432125338e+02 5.051395685769083840e-06
1.178251338427054975e+02 5.056513019054911981e-06
1.188678341421984754e+02 5.061639194432456524e-06
1.199105344416914392e+02 5.066774234540566951e-06
1.209532347411844171e+02 5.071918162095876625e-06
1.219959350406773808e+02 5.077070999893125513e-06
1.230386353401703445e+02 5.082232770805509160e-06
1.240813356396633225e+02 5.087403497785011574e-06
1.251240359391562862e+02 5.092583203862739807e-06
1.261667362386492499e+02 5.097771912149272081e-06
1.272094365381422278e+02 5.102969645834999994e-06
1.282521368376351916e+02 5.108176428190467327e-06
1.292948371371281553e+02 5.113392282566721571e-06
1.303375374366211190e+02 5.118617232395665437e-06
1.313802377361141112e+02 5.123851301190393982e-06
1.324229380356070749e+02 5.129094512545563063e-06
1.334656383351000386e+02 5.134346890137730696e-06
1.345083386345930023e+02 5.139608457725720429e-06
1.355510389340859660e+02 5.144879239150967783e-06
1.365937392335789582e+02 5.150159258337892940e-06
1.376364395330719219e+02 5.155448539294259046e-06
1.386791398325648856e+02 5.160747106111520334e-06
1.397218401320578494e+02 5.166054982965208377e-06
1.407645404315508131e+02 5.171372194115285295e-06
1.418072407310438052e+02 5.176698763906513069e-06
1.428499410305367689e+02 5.182034716768831308e-06
1.438926413300297327e+02 5.187380077217724023e-06
1.449353416295226964e+02 5.192734869854594859e-06
1.459780419290156601e+02 5.198099119367139787e-06
1.470207422285086238e+02 5.203472850529737590e-06
1.480634425280016160e+02 5.208856088203816629e-06
1.491061428274945797e+02 5.214248857338242779e-06
1.501488431269875434e+02 5.219651182969704834e-06
1.511915434264805072e+02 5.225063090223098211e-06
1.522342437259734709e+02 5.230484604311917971e-06
1.532769440254664630e+02 5.235915750538642530e-06
1.543196443249594267e+02 5.241356554295130066e-06
1.553623446244523905e+02 5.246807041063010698e-06
1.564050449239453542e+02 5.252267236414089671e-06
1.574477452234383179e+02 5.257737166010736148e-06
1.584904455229312816e+02 5.263216855606292323e-06
1.595331458224242738e+02 5.268706331045468986e-06
1.605758461219172375e+02 5.274205618264757184e-06
1.616185464214102012e+02 5.279714743292833100e-06
1.626612467209031649e+02 5.285233732250964630e-06
1.637039470203961287e+02 5.290762611353424734e-06
1.647466473198891208e+02 5.296301406907907329e-06
1.657893476193820845e+02 5.301850145315940644e-06
1.668320479188750483e+02 5.307408853073302263e-06
1.678747482183680120e+02 5.312977556770451112e-06
1.689174485178609757e+02 5.318556283092932342e-06
1.699601488173539678e+02 5.324145058821815247e-06
1.710028491168469316e+02 5.329743910834118469e-06
1.720455494163398953e+02 5.335352866103233518e-06
1.730882497158328590e+02 5.340971951699360995e-06
1.741309500153258227e+02 5.346601194789943425e-06
1.751736503148188149e+02 5.352240622640104864e-06
1.762163506143117786e+02 5.357890262613081197e-06
1.772590509138047423e+02 5.363550142170665671e-06
1.783017512132977060e+02 5.369220288873656137e-06
1.793444515127906698e+02 5.374900730382293804e-06
1.803871518122836335e+02 5.380591494456713866e-06
1.814298521117766256e+02 5.386292608957399510e-06
1.824725524112695894e+02 5.392004101845624069e-06
1.835152527107625531e+02 5.397726001183921121e-06
1.845579530102555168e+02 5.403458335136531727e-06
