# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.529252200983762933e-06
1.042700299492969052e+00 4.533505839702898845e-06
2.085400598985938103e+00 4.537766207186447953e-06
3.128100898478907155e+00 4.542033319125643935e-06
4.170801197971876206e+00 4.546307191260868709e-06
5.213501497464845258e+00 4.550587839381845559e-06
6.256201796957814310e+00 4.554875279327822087e-06
7.298902096450783361e+00 4.559169526987787909e-06
8.341602395943752413e+00 4.563470598300646594e-06
9.384302695436721464e+00 4.567778509255428279e-06
1.042700299492969052e+01 4.572093275891480242e-06
1.146970329442265957e+01 4.576414914298669350e-06
1.251240359391562862e+01 4.580743440617576870e-06
1.355510389340859767e+01 4.585078871039705153e-06
1.459780419290156672e+01 4.589421221807673291e-06
1.564050449239453577e+01 4.593770509215426340e-06
1.668320479188750483e+01 4.598126749608430979e-06
1.772590509138047565e+01 4.602489959383885580e-06
1.876860539087344293e+01 4.606860154990920952e-06
1.981130569036641020e+01 4.611237352930813790e-06
2.085400598985938103e+01 4.615621569757187429e-06
2.189670628935235186e+01 4.620012822076221903e-06
2.293940658884531913e+01 4.624411126546864009e-06
2.398210688833828641e+01 4.628816499881038222e-06
2.502480718783125724e+01 4.633228958843856755e-06
2.606750748732422807e+01 4.637648520253828780e-06
2.711020778681719534e+01 4.642075200983083193e-06
2.815290808631016262e+01 4.646509017957574448e-06
2.919560838580313344e+01 4.650949988157296853e-06
3.023830868529610427e+01 4.655398128616510729e-06
3.128100898478907155e+01 4.659853456423949086e-06
3.232370928428203882e+01 4.664315988723042085e-06
3.336640958377500965e+01 4.668785742712134730e-06
3.440910988326798048e+01 4.673262735644709633e-06
3.545181018276095131e+01 4.677746984829604702e-06
3.649451048225391503e+01 4.682238507631238454e-06
3.753721078174688586e+01 4.686737321469832786e-06
3.857991108123985668e+01 4.691243443821641667e-06
3.962261138073282041e+01 4.695756892219169680e-06
4.066531168022579124e+01 4.700277684251404952e-06
4.170801197971876206e+01 4.704805837564046162e-06
4.275071227921173289e+01 4.709341369859729539e-06
4.379341257870470372e+01 4.713884298898261806e-06
4.483611287819766744e+01 4.718434642496851412e-06
4.587881317769063827e+01 4.722992418530338080e-06
4.692151347718360910e+01 4.727557644931429979e-06
4.796421377667657282e+01 4.732130339690935808e-06
4.900691407616954365e+01 4.736710520858005354e-06
5.004961437566251448e+01 4.741298206540361581e-06
5.109231467515548530e+01 4.745893414904536947e-06
5.213501497464845613e+01 4.750496164176124133e-06
5.317771527414141985e+01 4.755106472640004736e-06
5.422041557363439068e+01 4.759724358640594911e-06
