# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.528281998467013775e-06
1.042700299492969052e+00 4.532534466981876036e-06
2.085400598985938103e+00 4.536793662010613751e-06
3.128100898478907155e+00 4.541059599238484781e-06
4.170801197971876206e+00 4.545332294399869816e-06
5.213501497464845258e+00 4.549611763278471428e-06
6.256201796957814310e+00 4.553898021707502959e-06
7.298902096450783361e+00 4.558191085569885031e-06
8.341602395943752413e+00 4.562490970798447143e-06
9.384302695436721464e+00 4.566797693376114015e-06
1.042700299492969052e+01 4.571111269336109726e-06
1.146970329442265957e+01 4.575431714762159306e-06
1.251240359391562862e+01 4.579759045788681012e-06
1.355510389340859767e+01 4.584093278600989617e-06
1.459780419290156672e+01 4.588434429435499699e-06
1.564050449239453577e+01 4.592782514579926385e-06
1.668320479188750483e+01 4.597137550373489487e-06
1.772590509138047565e+01 4.601499553207116791e-06
1.876860539087344293e+01 4.605868539523648192e-06
1.981130569036641020e+01 4.610244525818044910e-06
2.085400598985938103e+01 4.614627528637597860e-06
2.189670628935235186e+01 4.619017564582129245e-06
2.293940658884531913e+01 4.623414650304207707e-06
2.398210688833828641e+01 4.627818802509357538e-06
2.502480718783125724e+01 4.632230037956268748e-06
2.606750748732422807e+01 4.636648373457007976e-06
2.711020778681719534e+01 4.641073825877235328e-06
2.815290808631016262e+01 4.645506412136417832e-06
2.919560838580313344e+01 4.649946149208039502e-06
3.023830868529610427e+01 4.654393054119824950e-06
3.128100898478907155e+01 4.658847143953951154e-06
3.232370928428203882e+01 4.663308435847271910e-06
3.336640958377500965e+01 4.667776946991531294e-06
3.440910988326798048e+01 4.672252694633583884e-06
3.545181018276095131e+01 4.676735696075625159e-06
3.649451048225391503e+01 4.681225968675399861e-06
3.753721078174688586e+01 4.685723529846439173e-06
3.857991108123985668e+01 4.690228397058280095e-06
3.962261138073282041e+01 4.694740587836685674e-06
4.066531168022579124e+01 4.699260119763881326e-06
4.170801197971876206e+01 4.703787010478780147e-06
4.275071227921173289e+01 4.708321277677209919e-06
4.379341257870470372e+01 4.712862939112139265e-06
4.483611287819766744e+01 4.717412012593921596e-06
4.587881317769063827e+01 4.721968515990515342e-06
4.692151347718360910e+01 4.726532467227720270e-06
4.796421377667657282e+01 4.731103884289419737e-06
4.900691407616954365e+01 4.735682785217806002e-06
5.004961437566251448e+01 4.740269188113622476e-06
5.109231467515548530e+01 4.744863111136404281e-06
5.213501497464845613e+01 4.749464572504712875e-06
5.317771527414141985e+01 4.754073590496378306e-06
5.422041557363439068e+01 4.758690183448739771e-06
5.526311587312736151e+01 4.763314369758894637e-06
5.630581617262032523e+01 4.767946167883929690e-06
5.734851647211329606e+01 4.772585596341181167e-06
5.839121677160626689e+01 4.777232673708468540e-06
5.943391707109923772e+01 4.781887418624352860e-06
6.047661737059220854e+01 4.786549849788377317e-06
6.151931767008517227e+01 4.791219985961320499e-06
6.256201796957814310e+01 4.795897845965445422e-06
6.360471826907111392e+01 4.800583448684761265e-06
6.464741856856407765e+01 4.805276813065261380e-06
6.569011886805705558e+01 4.809977958115190961e-06
6.673281916755001930e+01 4.814686902905300305e-06
6.777551946704298302e+01 4.819403666569098071e-06
6.881821976653596096e+01 4.824128268303115561e-06
6.986092006602892468e+01 4.828860727367162518e-06
7.090362036552190261e+01 4.833601063084591403e-06
7.194632066501486634e+01 4.838349294842559975e-06
7.298902096450783006e+01 4.843105442092289637e-06
7.403172126400080799e+01 4.847869524349339872e-06
7.507442156349377171e+01 4.852641561193868285e-06
7.611712186298673544e+01 4.857421572270898262e-06
7.715982216247971337e+01 4.862209577290592567e-06
7.820252246197267709e+01 4.867005596028520151e-06
7.924522276146564082e+01 4.871809648325927208e-06
8.028792306095861875e+01 4.876621754090016691e-06
8.133062336045158247e+01 4.881441933294215980e-06
8.237332365994456040e+01 4.886270205978453009e-06
8.341602395943752413e+01 4.891106592249436638e-06
8.445872425893048785e+01 4.895951112280938714e-06
8.550142455842346578e+01 4.900803786314065119e-06
8.654412485791642951e+01 4.905664634657544613e-06
8.758682515740940744e+01 4.910533677688006657e-06
8.862952545690237116e+01 4.915410935850270251e-06
8.967222575639533488e+01 4.920296429657625153e-06
9.071492605588831282e+01 4.925190179692122407e-06
9.175762635538127654e+01 4.930092206604866570e-06
9.280032665487424026e+01 4.935002531116289307e-06
9.384302695436721820e+01 4.939921174016462790e-06
9.488572725386018192e+01 4.944848156165380912e-06
9.592842755335314564e+01 4.949783498493249824e-06
9.697112785284612357e+01 4.954727222000792861e-06
9.801382815233908730e+01 4.959679347759543621e-06
