# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.529306048302682891e-06
1.042700299492969052e+00 4.533559761157221311e-06
2.085400598985938103e+00 4.537820202929357989e-06
3.128100898478907155e+00 4.542087389310751813e-06
4.170801197971876206e+00 4.546361336042207371e-06
5.213501497464845258e+00 4.550642058913869767e-06
6.256201796957814310e+00 4.554929573765420288e-06
7.298902096450783361e+00 4.559223896486270368e-06
8.341602395943752413e+00 4.563525043015755567e-06
9.384302695436721464e+00 4.567833029343338006e-06
1.042700299492969052e+01 4.572147871508796103e-06
1.146970329442265957e+01 4.576469585602431254e-06
1.251240359391562862e+01 4.580798187765261794e-06
1.355510389340859767e+01 4.585133694189224603e-06
1.459780419290156672e+01 4.589476121117380923e-06
1.564050449239453577e+01 4.593825484844112032e-06
1.668320479188750483e+01 4.598181801715329303e-06
1.772590509138047565e+01 4.602545088128671563e-06
1.876860539087344293e+01 4.606915360533718549e-06
1.981130569036641020e+01 4.611292635432189956e-06
2.085400598985938103e+01 4.615676929378157197e-06
2.189670628935235186e+01 4.620068258978251776e-06
2.293940658884531913e+01 4.624466640891869417e-06
2.398210688833828641e+01 4.628872091831386910e-06
2.502480718783125724e+01 4.633284628562373021e-06
2.606750748732422807e+01 4.637704267903792622e-06
2.711020778681719534e+01 4.642131026728230317e-06
2.815290808631016262e+01 4.646564921962098802e-06
2.919560838580313344e+01 4.651005970585855712e-06
3.023830868529610427e+01 4.655454189634220461e-06
3.128100898478907155e+01 4.659909596196392774e-06
3.232370928428203882e+01 4.664372207416266139e-06
3.336640958377500965e+01 4.668842040492654815e-06
3.440910988326798048e+01 4.673319112679507283e-06
3.545181018276095131e+01 4.677803441286134943e-06
3.649451048225391503e+01 4.682295043677424722e-06
3.753721078174688586e+01 4.686793937274075393e-06
3.857991108123985668e+01 4.691300139552816114e-06
3.962261138073282041e+01 4.695813668046627500e-06
4.066531168022579124e+01 4.700334540344976251e-06
4.170801197971876206e+01 4.704862774094041312e-06
4.275071227921173289e+01 4.709398386996941724e-06
4.379341257870470372e+01 4.713941396813968710e-06
4.483611287819766744e+01 4.718491821362813529e-06
4.587881317769063827e+01 4.723049678518807184e-06
4.692151347718360910e+01 4.727614986215144040e-06
4.796421377667657282e+01 4.732187762443124075e-06
4.900691407616954365e+01 4.736768025252389202e-06
5.004961437566251448e+01 4.741355792751158746e-06
5.109231467515548530e+01 4.745951083106458140e-06
5.213501497464845613e+01 4.750553914544380659e-06
5.317771527414141985e+01 4.755164305350304263e-06
5.422041557363439068e+01 4.759782273869148245e-06
5.526311587312736151e+01 4.764407838505611248e-06
5.630581617262032523e+01 4.769041017724416058e-06
5.734851647211329606e+01 4.773681830050551855e-06
5.839121677160626689e+01 4.778330294069526629e-06
5.943391707109923772e+01 4.782986428427611973e-06
6.047661737059220854e+01 4.787650251832090416e-06
6.151931767008517227e+01 4.792321783051507839e-06
6.256201796957814310e+01 4.797001040915921655e-06
6.360471826907111392e+01 4.801688044317160003e-06
6.464741856856407765e+01 4.806382812209065690e-06
6.569011886805705558e+01 4.811085363607763859e-06
6.673281916755001930e+01 4.815795717591908468e-06
6.777551946704298302e+01 4.820513893302940643e-06
6.881821976653596096e+01 4.825239909945352100e-06
6.986092006602892468e+01 4.829973786786942643e-06
7.090362036552190261e+01 4.834715543159081055e-06
7.194632066501486634e+01 4.839465198456972754e-06
7.298902096450783006e+01 4.844222772139913908e-06
7.403172126400080799e+01 4.848988283731566717e-06
7.507442156349377171e+01 4.853761752820221148e-06
7.611712186298673544e+01 4.858543199059060906e-06
7.715982216247971337e+01 4.863332642166442101e-06
7.820252246197267709e+01 4.868130101926150753e-06
7.924522276146564082e+01 4.872935598187684003e-06
8.028792306095861875e+01 4.877749150866521163e-06
8.133062336045158247e+01 4.882570779944399006e-06
8.237332365994456040e+01 4.887400505469583659e-06
8.341602395943752413e+01 4.892238347557153515e-06
8.445872425893048785e+01 4.897084326389273668e-06
8.550142455842346578e+01 4.901938462215482216e-06
8.654412485791642951e+01 4.906800775352964694e-06
8.758682515740940744e+01 4.911671286186838681e-06
8.862952545690237116e+01 4.916550015170442634e-06
8.967222575639533488e+01 4.921436982825617108e-06
9.071492605588831282e+01 4.926332209742993592e-06
9.175762635538127654e+01 4.931235716582285886e-06
9.280032665487424026e+01 4.936147524072571319e-06
9.384302695436721820e+01 4.941067653012595680e-06
9.488572725386018192e+01 4.945996124271053587e-06
9.592842755335314564e+01 4.950932958786894263e-06
9.697112785284612357e+01 4.955878177569606988e-06
9.801382815233908730e+01 4.960831801699525185e-06
9.905652845183206523e+01 4.965793852328122878e-06
1.000992287513250290e+02 4.970764350678319628e-06
1.011419290508179927e+02 4.975743318044773603e-06
1.021846293503109706e+02 4.980730775794195831e-06
1.032273296498039343e+02 4.985726745365644114e-06
1.042700299492969123e+02 4.990731248270841521e-06
1.053127302487898760e+02 4.995744306094475383e-06
1.063554305482828397e+02 5.000765940494509006e-06
1.073981308477758176e+02 5.005796173202495070e-06
1.084408311472687814e+02 5.010835026023889881e-06
1.094835314467617451e+02 5.015882520838362535e-06
1.105262317462547230e+02 5.020938679600115946e-06
1.115689320457476867e+02 5.026003524338201097e-06
1.126116323452406505e+02 5.031077077156838905e-06
1.136543326447336284e+02 5.036159360235737866e-06
