mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
4,96.39246046009605,2.937368983006863e-29,0.75,0.0,0.0,4.693511204689749e-16,0.0,0.0,-4.681042879706165e-16,4.693511204689749e-16,-4.681042879706165e-16,0.0
5,96.39246046009605,1.4882805765790332e-29,0.75,0.0,0.0,3.8116482626443515e-21,0.0,0.0,4.718447854656915e-16,3.8116482626443515e-21,4.718447854656915e-16,0.0
6,105.18167002053136,0.09127625264991009,0.75,0.0,0.0,3.158908820426652e-05,0.0,0.0,0.039967380758929506,3.158908820426652e-05,0.039967380758929506,0.0
7,105.18167002053136,0.09127625264991013,0.75,0.0,0.0,-0.03996738075892951,0.0,0.0,3.1589088205046164e-05,-0.03996738075892951,3.1589088205046164e-05,0.0
8,228.14424947274694,0.11576643324939549,0.7500000000000001,0.08697680769153515,0.0,0.0,0.0,-0.08697680769153515,0.0,0.0,0.0,0.0
9,286.16185487561535,1.0,0.30004812722619106,-0.012319277789372932,0.0,0.0,0.0,-0.012319277789372932,0.0,0.0,0.0,-0.400129817288336
10,312.76867483103933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,455.51264506127103,0.06450906898905487,0.75,0.0,0.0,0.0004822429245395991,0.0,0.0,-0.10851158778551967,0.0004822429245395991,-0.10851158778551967,0.0
12,455.51264506127103,0.06450906898905341,0.75,0.0,0.0,-0.10851158778551843,0.0,0.0,-0.00048224292453836147,-0.10851158778551843,-0.00048224292453836147,0.0
13,456.8184894798121,5.5596728501771385e-31,0.75,0.0,0.0,-3.191891195797325e-16,0.0,0.0,2.710505431213761e-19,-3.191891195797325e-16,2.710505431213761e-19,0.0
14,456.8184894798121,1.6648975673593538e-29,0.75,0.0,0.0,7.797582024515748e-16,0.0,0.0,-1.5629858518551032e-15,7.797582024515748e-16,-1.5629858518551032e-15,0.0
15,597.1318152106415,0.05162574824525342,0.75,-0.11631495333066354,0.0,0.0,0.0,0.11631495333066354,0.0,0.0,0.0,0.0
16,662.7961856398671,1.605637575394914e-34,0.75,-6.938893903907228e-18,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0
17,670.4616028432578,0.11107518718660082,0.75,0.0,0.0,0.18385446837186087,0.0,0.0,0.0,0.18385446837186087,0.0,0.0
18,670.4616028432578,0.11107518718660082,0.75,0.0,0.0,0.0,0.0,0.0,0.18385446837186087,0.0,0.18385446837186087,0.0
