# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 5.145664364502309292e-04
2.368205342810859315e-01 5.161707809214998149e-04
4.736410685621718630e-01 5.177842467045984561e-04
7.104616028432577668e-01 5.194069104787410462e-04
9.472821371243437261e-01 5.210388497671555484e-04
1.184102671405429685e+00 5.226801429484531809e-04
1.420923205686515534e+00 5.243308692681812426e-04
1.657743739967601604e+00 5.259911088505575408e-04
1.894564274248687452e+00 5.276609427103930378e-04
2.131384808529773522e+00 5.293404527652043404e-04
2.368205342810859371e+00 5.310297218475199367e-04
2.605025877091945219e+00 5.327288337173845170e-04
2.841846411373031067e+00 5.344378730750632203e-04
3.078666945654116915e+00 5.361569255739522064e-04
3.315487479935203208e+00 5.378860778336962004e-04
3.552308014216289056e+00 5.396254174535198428e-04
3.789128548497374904e+00 5.413750330257740368e-04
4.025949082778461197e+00 5.431350141497052076e-04
4.262769617059547045e+00 5.449054514454449794e-04
4.499590151340632893e+00 5.466864365682331736e-04
4.736410685621718741e+00 5.484780622228707658e-04
4.973231219902804590e+00 5.502804221784106083e-04
5.210051754183890438e+00 5.520936112830920981e-04
5.446872288464976286e+00 5.539177254795196823e-04
5.683692822746062134e+00 5.557528618200939822e-04
5.920513357027147983e+00 5.575991184826985725e-04
6.157333891308233831e+00 5.594565947866476192e-04
6.394154425589320567e+00 5.613253912088988226e-04
6.630974959870406416e+00 5.632056094005374099e-04
6.867795494151492264e+00 5.650973522035370334e-04
7.104616028432578112e+00 5.670007236677996340e-04
7.341436562713663960e+00 5.689158290684852206e-04
7.578257096994749809e+00 5.708427749236311306e-04
7.815077631275835657e+00 5.727816690120717241e-04
8.051898165556922393e+00 5.747326203916589427e-04
8.288718699838007353e+00 5.766957394177950119e-04
8.525539234119094090e+00 5.786711377622797770e-04
8.762359768400179050e+00 5.806589284324797234e-04
8.999180302681265786e+00 5.826592257908256179e-04
9.236000836962350746e+00 5.846721455746441923e-04
9.472821371243437483e+00 5.866978049163315686e-04
9.709641905524522443e+00 5.887363223638741698e-04
9.946462439805609179e+00 5.907878179017250330e-04
1.018328297408669592e+01 5.928524129720401858e-04
1.042010350836778088e+01 5.949302304962875544e-04
1.065692404264886761e+01 5.970213948972280787e-04
1.089374457692995257e+01 5.991260321212839952e-04
1.113056511121103931e+01 6.012442696612968918e-04
1.136738564549212427e+01 6.033762365796856153e-04
1.160420617977321101e+01 6.055220635320133571e-04
1.184102671405429597e+01 6.076818827909665193e-04
1.207784724833538270e+01 6.098558282707628158e-04
1.231466778261646766e+01 6.120440355519876337e-04
1.255148831689755440e+01 6.142466419068750259e-04
1.278830885117864113e+01 6.164637863250377802e-04
1.302512938545972609e+01 6.186956095396570817e-04
1.326194991974081283e+01 6.209422540541438031e-04
1.349877045402189779e+01 6.232038641692733746e-04
1.373559098830298453e+01 6.254805860108166764e-04
1.397241152258406949e+01 6.277725675576626167e-04
1.420923205686515622e+01 6.300799586704550551e-04
1.444605259114624118e+01 6.324029111207467822e-04
1.468287312542732792e+01 6.347415786206846502e-04
1.491969365970841288e+01 6.370961168532362617e-04
1.515651419398949962e+01 6.394666835029700356e-04
1.539333472827058635e+01 6.418534382873999260e-04
1.563015526255167131e+01 6.442565429889045509e-04
1.586697579683275805e+01 6.466761614872380782e-04
1.610379633111384479e+01 6.491124597926402427e-04
1.634061686539492797e+01 6.515656060795596951e-04
1.657743739967601471e+01 6.540357707210056474e-04
1.681425793395710144e+01 6.565231263235393050e-04
1.705107846823818818e+01 6.590278477629175555e-04
1.728789900251927136e+01 6.615501122204070191e-04
1.752471953680035810e+01 6.640900992197787617e-04
1.776154007108144484e+01 6.666479906650003666e-04
1.799836060536253157e+01 6.692239708786400015e-04
1.823518113964361831e+01 6.718182266409975520e-04
1.847200167392470149e+01 6.744309472299803848e-04
1.870882220820578823e+01 6.770623244617358840e-04
1.894564274248687497e+01 6.797125527320630953e-04
1.918246327676796170e+01 6.823818290586137775e-04
1.941928381104904489e+01 6.850703531239086663e-04
1.965610434533013162e+01 6.877783273191770798e-04
1.989292487961121836e+01 6.905059567890459984e-04
2.012974541389230509e+01 6.932534494770930351e-04
2.036656594817339183e+01 6.960210161722854170e-04
2.060338648245447501e+01 6.988088705563221068e-04
2.084020701673556175e+01 7.016172292518989056e-04
