# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 5.146942314241195618e-04
2.368205342810859315e-01 5.162991720272006556e-04
4.736410685621718630e-01 5.179132380351894865e-04
7.104616028432577668e-01 5.195365061645690471e-04
9.472821371243437261e-01 5.211690539762582879e-04
1.184102671405429685e+00 5.228109598869901684e-04
1.420923205686515534e+00 5.244623031808680596e-04
1.657743739967601604e+00 5.261231640211077622e-04
1.894564274248687452e+00 5.277936234619653565e-04
2.131384808529773522e+00 5.294737634608557642e-04
2.368205342810859371e+00 5.311636668906662487e-04
2.605025877091945219e+00 5.328634175522653981e-04
2.841846411373031067e+00 5.345731001872156126e-04
3.078666945654116915e+00 5.362928004906894214e-04
3.315487479935203208e+00 5.380226051245932083e-04
3.552308014216289056e+00 5.397626017309060421e-04
3.789128548497374904e+00 5.415128789452336141e-04
4.025949082778461197e+00 5.432735264105823750e-04
4.262769617059547045e+00 5.450446347913579957e-04
4.499590151340632893e+00 5.468262957875957364e-04
4.736410685621718741e+00 5.486186021494195847e-04
4.973231219902804590e+00 5.504216476917413257e-04
5.210051754183890438e+00 5.522355273092029084e-04
5.446872288464976286e+00 5.540603369913615645e-04
5.683692822746062134e+00 5.558961738381306902e-04
5.920513357027147983e+00 5.577431360754724803e-04
6.157333891308233831e+00 5.596013230713553239e-04
6.394154425589320567e+00 5.614708353519741197e-04
6.630974959870406416e+00 5.633517746182429425e-04
6.867795494151492264e+00 5.652442437625642899e-04
7.104616028432578112e+00 5.671483468858788115e-04
7.341436562713663960e+00 5.690641893150014856e-04
7.578257096994749809e+00 5.709918776202525890e-04
7.815077631275835657e+00 5.729315196333836790e-04
8.051898165556922393e+00 5.748832244658107302e-04
8.288718699838007353e+00 5.768471025271531237e-04
8.525539234119094090e+00 5.788232655440930189e-04
8.762359768400179050e+00 5.808118265795522879e-04
8.999180302681265786e+00 5.828129000522013240e-04
9.236000836962350746e+00 5.848266017563003754e-04
9.472821371243437483e+00 5.868530488818831607e-04
9.709641905524522443e+00 5.888923600352888397e-04
9.946462439805609179e+00 5.909446552600475418e-04
1.018328297408669592e+01 5.930100560581298610e-04
1.042010350836778088e+01 5.950886854115644380e-04
1.065692404264886761e+01 5.971806678044317600e-04
1.089374457692995257e+01 5.992861292452428528e-04
1.113056511121103931e+01 6.014051972897101282e-04
1.136738564549212427e+01 6.035380010639167844e-04
1.160420617977321101e+01 6.056846712878939751e-04
1.184102671405429597e+01 6.078453402996150711e-04
1.207784724833538270e+01 6.100201420794141693e-04
1.231466778261646766e+01 6.122092122748354652e-04
1.255148831689755440e+01 6.144126882259274723e-04
1.278830885117864113e+01 6.166307089909855597e-04
1.302512938545972609e+01 6.188634153727563597e-04
1.326194991974081283e+01 6.211109499451106589e-04
1.349877045402189779e+01 6.233734570801939892e-04
1.373559098830298453e+01 6.256510829760702054e-04
1.397241152258406949e+01 6.279439756848597841e-04
1.420923205686515622e+01 6.302522851413905162e-04
1.444605259114624118e+01 6.325761631923652569e-04
1.468287312542732792e+01 6.349157636260648356e-04
1.491969365970841288e+01 6.372712422025879732e-04
1.515651419398949962e+01 6.396427566846484784e-04
1.539333472827058635e+01 6.420304668689343856e-04
1.563015526255167131e+01 6.444345346180452988e-04
1.586697579683275805e+01 6.468551238930183482e-04
1.610379633111384479e+01 6.492924007864554455e-04
1.634061686539492797e+01 6.517465335562645226e-04
1.657743739967601471e+01 6.542176926600283072e-04
1.681425793395710144e+01 6.567060507900129938e-04
1.705107846823818818e+01 6.592117829088311228e-04
1.728789900251927136e+01 6.617350662857738458e-04
1.752471953680035810e+01 6.642760805338242865e-04
1.776154007108144484e+01 6.668350076473686947e-04
1.799836060536253157e+01 6.694120320406211130e-04
1.823518113964361831e+01 6.720073405867733754e-04
1.847200167392470149e+01 6.746211226578916875e-04
1.870882220820578823e+01 6.772535701655706293e-04
1.894564274248687497e+01 6.799048776023634486e-04
1.918246327676796170e+01 6.825752420840091325e-04
1.941928381104904489e+01 6.852648633924660190e-04
1.965610434533013162e+01 6.879739440197760137e-04
