# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 1.523995341621153235e-03
2.123772717368805074e-01 1.529905627111625673e-03
4.247545434737610148e-01 1.535851497863438596e-03
6.371318152106415500e-01 1.541833242052355422e-03
8.495090869475220297e-01 1.547851150780292810e-03
1.061886358684402509e+00 1.553905518111037970e-03
1.274263630421283100e+00 1.559996641106483565e-03
1.486640902158163469e+00 1.566124819863377177e-03
1.699018173895044059e+00 1.572290357550594443e-03
1.911395445631924650e+00 1.578493560446951258e-03
2.123772717368805019e+00 1.584734737979557424e-03
2.336149989105685609e+00 1.591014202762723899e-03
2.548527260842566200e+00 1.597332270637432088e-03
2.760904532579446791e+00 1.603689260711373870e-03
2.973281804316326937e+00 1.610085495399571007e-03
3.185659076053207528e+00 1.616521300465588711e-03
3.398036347790088119e+00 1.622997005063344213e-03
3.610413619526968709e+00 1.629512941779530290e-03
3.822790891263849300e+00 1.636069446676652024e-03
4.035168163000729891e+00 1.642666859336706052e-03
4.247545434737610037e+00 1.649305522905486271e-03
4.459922706474491072e+00 1.655985784137554376e-03
4.672299978211371219e+00 1.662707993441866561e-03
4.884677249948251365e+00 1.669472504928074148e-03
5.097054521685132400e+00 1.676279676453513350e-03
5.309431793422012547e+00 1.683129869670889562e-03
5.521809065158893581e+00 1.690023450076673980e-03
5.734186336895773728e+00 1.696960787060213622e-03
5.946563608632653875e+00 1.703942253953585114e-03
6.158940880369534909e+00 1.710968228082185077e-03
6.371318152106415056e+00 1.718039090816088788e-03
6.583695423843296091e+00 1.725155227622168861e-03
6.796072695580176237e+00 1.732317028117009083e-03
7.008449967317056384e+00 1.739524886120612105e-03
7.220827239053937419e+00 1.746779199710920064e-03
7.433204510790817565e+00 1.754080371279163972e-03
7.645581782527698600e+00 1.761428807586045558e-03
7.857959054264578747e+00 1.768824919818789065e-03
8.070336326001459781e+00 1.776269123649047623e-03
8.282713597738339928e+00 1.783761839291706040e-03
8.495090869475220074e+00 1.791303491564582608e-03
8.707468141212100221e+00 1.798894509949039693e-03
8.919845412948982144e+00 1.806535328651538231e-03
9.132222684685862291e+00 1.814226386666135905e-03
9.344599956422742437e+00 1.821968127837951361e-03
9.556977228159622584e+00 1.829761000927613949e-03
9.769354499896502730e+00 1.837605459676708557e-03
9.981731771633384653e+00 1.845501962874247824e-03
1.019410904337026480e+01 1.853450974424172620e-03
1.040648631510714495e+01 1.861452963413912434e-03
1.061886358684402509e+01 1.869508404184015010e-03
1.083124085858090524e+01 1.877617776398876224e-03
1.104361813031778716e+01 1.885781565118575418e-03
1.125599540205466731e+01 1.894000260871849580e-03
1.146837267379154746e+01 1.902274359730214389e-03
1.168074994552842760e+01 1.910604363383265744e-03
1.189312721726530775e+01 1.918990779215172830e-03
1.210550448900218967e+01 1.927434120382392211e-03
1.231788176073906982e+01 1.935934905892613142e-03
1.253025903247594997e+01 1.944493660684975958e-03
1.274263630421283011e+01 1.953110915711566559e-03
1.295501357594971026e+01 1.961787208020224736e-03
1.316739084768659218e+01 1.970523080838680868e-03
1.337976811942347233e+01 1.979319083660055663e-03
1.359214539116035247e+01 1.988175772329734900e-03
1.380452266289723262e+01 1.997093709133659911e-03
1.401689993463411277e+01 2.006073462888046614e-03
1.422927720637099469e+01 2.015115609030564310e-03
1.444165447810787484e+01 2.024220729713008086e-03
1.465403174984475498e+01 2.033389413895483021e-03
1.486640902158163513e+01 2.042622257442130562e-03
1.507878629331851528e+01 2.051919863218434805e-03
1.529116356505539720e+01 2.061282841190122551e-03
1.550354083679227735e+01 2.070711808523703103e-03
1.571591810852915749e+01 2.080207389688669504e-03
1.592829538026603764e+01 2.089770216561393727e-03
1.614067265200291956e+01 2.099400928530750950e-03
1.635304992373979971e+01 2.109100172605503278e-03
1.656542719547667986e+01 2.118868603523478469e-03
1.677780446721356000e+01 2.128706883862577053e-03
1.699018173895044015e+01 2.138615684153635614e-03
1.720255901068732030e+01 2.148595682995203902e-03
1.741493628242420044e+01 2.158647567170243146e-03
1.762731355416108059e+01 2.168772031764804129e-03
1.783969082589796429e+01 2.178969780288715803e-03
1.805206809763484443e+01 2.189241524798324779e-03
1.826444536937172458e+01 2.199587986021321693e-03
1.847682264110860473e+01 2.210009893483699979e-03
1.868919991284548487e+01 2.220507985638889552e-03
1.890157718458236502e+01 2.231083009999104867e-03
1.911395445631924517e+01 2.241735723268945511e-03
1.932633172805612531e+01 2.252466891481307455e-03
1.953870899979300546e+01 2.263277290135639209e-03
1.975108627152988561e+01 2.274167704338592774e-03
1.996346354326676931e+01 2.285138928947118373e-03
2.017584081500364945e+01 2.296191768714046788e-03
2.038821808674052960e+01 2.307327038436217826e-03
2.060059535847740975e+01 2.318545563105195266e-03
2.081297263021428989e+01 2.329848178060625954e-03
2.102534990195117004e+01 2.341235729146296830e-03
2.123772717368805019e+01 2.352709072868941053e-03
2.145010444542493033e+01 2.364269076559850479e-03
2.166248171716181048e+01 2.375916618539352602e-03
2.187485898889869063e+01 2.387652588284204860e-03
2.208723626063557433e+01 2.399477886597972242e-03
2.229961353237245447e+01 2.411393425784444551e-03
2.251199080410933462e+01 2.423400129824156667e-03
2.272436807584621477e+01 2.435498934554078572e-03
2.293674534758309491e+01 2.447690787850530670e-03
2.314912261931997506e+01 2.459976649815403312e-03
2.336149989105685520e+01 2.472357492965742559e-03
2.357387716279373535e+01 2.484834302426765489e-03
2.378625443453061550e+01 2.497408076128392225e-03
2.399863170626749564e+01 2.510079825005350623e-03
2.421100897800437934e+01 2.522850573200939063e-03
2.442338624974125949e+01 2.535721358274524093e-03
2.463576352147813964e+01 2.548693231412839291e-03
2.484814079321501978e+01 2.561767257645180748e-03
2.506051806495189993e+01 2.574944516062574636e-03
2.527289533668878008e+01 2.588226100040992312e-03
2.548527260842566022e+01 2.601613117468723133e-03
2.569764988016254037e+01 2.615106690977953528e-03
2.591002715189942052e+01 2.628707958180687230e-03
2.612240442363630066e+01 2.642418071909070389e-03
2.633478169537318436e+01 2.656238200460213968e-03
2.654715896711006451e+01 2.670169527845631802e-03
2.675953623884694466e+01 2.684213254045376279e-03
2.697191351058382480e+01 2.698370595266974016e-03
2.718429078232070495e+01 2.712642784209279029e-03
2.739666805405758510e+01 2.727031070331324084e-03
2.760904532579446524e+01 2.741536720126310726e-03
2.782142259753134539e+01 2.756161017400829069e-03
2.803379986926822554e+01 2.770905263559421405e-03
2.824617714100510923e+01 2.785770777894623629e-03
2.845855441274198938e+01 2.800758897882583368e-03
2.867093168447886953e+01 2.815870979484391429e-03
2.888330895621574967e+01 2.831108397453258388e-03
2.909568622795262982e+01 2.846472545647640417e-03
2.930806349968950997e+01 2.861964837350484351e-03
2.952044077142639011e+01 2.877586705594687398e-03
2.973281804316327026e+01 2.893339603494944103e-03
2.994519531490015041e+01 2.909225004586109362e-03
3.015757258663703055e+01 2.925244403168217149e-03
3.036994985837391425e+01 2.941399314658321891e-03
3.058232713011079440e+01 2.957691275949303044e-03
3.079470440184767455e+01 2.974121845775794595e-03
3.100708167358455469e+01 2.990692605087415593e-03
3.121945894532143484e+01 3.007405157429425286e-03
3.143183621705831499e+01 3.024261129331040545e-03
3.164421348879519513e+01 3.041262170701521800e-03
3.185659076053207528e+01 3.058409955234255191e-03
3.206896803226895543e+01 3.075706180818993992e-03
3.228134530400583913e+01 3.093152569962446651e-03
3.249372257574271572e+01 3.110750870217414855e-03
3.270609984747959942e+01 3.128502854620680666e-03
3.291847711921647601e+01 3.146410322139821421e-03
3.313085439095335971e+01 3.164475098129219521e-03
3.334323166269023631e+01 3.182699034795404176e-03
3.355560893442712000e+01 3.201084011672010021e-03
3.376798620616400370e+01 3.219631936104558161e-03
3.398036347790088030e+01 3.238344743745262197e-03
3.419274074963776400e+01 3.257224399058166690e-03
3.440511802137464059e+01 3.276272895834778532e-03
3.461749529311152429e+01 3.295492257720520398e-03
3.482987256484840088e+01 3.314884538752204887e-03
3.504224983658528458e+01 3.334451823906835980e-03
3.525462710832216118e+01 3.354196229661981967e-03
3.546700438005904488e+01 3.374119904568031666e-03
3.567938165179592858e+01 3.394225029832565951e-03
3.589175892353280517e+01 3.414513819917222755e-03
3.610413619526968887e+01 3.434988523147271960e-03
3.631651346700656546e+01 3.455651422334272277e-03
3.652889073874344916e+01 3.476504835412113237e-03
3.674126801048032576e+01 3.497551116086745904e-03
3.695364528221720946e+01 3.518792654500005595e-03
3.716602255395408605e+01 3.540231877907782081e-03
3.737839982569096975e+01 3.561871251372990439e-03
3.759077709742784634e+01 3.583713278473638335e-03
3.780315436916473004e+01 3.605760502026404343e-03
3.801553164090161374e+01 3.628015504826102421e-03
3.822790891263849034e+01 3.650480910401441518e-03
3.844028618437537403e+01 3.673159383787485358e-03
3.865266345611225063e+01 3.696053632315223977e-03
3.886504072784913433e+01 3.719166406418721905e-03
3.907741799958601092e+01 3.742500500460246328e-03
3.928979527132289462e+01 3.766058753573896939e-03
3.950217254305977121e+01 3.789844050528119995e-03
3.971454981479665491e+01 3.813859322607708081e-03
3.992692708653353861e+01 3.838107548515673310e-03
4.013930435827041521e+01 3.862591755295591983e-03
4.035168163000729891e+01 3.887315019274918161e-03
4.056405890174417550e+01 3.912280467029786990e-03
4.077643617348105920e+01 3.937491276371943121e-03
4.098881344521793579e+01 3.962950677358284719e-03
4.120119071695481949e+01 3.988661953323687469e-03
4.141356798869169609e+01 4.014628441937684485e-03
4.162594526042857979e+01 4.040853536285648334e-03
4.183832253216546349e+01 4.067340685975117005e-03
4.205069980390234008e+01 4.094093398267942968e-03
4.226307707563922378e+01 4.121115239238959220e-03
4.247545434737610037e+01 4.148409834961838856e-03
4.268783161911298407e+01 4.175980872722939198e-03
4.290020889084986067e+01 4.203832102263823506e-03
4.311258616258674436e+01 4.231967337053287731e-03
4.332496343432362096e+01 4.260390455589652126e-03
4.353734070606050466e+01 4.289105402734184197e-03
4.374971797779738125e+01 4.318116191076461392e-03
4.396209524953426495e+01 4.347426902332592047e-03
4.417447252127114865e+01 4.377041688777156755e-03
4.438684979300802524e+01 4.406964774709847682e-03
4.459922706474490894e+01 4.437200457957733019e-03
4.481160433648178554e+01 4.467753111414142324e-03
4.502398160821866924e+01 4.498627184615223117e-03
4.523635887995554583e+01 4.529827205355178334e-03
4.544873615169242953e+01 4.561357781341324365e-03
4.566111342342930612e+01 4.593223601890034785e-03
4.587349069516618982e+01 4.625429439664789297e-03
4.608586796690307352e+01 4.657980152457471060e-03
4.629824523863995012e+01 4.690880685014176162e-03
4.651062251037683382e+01 4.724136070906798969e-03
4.672299978211371041e+01 4.757751434451710018e-03
4.693537705385059411e+01 4.791731992676876925e-03
4.714775432558747070e+01 4.826083057338835178e-03
4.736013159732435440e+01 4.860810036990959038e-03
4.757250886906123100e+01 4.895918439104511403e-03
4.778488614079811470e+01 4.931413872244042561e-03
4.799726341253499129e+01 4.967302048298685192e-03
4.820964068427187499e+01 5.003588784771057819e-03
4.842201795600875869e+01 5.040280007125405581e-03
4.863439522774563528e+01 5.077381751196793740e-03
4.884677249948251898e+01 5.114900165663145877e-03
4.905914977121939557e+01 5.152841514581992487e-03
4.927152704295627927e+01 5.191212179993901464e-03
4.948390431469315587e+01 5.230018664594556811e-03
4.969628158643003957e+01 5.269267594477614058e-03
4.990865885816691616e+01 5.308965721950411470e-03
5.012103612990379986e+01 5.349119928424809524e-03
5.033341340164068356e+01 5.389737227385424205e-03
5.054579067337756015e+01 5.430824767437635037e-03
5.075816794511444385e+01 5.472389835437830273e-03
5.097054521685132045e+01 5.514439859708403745e-03
5.118292248858820415e+01 5.556982413340181767e-03
5.139529976032508074e+01 5.600025217584926433e-03
5.160767703206196444e+01 5.643576145340814879e-03
5.182005430379884103e+01 5.687643224733743806e-03
5.203243157553572473e+01 5.732234642797516717e-03
5.224480884727260133e+01 5.777358749256008598e-03
5.245718611900948503e+01 5.823024060410586684e-03
5.266956339074636873e+01 5.869239263136086758e-03
5.288194066248324532e+01 5.916013218988868186e-03
5.309431793422012902e+01 5.963354968430515171e-03
5.330669520595700561e+01 6.011273735170914734e-03
5.351907247769388931e+01 6.059778930634599804e-03
5.373144974943076591e+01 6.108880158554314335e-03
5.394382702116764960e+01 6.158587219696021013e-03
5.415620429290452620e+01 6.208910116719576489e-03
5.436858156464140990e+01 6.259859059179613897e-03
5.458095883637829360e+01 6.311444468671184582e-03
5.479333610811517019e+01 6.363676984125044879e-03
5.500571337985205389e+01 6.416567467257482463e-03
5.521809065158893048e+01 6.470127008179908136e-03
5.543046792332581418e+01 6.524366931173565531e-03
5.564284519506269078e+01 6.579298800634884696e-03
5.585522246679957448e+01 6.634934427197322973e-03
5.606759973853645107e+01 6.691285874035608587e-03
5.627997701027333477e+01 6.748365463358693521e-03
5.649235428201021847e+01 6.806185783097817681e-03
5.670473155374709506e+01 6.864759693796432423e-03
5.691710882548397876e+01 6.924100335708949228e-03
5.712948609722085536e+01 6.984221136115560322e-03
5.734186336895773906e+01 7.045135816860680772e-03
5.755424064069461565e+01 7.106858402122771465e-03
5.776661791243149935e+01 7.169403226423796786e-03
5.797899518416837594e+01 7.232784942886638473e-03
5.819137245590525964e+01 7.297018531749377770e-03
5.840374972764213624e+01 7.362119309145501167e-03
5.861612699937901994e+01 7.428102936159604493e-03
5.882850427111590363e+01 7.494985428168438220e-03
5.904088154285278023e+01 7.562783164477654592e-03
5.925325881458966393e+01 7.631512898264907786e-03
5.946563608632654052e+01 7.701191766840479597e-03
5.967801335806342422e+01 7.771837302237088844e-03
5.989039062980030081e+01 7.843467442140858448e-03
6.010276790153718451e+01 7.916100541176191233e-03
6.031514517327406111e+01 7.989755382557485117e-03
6.052752244501094481e+01 8.064451190121522950e-03
6.073989971674782851e+01 8.140207640754603888e-03
6.095227698848470510e+01 8.217044877229391295e-03
6.116465426022158880e+01 8.294983521466849433e-03
6.137703153195846539e+01 8.374044688239398390e-03
6.158940880369534909e+01 8.454249999332145299e-03
6.180178607543222569e+01 8.535621598179629274e-03
6.201416334716910939e+01 8.618182164996476824e-03
6.222654061890598598e+01 8.701954932420903968e-03
