# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.994028126068028011e-04
1.594761669665930581e-01 2.996848324191237964e-04
3.189523339331861163e-01 2.999672611224588298e-04
4.784285008997791744e-01 3.002500995291761945e-04
6.379046678663722325e-01 3.005333484537175580e-04
7.973808348329652906e-01 3.008170087126051172e-04
9.568570017995583488e-01 3.011010811244483752e-04
1.116333168766151296e+00 3.013855665099501044e-04
1.275809335732744465e+00 3.016704656919132308e-04
1.435285502699337634e+00 3.019557794952477730e-04
1.594761669665930581e+00 3.022415087469769142e-04
1.754237836632523528e+00 3.025276542762438321e-04
1.913714003599116698e+00 3.028142169143190174e-04
2.073190170565709867e+00 3.031011974946058577e-04
2.232666337532302592e+00 3.033885968526483894e-04
2.392142504498895761e+00 3.036764158261378026e-04
2.551618671465488930e+00 3.039646552549186758e-04
2.711094838432082099e+00 3.042533159809968904e-04
2.870571005398675268e+00 3.045423988485452139e-04
3.030047172365267993e+00 3.048319047039112694e-04
3.189523339331861163e+00 3.051218343956239322e-04
3.348999506298454332e+00 3.054121887744002143e-04
3.508475673265047057e+00 3.057029686931520950e-04
3.667951840231640226e+00 3.059941750069942188e-04
3.827428007198233395e+00 3.062858085732501835e-04
3.986904174164826564e+00 3.065778702514596965e-04
4.146380341131419733e+00 3.068703609033858926e-04
4.305856508098012903e+00 3.071632813930222188e-04
4.465332675064605183e+00 3.074566325865996444e-04
4.624808842031198353e+00 3.077504153525939252e-04
4.784285008997791522e+00 3.080446305617322712e-04
4.943761175964384691e+00 3.083392790870011528e-04
5.103237342930977860e+00 3.086343618036532939e-04
5.262713509897571029e+00 3.089298795892147197e-04
5.422189676864164198e+00 3.092258333234922910e-04
5.581665843830757368e+00 3.095222238885810234e-04
5.741142010797350537e+00 3.098190521688714053e-04
5.900618177763942818e+00 3.101163190510563368e-04
6.060094344730535987e+00 3.104140254241393154e-04
6.219570511697129156e+00 3.107121721794412665e-04
6.379046678663722325e+00 3.110107602106079706e-04
6.538522845630315494e+00 3.113097904136180854e-04
6.697999012596908663e+00 3.116092636867899774e-04
6.857475179563501833e+00 3.119091809307898526e-04
7.016951346530094114e+00 3.122095430486389127e-04
7.176427513496687283e+00 3.125103509457207818e-04
7.335903680463280452e+00 3.128116055297901254e-04
7.495379847429873621e+00 3.131133077109789394e-04
7.654856014396466790e+00 3.134154584018052233e-04
7.814332181363059959e+00 3.137180585171806240e-04
7.973808348329653128e+00 3.140211089744173205e-04
8.133284515296246298e+00 3.143246106932368056e-04
8.292760682262839467e+00 3.146285645957773132e-04
8.452236849229432636e+00 3.149329716066015159e-04
8.611713016196025805e+00 3.152378326527043311e-04
8.771189183162618974e+00 3.155431486635214863e-04
8.930665350129210367e+00 3.158489205709364041e-04
9.090141517095803536e+00 3.161551493092889294e-04
9.249617684062396705e+00 3.164618358153831906e-04
9.409093851028989874e+00 3.167689810284952424e-04
9.568570017995583044e+00 3.170765858903815777e-04
9.728046184962176213e+00 3.173846513452869872e-04
9.887522351928769382e+00 3.176931783399525831e-04
1.004699851889536255e+01 3.180021678236242015e-04
1.020647468586195572e+01 3.183116207480604252e-04
1.036595085282854889e+01 3.186215380675405532e-04
1.052542701979514206e+01 3.189319207388731652e-04
1.068490318676173523e+01 3.192427697214046331e-04
1.084437935372832840e+01 3.195540859770267103e-04
1.100385552069492157e+01 3.198658704701854219e-04
1.116333168766151474e+01 3.201781241678893050e-04
1.132280785462810790e+01 3.204908480397175401e-04
1.148228402159470107e+01 3.208040430578288954e-04
1.164176018856129247e+01 3.211177101969698048e-04
1.180123635552788564e+01 3.214318504344827699e-04
1.196071252249447880e+01 3.217464647503155218e-04
1.212018868946107197e+01 3.220615541270288812e-04
1.227966485642766514e+01 3.223771195498054869e-04
1.243914102339425831e+01 3.226931620064592277e-04
1.259861719036085148e+01 3.230096824874426151e-04
1.275809335732744465e+01 3.233266819858562164e-04
1.291756952429403782e+01 3.236441614974578155e-04
1.307704569126063099e+01 3.239621220206703278e-04
1.323652185822722416e+01 3.242805645565906910e-04
1.339599802519381733e+01 3.245994901089997308e-04
1.355547419216041050e+01 3.249188996843695339e-04
1.371495035912700367e+01 3.252387942918736393e-04
1.387442652609359683e+01 3.255591749433952783e-04
1.403390269306018823e+01 3.258800426535364819e-04
1.419337886002678140e+01 3.262013984396270791e-04
1.435285502699337457e+01 3.265232433217343474e-04
1.451233119395996773e+01 3.268455783226709263e-04
