# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.994839549746988933e-04
1.594761669665930581e-01 2.997660463410978726e-04
3.189523339331861163e-01 3.000485466931460186e-04
4.784285008997791744e-01 3.003314568433782666e-04
6.379046678663722325e-01 3.006147776064037390e-04
7.973808348329652906e-01 3.008985097989120877e-04
9.568570017995583488e-01 3.011826542396807589e-04
1.116333168766151296e+00 3.014672117495809014e-04
1.275809335732744465e+00 3.017521831515839804e-04
1.435285502699337634e+00 3.020375692707692045e-04
1.594761669665930581e+00 3.023233709343291090e-04
1.754237836632523528e+00 3.026095889715766578e-04
1.913714003599116698e+00 3.028962242139525071e-04
2.073190170565709867e+00 3.031832774950307522e-04
2.232666337532302592e+00 3.034707496505261370e-04
2.392142504498895761e+00 3.037586415183013183e-04
2.551618671465488930e+00 3.040469539383725038e-04
2.711094838432082099e+00 3.043356877529176377e-04
2.870571005398675268e+00 3.046248438062819841e-04
3.030047172365267993e+00 3.049144229449859880e-04
3.189523339331861163e+00 3.052044260177316716e-04
3.348999506298454332e+00 3.054948538754096278e-04
3.508475673265047057e+00 3.057857073711059046e-04
3.667951840231640226e+00 3.060769873601095945e-04
3.827428007198233395e+00 3.063686946999189605e-04
3.986904174164826564e+00 3.066608302502486999e-04
4.146380341131419733e+00 3.069533948730376427e-04
4.305856508098012903e+00 3.072463894324553102e-04
4.465332675064605183e+00 3.075398147949087464e-04
4.624808842031198353e+00 3.078336718290504859e-04
4.784285008997791522e+00 3.081279614057848434e-04
4.943761175964384691e+00 3.084226843982758271e-04
5.103237342930977860e+00 3.087178416819539705e-04
5.262713509897571029e+00 3.090134341345237038e-04
5.422189676864164198e+00 3.093094626359705105e-04
5.581665843830757368e+00 3.096059280685685704e-04
5.741142010797350537e+00 3.099028313168877532e-04
5.900618177763942818e+00 3.102001732678009906e-04
6.060094344730535987e+00 3.104979548104919206e-04
6.219570511697129156e+00 3.107961768364622050e-04
6.379046678663722325e+00 3.110948402395387401e-04
6.538522845630315494e+00 3.113939459158816792e-04
6.697999012596908663e+00 3.116934947639913721e-04
6.857475179563501833e+00 3.119934876847162250e-04
7.016951346530094114e+00 3.122939255812602361e-04
7.176427513496687283e+00 3.125948093591902053e-04
7.335903680463280452e+00 3.128961399264442995e-04
7.495379847429873621e+00 3.131979181933385037e-04
7.654856014396466790e+00 3.135001450725751859e-04
7.814332181363059959e+00 3.138028214792505243e-04
7.973808348329653128e+00 3.141059483308624215e-04
8.133284515296246298e+00 3.144095265473176065e-04
8.292760682262839467e+00 3.147135570509404165e-04
8.452236849229432636e+00 3.150180407664800609e-04
8.611713016196025805e+00 3.153229786211182652e-04
8.771189183162618974e+00 3.156283715444780529e-04
8.930665350129210367e+00 3.159342204686306846e-04
9.090141517095803536e+00 3.162405263281039517e-04
9.249617684062396705e+00 3.165472900598907419e-04
9.409093851028989874e+00 3.168545126034559784e-04
9.568570017995583044e+00 3.171621949007455638e-04
9.728046184962176213e+00 3.174703378961942412e-04
9.887522351928769382e+00 3.177789425367334004e-04
1.004699851889536255e+01 3.180880097717993715e-04
1.020647468586195572e+01 3.183975405533420993e-04
1.036595085282854889e+01 3.187075358358323527e-04
1.052542701979514206e+01 3.190179965762708863e-04
1.068490318676173523e+01 3.193289237341962470e-04
1.084437935372832840e+01 3.196403182716931217e-04
1.100385552069492157e+01 3.199521811534010657e-04
1.116333168766151474e+01 3.202645133465220379e-04
1.132280785462810790e+01 3.205773158208297243e-04
1.148228402159470107e+01 3.208905895486773453e-04
1.164176018856129247e+01 3.212043355050064365e-04
1.180123635552788564e+01 3.215185546673549814e-04
1.196071252249447880e+01 3.218332480158667347e-04
1.212018868946107197e+01 3.221484165332989206e-04
1.227966485642766514e+01 3.224640612050311229e-04
1.243914102339425831e+01 3.227801830190742843e-04
1.259861719036085148e+01 3.230967829660787833e-04
1.275809335732744465e+01 3.234138620393435417e-04
1.291756952429403782e+01 3.237314212348249153e-04
1.307704569126063099e+01 3.240494615511446620e-04
1.323652185822722416e+01 3.243679839895996465e-04
1.339599802519381733e+01 3.246869895541704587e-04
1.355547419216041050e+01 3.250064792515299254e-04
1.371495035912700367e+01 3.253264540910521629e-04
1.387442652609359683e+01 3.256469150848220100e-04
1.403390269306018823e+01 3.259678632476433217e-04
1.419337886002678140e+01 3.262892995970483479e-04
1.435285502699337457e+01 3.266112251533068948e-04
1.451233119395996773e+01 3.269336409394350525e-04
1.467180736092656090e+01 3.272565479812044654e-04
1.483128352789315407e+01 3.275799473071519812e-04
1.499075969485974724e+01 3.279038399485879451e-04
1.515023586182634041e+01 3.282282269396061746e-04
1.530971202879293358e+01 3.285531093170929043e-04
1.546918819575952675e+01 3.288784881207360553e-04
1.562866436272611992e+01 3.292043643930351021e-04
1.578814052969271309e+01 3.295307391793095286e-04
1.594761669665930626e+01 3.298576135277090748e-04
1.610709286362589765e+01 3.301849884892229517e-04
1.626656903059249260e+01 3.305128651176890029e-04
1.642604519755908399e+01 3.308412444698037341e-04
1.658552136452567893e+01 3.311701276051316365e-04
1.674499753149227033e+01 3.314995155861148908e-04
1.690447369845886527e+01 3.318294094780826911e-04
1.706394986542545666e+01 3.321598103492616537e-04
1.722342603239205161e+01 3.324907192707848153e-04
1.738290219935864300e+01 3.328221373167015540e-04
1.754237836632523795e+01 3.331540655639879975e-04
1.770185453329182934e+01 3.334865050925558592e-04
1.786133070025842073e+01 3.338194569852631177e-04
1.802080686722501568e+01 3.341529223279239916e-04
1.818028303419160707e+01 3.344869022093179922e-04
1.833975920115820202e+01 3.348213977212009286e-04
1.849923536812479341e+01 3.351564099583147194e-04
1.865871153509138836e+01 3.354919400183969339e-04
1.881818770205797975e+01 3.358279890021913629e-04
1.897766386902457469e+01 3.361645580134586440e-04
1.913714003599116609e+01 3.365016481589852061e-04
1.929661620295776103e+01 3.368392605485950333e-04
1.945609236992435243e+01 3.371773962951587177e-04
1.961556853689094737e+01 3.375160565146043557e-04
1.977504470385753876e+01 3.378552423259280108e-04
1.993452087082413371e+01 3.381949548512041756e-04
2.009399703779072510e+01 3.385351952155952050e-04
2.025347320475732005e+01 3.388759645473636757e-04
2.041294937172391144e+01 3.392172639778813850e-04
2.057242553869050283e+01 3.395590946416403560e-04
2.073190170565709778e+01 3.399014576762640584e-04
2.089137787262368917e+01 3.402443542225170583e-04
2.105085403959028412e+01 3.405877854243166735e-04
2.121033020655687551e+01 3.409317524287432187e-04
2.136980637352347046e+01 3.412762563860509565e-04
2.152928254049006185e+01 3.416212984496788847e-04
2.168875870745665679e+01 3.419668797762617958e-04
2.184823487442324819e+01 3.423130015256412267e-04
2.200771104138984313e+01 3.426596648608759219e-04
2.216718720835643452e+01 3.430068709482536507e-04
2.232666337532302947e+01 3.433546209573019414e-04
2.248613954228962086e+01 3.437029160607986519e-04
2.264561570925621581e+01 3.440517574347843298e-04
2.280509187622280720e+01 3.444011462585722951e-04
2.296456804318940215e+01 3.447510837147605670e-04
2.312404421015599354e+01 3.451015709892428680e-04
2.328352037712258493e+01 3.454526092712201170e-04
2.344299654408917988e+01 3.458041997532116502e-04
2.360247271105577127e+01 3.461563436310670936e-04
2.376194887802236622e+01 3.465090421039772588e-04
2.392142504498895761e+01 3.468622963744860698e-04
2.408090121195555255e+01 3.472161076485023802e-04
2.424037737892214395e+01 3.475704771353106529e-04
2.439985354588873889e+01 3.479254060475839706e-04
2.455932971285533029e+01 3.482808956013947691e-04
2.471880587982192523e+01 3.486369470162267638e-04
2.487828204678851662e+01 3.489935615149874723e-04
2.503775821375511157e+01 3.493507403240191642e-04
2.519723438072170296e+01 3.497084846731111679e-04
2.535671054768829791e+01 3.500667957955123379e-04
2.551618671465488930e+01 3.504256749279422768e-04
2.567566288162148069e+01 3.507851233106038034e-04
2.583513904858807564e+01 3.511451421871953672e-04
2.599461521555466703e+01 3.515057328049223237e-04
2.615409138252126198e+01 3.518668964145104869e-04
2.631356754948785337e+01 3.522286342702171886e-04
2.647304371645444832e+01 3.525909476298442883e-04
2.663251988342103971e+01 3.529538377547502626e-04
2.679199605038763465e+01 3.533173059098631608e-04
2.695147221735422605e+01 3.536813533636922065e-04
2.711094838432082099e+01 3.540459813883408075e-04
2.727042455128741238e+01 3.544111912595198917e-04
2.742990071825400733e+01 3.547769842565589118e-04
2.758937688522059872e+01 3.551433616624201568e-04
2.774885305218719367e+01 3.555103247637105154e-04
2.790832921915378506e+01 3.558778748506945949e-04
2.806780538612037645e+01 3.562460132173077320e-04
2.822728155308697140e+01 3.566147411611686772e-04
2.838675772005356279e+01 3.569840599835924434e-04
2.854623388702015774e+01 3.573539709896040206e-04
2.870571005398674913e+01 3.577244754879504106e-04
2.886518622095334408e+01 3.580955747911145591e-04
2.902466238791993547e+01 3.584672702153285828e-04
2.918413855488653041e+01 3.588395630805861838e-04
2.934361472185312181e+01 3.592124547106569066e-04
2.950309088881971675e+01 3.595859464330991486e-04
