# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.176359379897672600e-03
1.310846081991829115e-01 9.222264968154883502e-03
2.621692163983658230e-01 9.268554158998673631e-03
3.932538245975487623e-01 9.315231398682994809e-03
5.243384327967316461e-01 9.362301199063314400e-03
6.554230409959145298e-01 9.409768138770461046e-03
7.865076491950975246e-01 9.457636864409108696e-03
9.175922573942804084e-01 9.505912091781554621e-03
1.048676865593463292e+00 9.554598607137365640e-03
1.179761473792646287e+00 9.603701268449582953e-03
1.310846081991829060e+00 9.653225006718044177e-03
1.441930690191012054e+00 9.703174827300558095e-03
1.573015298390195049e+00 9.753555811272603474e-03
1.704099906589377822e+00 9.804373116816202452e-03
1.835184514788560817e+00 9.855631980638776893e-03
1.966269122987743589e+00 9.907337719422631278e-03
2.097353731186926584e+00 9.959495731305912161e-03
2.228438339386109579e+00 1.001211149739576582e-02
2.359522947585292574e+00 1.006519058331452852e-02
2.490607555784475124e+00 1.011873864077977511e-02
2.621692163983658119e+00 1.017276140921906033e-02
2.752776772182841114e+00 1.022726471742025495e-02
2.883861380382024109e+00 1.028225448521835270e-02
3.014945988581207104e+00 1.033773672521970909e-02
3.146030596780390098e+00 1.039371754456460198e-02
3.277115204979572649e+00 1.045020314672915826e-02
3.408199813178755644e+00 1.050719983336764925e-02
3.539284421377938639e+00 1.056471400619613324e-02
3.670369029577121633e+00 1.062275216891859012e-02
3.801453637776304628e+00 1.068132092919657147e-02
3.932538245975487179e+00 1.074042700066360490e-02
4.063622854174670174e+00 1.080007720498537584e-02
4.194707462373853168e+00 1.086027847396700725e-02
4.325792070573036163e+00 1.092103785170860097e-02
4.456876678772219158e+00 1.098236249681035226e-02
4.587961286971402153e+00 1.104425968462852820e-02
4.719045895170585148e+00 1.110673680958362483e-02
4.850130503369768142e+00 1.116980138752217064e-02
4.981215111568950249e+00 1.123346105813353112e-02
5.112299719768133244e+00 1.129772358742322028e-02
5.243384327967316239e+00 1.136259687024423863e-02
5.374468936166499233e+00 1.142808893288797811e-02
5.505553544365682228e+00 1.149420793573632978e-02
5.636638152564865223e+00 1.156096217597665787e-02
5.767722760764048218e+00 1.162836009038130565e-02
5.898807368963231212e+00 1.169641025815345084e-02
6.029891977162414207e+00 1.176512140384109416e-02
6.160976585361597202e+00 1.183450240032109246e-02
