mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
5,39.37966520491987,9.6818889577294e-28,0.2943232314142392,1.837577911950677e-14,6.845368142252521e-15,1.3993951674568707e-14,6.845368142252521e-15,3.201445937251179e-15,5.6289472282299916e-15,1.3993951674568707e-14,5.6289472282299916e-15,1.3690736284505042e-14
6,41.1383996758184,0.34413153673759006,0.7499999999999999,0.0,0.0,-0.3906735261218564,0.0,0.0,-0.30196800975774424,-0.3906735261218564,-0.30196800975774424,0.0
7,45.64720108469173,0.5387042003631705,0.19101374869916007,-0.15503497640226768,-0.13731191538245208,0.0,-0.13731191538245208,-0.12752133941204352,0.0,0.0,0.0,-0.823481153883217
8,52.626044198216626,3.994806233600354e-28,0.3053188196370075,-1.1607259364451927e-14,-2.766049471148128e-15,1.3951016442005139e-14,-2.766049471148128e-15,-7.895193704504944e-15,6.402891874502358e-15,1.3951016442005139e-14,6.402891874502358e-15,-9.864743252614334e-15
9,58.1978347200449,0.2560558316750856,0.75,0.0,0.0,-0.5918247721145212,0.0,0.0,-0.001958943456734106,-0.5918247721145212,-0.001958943456734106,0.0
10,93.04882278926443,0.37794579794581173,0.10396002721390916,0.7823016582867532,0.49741283356047494,0.0,0.49741283356047494,0.4973296176543072,0.0,0.0,0.0,0.7283100832125767
11,93.69248649010378,5.589819165612103e-28,0.09835100865284874,4.3518842334016027e-14,1.199891526075442e-14,0.0,1.199891526075442e-14,1.376882033175507e-14,0.0,0.0,0.0,2.0952552678757717e-14
12,96.60540437278112,0.10618676649308958,0.6692375920121851,-0.6002433922189535,0.3983875647111743,0.0,0.3983875647111743,0.20341746880453532,0.0,0.0,0.0,0.08023599008797008
13,103.1912724168665,5.624246894076683e-29,0.5899261320591047,-2.654857606500978e-15,1.376882033175507e-14,0.0,1.376882033175507e-14,-5.010393031876845e-15,0.0,0.0,0.0,-3.4877541105012848e-15
14,119.4460224746548,0.06587348932757377,0.7499537301844742,-0.4071950455518775,0.306278347922198,0.0,0.306278347922198,0.5442951253597335,0.0,0.0,0.0,-0.1441454200455216
15,127.19605132961686,5.959596786561769e-34,0.75,0.0,0.0,-5.2056031500019173e-17,0.0,0.0,-2.6028015750009587e-17,-5.2056031500019173e-17,-2.6028015750009587e-17,0.0
16,185.53117997384712,0.06437456664863735,0.75,0.0,0.0,0.2059017082230043,0.0,0.0,-0.8089784395208969,0.2059017082230043,-0.8089784395208969,0.0
17,188.52559210812439,0.6381942105313071,0.08109514816310895,2.3733596835788355,0.7616169554219347,0.0,0.7616169554219347,0.7707262184854085,0.0,0.0,0.0,1.813692457510069
18,196.04218557759717,1.0,0.75,0.0,0.0,2.8721998976210235,0.0,0.0,1.8989026416295995,2.8721998976210235,1.8989026416295995,0.0
19,197.07947913419494,1.2126773035273093e-34,0.7499999999999999,0.0,0.0,1.3014007875004793e-17,0.0,0.0,3.578852165626318e-17,1.3014007875004793e-17,3.578852165626318e-17,0.0
20,221.24840291679388,3.168502154365767e-30,0.06904141364829039,-6.5248981983305285e-15,-4.396294535275057e-16,0.0,-4.396294535275057e-16,-1.4380478701880297e-15,0.0,0.0,0.0,-4.807862534322083e-15
21,238.05870288104447,4.275537855821232e-28,0.75,0.0,0.0,-7.605386202152801e-14,0.0,0.0,-3.391450452226249e-14,-7.605386202152801e-14,-3.391450452226249e-14,0.0
22,238.8806926123539,0.6264900202568447,0.7500000000000001,0.0,0.0,2.9591976808425096,0.0,0.0,1.208160178577708,2.9591976808425096,1.208160178577708,0.0
23,259.00883783740824,0.31336152707034365,0.08583978612752277,-1.5126387567537984,-1.0334099744959249,0.0,-1.0334099744959249,-1.5157503116355182,0.0,0.0,0.0,-1.4297503875214097
24,261.26462923560274,2.31641832395301e-28,0.07802657458776696,4.4247626775016294e-14,2.6945503305197426e-14,0.0,2.6945503305197426e-14,4.022629834163982e-14,0.0,0.0,0.0,3.871667342813926e-14
25,295.92792589198496,1.2207315492547789e-29,0.5615709170475075,-8.667329244753192e-15,-1.444554874125532e-15,0.0,-1.444554874125532e-15,2.114776279688279e-14,0.0,0.0,0.0,1.2103027323754458e-15
26,301.09894774937936,0.19173297275305493,0.5680752141872168,-2.239217515944999,-0.8411121061627826,0.0,-0.8411121061627826,1.2566232701697493,0.0,0.0,0.0,-0.7219942876057498
27,322.13533661677377,0.6994108187312631,0.06501292007645035,4.182594265434361,0.5235008273102588,0.0,0.5235008273102588,1.1522914504993516,0.0,0.0,0.0,2.7280806807697355
28,330.9469628718946,7.1571799548311e-29,0.07154216295529088,4.3154450113515896e-14,6.038499654002224e-15,0.0,6.038499654002224e-15,1.0775598520503968e-14,0.0,0.0,0.0,2.8630817325010546e-14
29,333.8816250173979,0.44572338818024454,0.1432384200280546,3.262958340239239,1.5115253256525212,0.0,1.5115253256525212,1.110784103152711,0.0,0.0,0.0,1.6303651166039335
30,353.25382459754877,1.9442406958564498e-35,0.18750000000000006,0.0,-6.507003937502397e-18,0.0,-6.507003937502397e-18,1.3014007875004793e-17,0.0,0.0,0.0,2.6028015750009587e-17
