# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.074772423835208668e-06 1.078053538136221656e-06 3.446078310050605702e-05 3.661360906247748480e-05
1.100000000000000089e+00 1.079968736402845610e-06 1.083593502712787994e-06 3.474035570308610875e-05 3.690391794220174469e-05
2.200000000000000178e+00 1.085219744559536886e-06 1.089209001213104834e-06 3.502437036775318531e-05 3.719879911352582449e-05
3.300000000000000266e+00 1.090526699368381777e-06 1.094903062593520414e-06 3.531294245162811500e-05 3.749837221359002016e-05
4.400000000000000355e+00 1.095890911410942823e-06 1.100678968659639661e-06 3.560619184539655423e-05 3.780276172546713438e-05
5.500000000000000000e+00 1.101313755396780907e-06 1.106540284021426895e-06 3.590424325829488273e-05 3.811209729771308948e-05
6.600000000000000533e+00 1.106796675248204840e-06 1.112490890422519017e-06 3.620722653473517152e-05 3.842651410040589686e-05
7.700000000000001066e+00 1.112341189719906793e-06 1.118535026195364091e-06 3.651527700835751445e-05 3.874615322427278597e-05
8.800000000000000711e+00 1.117948898621943525e-06 1.124677331742487948e-06 3.682853590075207213e-05 3.907116213111650128e-05
9.900000000000000355e+00 1.123621489724860356e-06 1.130922902126269647e-06 3.714715077399320024e-05 3.940169516584433363e-05
1.100000000000000000e+01 1.129360746437875220e-06 1.137277348073522981e-06 3.747127604863014275e-05 3.973791414314154391e-05
1.210000000000000142e+01 1.135168556365341426e-06 1.143746866977677530e-06 3.780107360210500776e-05 4.007998902544802650e-05
1.320000000000000107e+01 1.141046920863648042e-06 1.150338325824385008e-06 3.813671346702986989e-05 4.042809871371790442e-05
1.430000000000000071e+01 1.146997965740839067e-06 1.157059358393863822e-06 3.847837465479689843e-05 4.078243197893159899e-05
1.540000000000000213e+01 1.153023953265255756e-06 1.163918479628701944e-06 3.882624613825932133e-05 4.114318857115327607e-05
1.650000000000000000e+01 1.159127295678343859e-06 1.170925220729765565e-06 3.918052803864355933e-05 4.151058055505167172e-05
1.760000000000000142e+01 1.165310570441500148e-06 1.178090289395668597e-06 3.954143307781206253e-05 4.188483393764922937e-05
1.870000000000000284e+01 1.171576537488984759e-06 1.185425760706420574e-06 3.990918837954952208e-05 4.226619067774492678e-05
1.980000000000000071e+01 1.177928158810330429e-06 1.192945305540669350e-06 4.028403773579635605e-05 4.265491120014735371e-05
2.090000000000000213e+01 1.184368620748842063e-06 1.200664465204184442e-06 4.066624450044552453e-05 4.305127758639855400e-05
2.200000000000000000e+01 1.190901359480993651e-06 1.208600983264339529e-06 4.105609534179558985e-05 4.345559768454092112e-05
2.310000000000000142e+01 1.197530090239171888e-06 1.216775208607841433e-06 4.145390518652618917e-05 4.386821048537320461e-05
2.420000000000000284e+01 1.204258840963369362e-06 1.225210587709036360e-06 4.186002384141504387e-05 4.428949327008745065e-05
2.530000000000000071e+01 1.211091991224408459e-06 1.233934269349237467e-06 4.227484501334294439e-05 4.471987127391659011e-05
2.640000000000000213e+01 1.218034317463882145e-06 1.242977852031811719e-06 4.269881881121448646e-05 4.515983098071017885e-05
2.750000000000000355e+01 1.225091045861132180e-06 1.252378313752869846e-06 4.313246938358316902e-05 4.560993874319717295e-05
2.860000000000000142e+01 1.232267914490025407e-06 1.262179176550966364e-06 4.357642025187152823e-05 4.607086734291252297e-05
2.970000000000000284e+01 1.239571246904916474e-06 1.272431975717676971e-06 4.403143135189327656e-05 4.654343457451587022e-05
3.080000000000000426e+01 1.247008039952223561e-06 1.283198127657103952e-06 4.449845413209377348e-05 4.702866029970310268e-05
3.190000000000000213e+01 1.254586069528450933e-06 1.294551323999387906e-06 4.497871477519800251e-05 4.752785216872584410e-05
3.300000000000000000e+01 1.262314019334305587e-06 1.306580626945752240e-06 4.547384131123074060e-05 4.804273595751079969e-05
3.410000000000000142e+01 1.270201639625854270e-06 1.319394508316639132e-06 4.598605822197723717e-05 4.857565436991972930e-05
3.520000000000000284e+01 1.278259945885721572e-06 1.333126172054149610e-06 4.651847930400743072e-05 4.912986542194730402e-05
3.630000000000000426e+01 1.286501471778099104e-06 1.347940641848687819e-06 4.707552080985058089e-05 4.970996292347736528e-05
3.740000000000000568e+01 1.294940597528156670e-06 1.364044305238602064e-06 4.766337141297062450e-05 5.032235631573738323e-05
3.850000000000000000e+01 1.303593985014374776e-06 1.381697919424100939e-06 4.829008543277410259e-05 5.097537733721257491e-05
3.960000000000000142e+01 1.312481164950495055e-06 1.401234560341769144e-06 4.896363860003649036e-05 5.167735432532875498e-05
4.070000000000000284e+01 1.321625336438946216e-06 1.423084729282742096e-06 4.968345975032994083e-05 5.242816981605162872e-05
4.180000000000000426e+01 1.331054435551173913e-06 1.447811973941743992e-06 5.042026567387379176e-05 5.319913208336670839e-05
4.290000000000000568e+01 1.340802427657425421e-06 1.476164185397343518e-06 5.110199332900864429e-05 5.391895994206341450e-05
4.400000000000000000e+01 1.350910299043721979e-06 1.509148613798601862e-06 5.166550460800369818e-05 5.452556352084602498e-05
4.510000000000000142e+01 1.361424566778716104e-06 1.548143277622374842e-06 5.213877473026948782e-05 5.504834257467058152e-05
4.620000000000000284e+01 1.372387027142939177e-06 1.595064880033889217e-06 5.260329901217539617e-05 5.557075091935222372e-05
4.730000000000000426e+01 1.383806825102465442e-06 1.652625081902595654e-06 5.311077346688995368e-05 5.614720537389501732e-05
4.840000000000000568e+01 1.395634342071974598e-06 1.724724486210172454e-06 5.367398668926097515e-05 5.679434551754312347e-05
4.950000000000000711e+01 1.407827150079864949e-06 1.817055741473279026e-06 5.428952229898548920e-05 5.751440519053863148e-05
5.060000000000000142e+01 1.420490180083201665e-06 1.937998743156302258e-06 5.495154627374668606e-05 5.831003519698619040e-05
5.170000000000000284e+01 1.433848819399948942e-06 2.099822242752225607e-06 5.565615685793910342e-05 5.918982792009128135e-05
5.280000000000000426e+01 1.448116472992199135e-06 2.319795527283176436e-06 5.640213846782702754e-05 6.017005046810240248e-05
5.390000000000000568e+01 1.463472621829521964e-06 2.619220599202086947e-06 5.719093287472477426e-05 6.127362609575638360e-05
5.500000000000000711e+01 1.480106986491424967e-06 3.013633154499893037e-06 5.802673673578671274e-05 6.252047687677803371e-05
5.610000000000000142e+01 1.498256956128238717e-06 3.479118799377596673e-06 5.891700062549232544e-05 6.389437638099816782e-05
5.720000000000000284e+01 1.518234381150174091e-06 3.891648545059993179e-06 5.987344458280252581e-05 6.528332750901269901e-05
5.830000000000000426e+01 1.540453723854756259e-06 4.035993291584694454e-06 6.091357513904905463e-05 6.649002215448849835e-05
5.940000000000000568e+01 1.565470550544540314e-06 3.816740789351545639e-06 6.206211053078740673e-05 6.744432187068349438e-05
6.050000000000000711e+01 1.594038266528965096e-06 3.389743585179094898e-06 6.334948400977540744e-05 6.833326586148347442e-05
6.160000000000000853e+01 1.627193467961584179e-06 2.957440207599310222e-06 6.479793052682963157e-05 6.938256420239053042e-05
6.270000000000000284e+01 1.666385833067132450e-06 2.610363611952197864e-06 6.637425488406319476e-05 7.065100432908252804e-05
6.380000000000000426e+01 1.713677437117228933e-06 2.356007898999575571e-06 6.790620152084659677e-05 7.197588685696339704e-05
6.490000000000000568e+01 1.772048838762027747e-06 2.175261151710445024e-06 6.909898684754936494e-05 7.304629683802183263e-05
6.600000000000000000e+01 1.845860967518428580e-06 2.047607584986483449e-06 6.982974414000918644e-05 7.372321269251409890e-05
6.710000000000000853e+01 1.941509289334248188e-06 1.957307115855494765e-06 7.032022270513818942e-05 7.421903911032793407e-05
6.820000000000000284e+01 2.068175999250630934e-06 1.893394251518343669e-06 7.085006629618188344e-05 7.481163654695086377e-05
6.930000000000001137e+01 2.238014576317488215e-06 1.848449649305015461e-06 7.154414627653292403e-05 7.563061050215542707e-05
7.040000000000000568e+01 2.463193187014196209e-06 1.817478083813145463e-06 7.241507011719978341e-05 7.669574138802712508e-05
7.150000000000000000e+01 2.742762586218159094e-06 1.797108653811802373e-06 7.344034801701512349e-05 7.798021925704509173e-05
7.260000000000000853e+01 3.030834502758953235e-06 1.785067209301360793e-06 7.459647939570519608e-05 7.941238110776550842e-05
7.370000000000000284e+01 3.212670122440214458e-06 1.779838914485629200e-06 7.586730869758258930e-05 8.085981773450843634e-05
7.480000000000001137e+01 3.183809347094192221e-06 1.780457182383870929e-06 7.724411603353863382e-05 8.220838256301670269e-05
7.590000000000000568e+01 2.983878238168005990e-06 1.786377261597015453e-06 7.872412991985106869e-05 8.349438541961608717e-05
7.700000000000000000e+01 2.742157032482432451e-06 1.797409681073377836e-06 8.030926542954637710e-05 8.484883214310218527e-05
7.810000000000000853e+01 2.542361886679498322e-06 1.813700907417412651e-06 8.200539575249454858e-05 8.636145854659145341e-05
7.920000000000000284e+01 2.405111138520397581e-06 1.835757952225157032e-06 8.382212048506501112e-05 8.806298957581056171e-05
8.030000000000001137e+01 2.324174108777570116e-06 1.864522326123634401e-06 8.577296819290795838e-05 8.996166462780916988e-05
8.140000000000000568e+01 2.289107163854867228e-06 1.901508596597866110e-06 8.787602029400345374e-05 9.206663605445618412e-05
8.250000000000000000e+01 2.292538725776704060e-06 1.949035648533183553e-06 9.015501029176968117e-05 9.439658466607957047e-05
8.360000000000000853e+01 2.331544494584033745e-06 2.010595240146659476e-06 9.264103281228192684e-05 9.698317254701262387e-05
8.470000000000000284e+01 2.407756562098287828e-06 2.091417352820277134e-06 9.537510397676437373e-05 9.987427789168294462e-05
8.580000000000001137e+01 2.527713807056006837e-06 2.199275382365382181e-06 9.841197194217592950e-05 1.031389611315973117e-04
8.690000000000000568e+01 2.703820604343375770e-06 2.345407084471812062e-06 1.018258205721973169e-04 1.068750482610125052e-04
8.800000000000000000e+01 2.955638377065222282e-06 2.544700679085484250e-06 1.057188956842265281e-04 1.112192347403772355e-04
8.910000000000000853e+01 3.309700993628884640e-06 2.811881409449156935e-06 1.102346890676023772e-04 1.163562714706804167e-04
9.020000000000000284e+01 3.791237089052128930e-06 3.144849299226738171e-06 1.155782140329962386e-04 1.225143004212750960e-04
9.130000000000001137e+01 4.390602796648376112e-06 3.484814834163617431e-06 1.220470247591967601e-04 1.299224423900087477e-04
9.240000000000000568e+01 4.987469990190131668e-06 3.687844337517180824e-06 1.300771596716380075e-04 1.387524739993453238e-04
9.350000000000001421e+01 5.309554596955934276e-06 3.626096416895589978e-06 1.403044088264953661e-04 1.492400598403468984e-04
9.460000000000000853e+01 5.142199874673471497e-06 3.351704081172655288e-06 1.536193453934393751e-04 1.621132493492854934e-04
9.570000000000000284e+01 4.608967644482814908e-06 3.024208867218961689e-06 1.711101833626587764e-04 1.787433598743605424e-04
9.680000000000001137e+01 4.000846269330310563e-06 2.744472966727310051e-06 1.935382448948403441e-04 2.002835641308979672e-04
9.790000000000000568e+01 3.487941279828413910e-06 2.535433789634503454e-06 2.195725826313638541e-04 2.255959577008267753e-04
9.900000000000001421e+01 3.103940991553094073e-06 2.386968134822846768e-06 2.427154774071859776e-04 2.482063865335619414e-04
1.001000000000000085e+02 2.828161250049852676e-06 2.283229668932668883e-06 2.520665134231055257e-04 2.571779043420880663e-04
1.012000000000000028e+02 2.631741660511028178e-06 2.211062204377352756e-06 2.432742663385129055e-04 2.481170702034012619e-04
1.023000000000000114e+02 2.491203875409306802e-06 2.161052418917426389e-06 2.245734153157085474e-04 2.292256716100352738e-04
1.034000000000000057e+02 2.389848337398426807e-06 2.126760838317221610e-06 2.060799157392174095e-04 2.105965249149330677e-04
1.045000000000000142e+02 2.316264323464459110e-06 2.103816703900441133e-06 1.921773924368667215e-04 1.965974734642316217e-04
1.056000000000000085e+02 2.262700140264253564e-06 2.089231447256034008e-06 1.831710359858354444e-04 1.875229675733557446e-04
1.067000000000000028e+02 2.223845623461147397e-06 2.080933555742390197e-06 1.780970345044611907e-04 1.824018136836647215e-04
1.078000000000000114e+02 2.196011109011167475e-06 2.077464274205629756e-06 1.759460069442482760e-04 1.802194823274650673e-04
1.089000000000000057e+02 2.176590881964707321e-06 2.077779734045557881e-06 1.759557446884782461e-04 1.802101153044885159e-04
1.100000000000000142e+02 2.163714117090090844e-06 2.081121458815806639e-06 1.776064223689062277e-04 1.818512579448121206e-04
1.111000000000000085e+02 2.156016156775587344e-06 2.086930594899028168e-06 1.805583565156216458e-04 1.848013032672962664e-04
1.122000000000000028e+02 2.152486761354536099e-06 2.094790284161049078e-06 1.845961675824240450e-04 1.888434446279396175e-04
1.133000000000000114e+02 2.152367939742473279e-06 2.104386357898480120e-06 1.895893027908089363e-04 1.938460570884498939e-04
1.144000000000000057e+02 2.155084097967328710e-06 2.115480105280544563e-06 1.954662064783340932e-04 1.997367706815819741e-04
1.155000000000000142e+02 2.160193552253549138e-06 2.127889038209460060e-06 2.021979841232904979e-04 2.064860667137535008e-04
1.166000000000000085e+02 2.167354377897956341e-06 2.141472828556207427e-06 2.097883480092031924e-04 2.140971752156573655e-04
1.177000000000000028e+02 2.176300023444989186e-06 2.156122492090098312e-06 2.182677168511982092e-04 2.226001393667332857e-04
1.188000000000000114e+02 2.186821677715600260e-06 2.171752772306004521e-06 2.276901465596820170e-04 2.320487210097036269e-04
1.199000000000000057e+02 2.198755377720566946e-06 2.188299900903104764e-06 2.381323073903241351e-04 2.425193626689478110e-04
1.210000000000000142e+02 2.211972488541893880e-06 2.205721598629255384e-06 2.496940774491533308e-04 2.541117715363244733e-04
1.221000000000000085e+02 2.226372609563531905e-06 2.223991936107056262e-06 2.625005663324631684e-04 2.669509308781337553e-04
1.232000000000000171e+02 2.241878261089778610e-06 2.243095560999586284e-06 2.767055675222810968e-04 2.811905413443704363e-04
1.243000000000000114e+02 2.258430900328958496e-06 2.263026304899957996e-06 2.924966013724673939e-04 2.970180585776963176e-04
1.254000000000000057e+02 2.275987941197215617e-06 2.283787633558220104e-06 3.101018824221480653e-04 3.146616579969034795e-04
1.265000000000000142e+02 2.294520546981027634e-06 2.305393132529818743e-06 3.297997556273736921e-04 3.343996693068845274e-04
1.276000000000000085e+02 2.314012033897157944e-06 2.327867105084395590e-06 3.519314332277776423e-04 3.565733123667591976e-04
1.287000000000000171e+02 2.334456772740132887e-06 2.351245638734902084e-06 3.769182804650308776e-04 3.816039828765059312e-04
1.298000000000000114e+02 2.355859512498703622e-06 2.375578423788659610e-06 4.052855252413688106e-04 4.100169631776561484e-04
1.309000000000000057e+02 2.378235078741036441e-06 2.400931634306250629e-06 4.376952295842955203e-04 4.424743962973428073e-04
1.320000000000000000e+02 2.401608423776952584e-06 2.427392326358863455e-06 4.749928473906044448e-04 4.798218481407402693e-04
1.331000000000000227e+02 2.426015027466110506e-06 2.455075072272728306e-06 5.182739495310836192e-04 5.231550396308224694e-04
1.342000000000000171e+02 2.451501669106283333e-06 2.484131973328162488e-06 5.689809024773392421e-04 5.739165361197737366e-04
1.353000000000000114e+02 2.478127614112763428e-06 2.514767838963304794e-06 6.290429254953213431e-04 6.340358209483973936e-04
