mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
17,143.41335731668076,1.0,0.002304707114283672,0.4351892979000272,3.280083908173574e-06,-2.671316250310936e-06,3.280083908173574e-06,0.4302157059244339,-3.4728105972437225e-07,-2.671316250310936e-06,-3.4728105972437225e-07,0.5184969634981168
21,166.24596021358218,0.003347888751796318,0.7499999999999999,0.0,-5.502036123452648e-06,0.04444557214505027,-5.502036123452648e-06,0.0,3.6891618481998435e-07,0.04444557214505027,3.6891618481998435e-07,0.0
24,199.15886417662983,0.05042965614171077,0.75,0.0,0.20049490507547282,3.871923945745981e-05,0.20049490507547282,0.0,2.2938454872922076e-06,3.871923945745981e-05,2.2938454872922076e-06,0.0
29,246.0764898361786,4.019830917139912e-06,0.75,0.0,-4.206415413704058e-06,-1.1423530073385508e-06,-4.206415413704058e-06,0.0,-0.0021220874619929356,-1.1423530073385508e-06,-0.0021220874619929356,0.0
37,429.60998454470797,4.746640957001467e-06,0.75,0.0,-2.0453897001313797e-06,-0.003488188943633501,-2.0453897001313797e-06,0.0,1.2488415904183434e-05,-0.003488188943633501,1.2488415904183434e-05,0.0
39,462.0161015091314,0.041473087332741,0.7495028775736775,0.35809862227225747,-1.6649099139672223e-06,-2.078464086771379e-06,-1.6649099139672223e-06,-0.3232834784403436,-6.018767461799463e-05,-2.078464086771379e-06,-6.018767461799463e-05,-0.048492521765899695
40,462.68311601421277,0.04323245075704867,0.75,0.0,-0.3504176555040361,5.9418458882986154e-05,-0.3504176555040361,0.0,-3.0912117528849045e-07,5.9418458882986154e-05,-3.0912117528849045e-07,0.0
41,480.5815862752625,0.0444215048405173,0.75,0.0,-3.816958294023193e-06,-1.2667620640068778e-06,-3.816958294023193e-06,0.0,-0.364532087832934,-1.2667620640068778e-06,-0.364532087832934,0.0
55,587.4500915463325,0.015531339440558749,0.5675473822511927,-0.197700281046122,1.1451695524748392e-06,-2.2165061320653696e-05,1.1451695524748392e-06,-0.1964568830519476,9.842862860308249e-06,-2.2165061320653696e-05,9.842862860308249e-06,0.19521348505804928
57,625.4420244354513,0.007303206488263725,0.75,0.0,-3.217914008473934e-06,1.0577463638561775e-05,-3.217914008473934e-06,0.0,0.17600818345440114,1.0577463638561775e-05,0.17600818345440114,0.0
