# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 8.101052943561957596e-04
3.499999999999999778e-01 8.140058213602785345e-04
6.999999999999999556e-01 8.179348162126934404e-04
1.049999999999999822e+00 8.218925574912166673e-04
1.399999999999999911e+00 8.258793271943650925e-04
1.750000000000000000e+00 8.298954107919641202e-04
2.099999999999999645e+00 8.339410972765845097e-04
2.449999999999999734e+00 8.380166792158752964e-04
2.799999999999999822e+00 8.421224528058028885e-04
3.149999999999999911e+00 8.462587179248200848e-04
3.500000000000000000e+00 8.504257781889792154e-04
3.849999999999999645e+00 8.546239410080135827e-04
4.199999999999999289e+00 8.588535176424001065e-04
4.549999999999999822e+00 8.631148232614271323e-04
4.899999999999999467e+00 8.674081770022874609e-04
5.250000000000000000e+00 8.717339020302179589e-04
5.599999999999999645e+00 8.760923255997008201e-04
5.949999999999999289e+00 8.804837791167582440e-04
6.299999999999999822e+00 8.849085982023559283e-04
6.649999999999999467e+00 8.893671227569345658e-04
7.000000000000000000e+00 8.938596970261067495e-04
7.349999999999999645e+00 8.983866696675251416e-04
7.699999999999999289e+00 9.029483938189605038e-04
8.049999999999998934e+00 9.075452271676042251e-04
8.399999999999998579e+00 9.121775320206286335e-04
8.750000000000000000e+00 9.168456753770283995e-04
9.099999999999999645e+00 9.215500290007648272e-04
9.449999999999999289e+00 9.262909694952467477e-04
9.799999999999998934e+00 9.310688783791766423e-04
1.014999999999999858e+01 9.358841421637813978e-04
1.050000000000000000e+01 9.407371524314693317e-04
1.084999999999999964e+01 9.456283059159315907e-04
1.119999999999999929e+01 9.505580045837280388e-04
1.154999999999999893e+01 9.555266557173857159e-04
1.189999999999999858e+01 9.605346720000330690e-04
1.225000000000000000e+01 9.655824716016253584e-04
1.259999999999999964e+01 9.706704782667661176e-04
1.294999999999999929e+01 9.757991214041836486e-04
1.329999999999999893e+01 9.809688361778845598e-04
1.364999999999999858e+01 9.861800636000196945e-04
1.400000000000000000e+01 9.914332506255119949e-04
1.434999999999999964e+01 9.967288502484704816e-04
1.469999999999999929e+01 1.002067321600433715e-03
1.504999999999999893e+01 1.007449130050487194e-03
1.539999999999999858e+01 1.012874747307287862e-03
1.574999999999999822e+01 1.018344651523046904e-03
1.609999999999999787e+01 1.023859327399501834e-03
1.644999999999999929e+01 1.029419266295931654e-03
1.679999999999999716e+01 1.035024966339257368e-03
1.714999999999999858e+01 1.040676932536270353e-03
1.750000000000000000e+01 1.046375676888039973e-03
1.784999999999999787e+01 1.052121718506548792e-03
1.819999999999999929e+01 1.057915583733602671e-03
1.854999999999999716e+01 1.063757806262066036e-03
