# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.5498577629e+02 -7.1380768451e-03 7.2379847600e-03 -7.1380768451e-03 1.5484460461e+02 2.4134159803e-02 7.2379847600e-03 2.4134159803e-02 1.4304346122e+02
0.15232615 1.5498582365e+02 -7.1381311349e-03 7.2379134930e-03 -7.1381311349e-03 1.5484465081e+02 2.4133963054e-02 7.2379134930e-03 2.4133963054e-02 1.4304346129e+02
0.30465231 1.5498596572e+02 -7.1382940057e-03 7.2376996895e-03 -7.1382940057e-03 1.5484478942e+02 2.4133372800e-02 7.2376996895e-03 2.4133372800e-02 1.4304346150e+02
0.45697846 1.5498620252e+02 -7.1385654623e-03 7.2373433428e-03 -7.1385654623e-03 1.5484502043e+02 2.4132389021e-02 7.2373433428e-03 2.4132389021e-02 1.4304346186e+02
0.60930462 1.5498653404e+02 -7.1389455121e-03 7.2368444422e-03 -7.1389455121e-03 1.5484534386e+02 2.4131011687e-02 7.2368444422e-03 2.4131011687e-02 1.4304346235e+02
0.76163077 1.5498696031e+02 -7.1394341647e-03 7.2362029750e-03 -7.1394341647e-03 1.5484575971e+02 2.4129240761e-02 7.2362029750e-03 2.4129240761e-02 1.4304346299e+02
0.91395692 1.5498748131e+02 -7.1400314310e-03 7.2354189275e-03 -7.1400314310e-03 1.5484626799e+02 2.4127076201e-02 7.2354189275e-03 2.4127076201e-02 1.4304346377e+02
1.06628308 1.5498809708e+02 -7.1407373223e-03 7.2344922879e-03 -7.1407373223e-03 1.5484686871e+02 2.4124517969e-02 7.2344922879e-03 2.4124517969e-02 1.4304346469e+02
1.21860923 1.5498880762e+02 -7.1415518490e-03 7.2334230491e-03 -7.1415518490e-03 1.5484756189e+02 2.4121566037e-02 7.2334230491e-03 2.4121566037e-02 1.4304346575e+02
1.37093539 1.5498961295e+02 -7.1424750189e-03 7.2322112122e-03 -7.1424750189e-03 1.5484834754e+02 2.4118220397e-02 7.2322112122e-03 2.4118220397e-02 1.4304346695e+02
1.52326154 1.5499051307e+02 -7.1435068357e-03 7.2308567905e-03 -7.1435068357e-03 1.5484922567e+02 2.4114481068e-02 7.2308567905e-03 2.4114481068e-02 1.4304346829e+02
