# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
   0.00000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.10000   1.949127e-03   2.077076e-12  -8.691715e-12   2.077160e-12   1.949127e-03  -9.272725e-12  -8.691762e-12  -9.272744e-12   1.442706e-03
   0.20000   3.971313e-03   4.049747e-12  -1.762449e-11   4.049918e-12   3.971313e-03  -1.848236e-11  -1.762458e-11  -1.848240e-11   2.903328e-03
   0.30000   6.154017e-03   5.725090e-12  -2.707337e-11   5.725355e-12   6.154017e-03  -2.749550e-11  -2.707352e-11  -2.749556e-11   4.400605e-03
   0.40000   8.621334e-03   6.648492e-12  -3.739313e-11   6.648862e-12   8.621334e-03  -3.598377e-11  -3.739333e-11  -3.598386e-11   5.955068e-03
   0.50000   1.158103e-02   5.626150e-12  -4.909452e-11   5.626639e-12   1.158103e-02  -4.311603e-11  -4.909480e-11  -4.311613e-11   7.590385e-03
   0.60000   1.545229e-02  -9.274196e-13  -6.298665e-11  -9.267851e-13   1.545229e-02  -4.660372e-11  -6.298701e-11  -4.660385e-11   9.335652e-03
   0.70000   2.133326e-02  -2.664700e-11  -8.041494e-11  -2.664619e-11   2.133326e-02  -3.877134e-11  -8.041543e-11  -3.877150e-11   1.123070e-02
   0.80000   3.379211e-02  -1.535982e-10  -1.025587e-10  -1.535972e-10   3.379211e-02   1.962415e-11  -1.025594e-10   1.962402e-11   1.334542e-02
   0.90000   8.144632e-02  -9.210853e-10  -1.342357e-10  -9.210833e-10   8.144632e-02   3.813948e-10  -1.342367e-10   3.813946e-10   1.592626e-02
   1.00000   1.340689e-01  -4.551522e-10  -3.140793e-10  -4.551550e-10   1.340689e-01   6.063949e-10  -3.140797e-10   6.063922e-10   1.933566e-02
   1.10000   1.555480e-01   1.450075e-10  -5.846670e-10   1.450106e-10   1.555480e-01   4.716925e-10  -5.846677e-10   4.716904e-10   2.300676e-02
   1.20000   2.372916e-01  -4.568595e-10  -9.929219e-10  -4.568549e-10   2.372916e-01   5.114020e-10  -9.929217e-10   5.114016e-10   2.768475e-02
   1.30000   2.952665e-01   8.633825e-10  -1.386087e-09   8.633866e-10   2.952665e-01   7.719333e-11  -1.386088e-09   7.719242e-11   3.122925e-02
   1.40000   4.166035e-01   4.336268e-09  -2.052789e-09   4.336270e-09   4.166035e-01  -1.364159e-10  -2.052790e-09  -1.364142e-10   3.893645e-02
   1.50000   3.735061e-01   2.963979e-09  -1.962484e-09   2.963966e-09   3.735061e-01  -6.225780e-10  -1.962479e-09  -6.225797e-10   4.615560e-02
   1.60000   3.670630e-01   1.000011e-09  -1.921874e-09   1.000006e-09   3.670630e-01  -1.035756e-09  -1.921873e-09  -1.035755e-09   5.857459e-02
   1.70000   4.559902e-01   8.694946e-09  -2.349706e-09   8.694947e-09   4.559902e-01  -4.490995e-10  -2.349702e-09  -4.490941e-10   7.127485e-02
   1.80000   6.208965e-01   6.685429e-09  -3.231817e-09   6.685410e-09   6.208965e-01   1.394085e-09  -3.231818e-09   1.394085e-09   1.000903e-01
   1.90000   6.141623e-01   6.458025e-09  -3.172211e-09   6.458019e-09   6.141623e-01   1.268544e-09  -3.172206e-09   1.268550e-09   1.339433e-01
   2.00000   6.673447e-01   3.431431e-09  -2.839530e-09   3.431434e-09   6.673448e-01  -2.611626e-10  -2.839537e-09  -2.611653e-10   2.165155e-01
   2.10000   6.084451e-01  -1.282467e-09  -1.393453e-09  -1.282458e-09   6.084451e-01  -3.302930e-09  -1.393466e-09  -3.302927e-09   4.040049e-01
   2.20000   6.080119e-01  -3.676669e-09   7.346746e-10  -3.676674e-09   6.080119e-01  -7.164653e-09   7.346686e-10  -7.164620e-09   5.521140e-01
   2.30000   1.066713e+00  -1.885787e-09   1.499966e-09  -1.885779e-09   1.066713e+00  -1.559276e-08   1.499980e-09  -1.559278e-08   7.469266e-01
   2.40000   1.376794e+00  -8.202945e-09   3.331063e-09  -8.202947e-09   1.376794e+00  -2.248614e-08   3.331063e-09  -2.248614e-08   8.488391e-01
   2.50000   1.388622e+00  -5.740077e-09   4.134292e-09  -5.740084e-09   1.388622e+00  -2.717735e-08   4.134302e-09  -2.717734e-08   1.094145e+00
   2.60000   1.329156e+00  -1.098212e-08   2.393920e-09  -1.098211e-08   1.329156e+00  -2.900122e-08   2.393908e-09  -2.900121e-08   1.442883e+00
   2.70000   1.681151e+00  -9.343051e-09   2.897473e-09  -9.343038e-09   1.681151e+00  -3.884956e-08   2.897470e-09  -3.884956e-08   1.953739e+00
   2.80000   1.440037e+00  -1.647727e-08  -2.566969e-09  -1.647727e-08   1.440037e+00  -3.838788e-08  -2.566981e-09  -3.838789e-08   2.623536e+00
   2.90000   1.793025e+00   2.203377e-08  -2.582012e-08   2.203370e-08   1.793025e+00  -2.273563e-08  -2.582006e-08  -2.273563e-08   3.471830e+00
   3.00000   1.193364e+00   9.508540e-09  -1.893545e-08   9.508541e-09   1.193364e+00  -1.438756e-08  -1.893545e-08  -1.438759e-08   2.830682e+00
   3.10000   1.134174e+00   5.006658e-09  -1.206973e-08   5.006675e-09   1.134174e+00  -1.148448e-08  -1.206974e-08  -1.148446e-08   2.831045e+00
   3.20000   1.233429e+00   8.001715e-09  -1.165762e-08   8.001714e-09   1.233429e+00  -1.784836e-08  -1.165763e-08  -1.784836e-08   3.290694e+00
   3.30000   1.581894e+00   2.007012e-08  -2.630226e-08   2.007012e-08   1.581894e+00  -9.603343e-09  -2.630226e-08  -9.603370e-09   3.100925e+00
   3.40000   2.365509e+00  -3.086202e-08  -3.030244e-08  -3.086199e-08   2.365509e+00  -1.609895e-08  -3.030245e-08  -1.609894e-08   3.579790e+00
   3.50000   1.770653e+00  -1.904421e-08  -1.790684e-08  -1.904424e-08   1.770653e+00  -1.433438e-08  -1.790682e-08  -1.433437e-08   3.730113e+00
   3.60000   1.613831e+00  -1.078295e-08  -2.845259e-08  -1.078295e-08   1.613831e+00  -2.413153e-08  -2.845255e-08  -2.413153e-08   4.472059e+00
   3.70000   2.040218e+00  -2.035163e-09  -4.777933e-08  -2.035156e-09   2.040218e+00  -4.591584e-09  -4.777935e-08  -4.591562e-09   6.082720e+00
   3.80000   2.003399e+00   3.596752e-09  -1.594049e-08   3.596728e-09   2.003399e+00   3.149927e-09  -1.594049e-08   3.149927e-09   4.941716e+00
   3.90000   3.096261e+00  -2.929462e-10  -1.069862e-08  -2.929312e-10   3.096261e+00  -7.229222e-10  -1.069860e-08  -7.229119e-10   3.997552e+00
   4.00000   4.012446e+00   7.060848e-08  -1.811628e-08   7.060847e-08   4.012447e+00  -1.356335e-08  -1.811630e-08  -1.356333e-08   3.540460e+00
   4.10000   3.570861e+00   5.413321e-08  -1.230694e-08   5.413320e-08   3.570861e+00   6.981393e-09  -1.230694e-08   6.981349e-09   3.199308e+00
   4.20000   2.816198e+00  -1.506410e-08  -6.948508e-09  -1.506412e-08   2.816199e+00   2.283195e-09  -6.948522e-09   2.283219e-09   2.352353e+00
   4.30000   2.609503e+00  -4.321502e-09   7.110922e-10  -4.321498e-09   2.609503e+00  -4.773154e-09   7.110792e-10  -4.773167e-09   2.337734e+00
   4.40000   1.922402e+00   6.663322e-09   3.801893e-09   6.663328e-09   1.922402e+00  -1.253632e-08   3.801898e-09  -1.253632e-08   1.989254e+00
   4.50000   2.399295e+00   8.318274e-09   1.363074e-10   8.318267e-09   2.399295e+00   1.353755e-09   1.363057e-10   1.353753e-09   1.996664e+00
   4.60000   2.293290e+00   7.937602e-09  -2.682801e-09   7.937598e-09   2.293290e+00  -1.426105e-08  -2.682797e-09  -1.426103e-08   1.573203e+00
   4.70000   2.458655e+00  -7.301508e-09  -1.360492e-08  -7.301495e-09   2.458655e+00  -8.472045e-09  -1.360490e-08  -8.472059e-09   1.403657e+00
   4.80000   2.492979e+00  -9.311541e-09  -3.050111e-08  -9.311539e-09   2.492979e+00  -1.319352e-08  -3.050109e-08  -1.319348e-08   1.709460e+00
   4.90000   2.323406e+00  -1.298043e-09  -4.405010e-08  -1.298063e-09   2.323406e+00  -4.355672e-10  -4.405011e-08  -4.355694e-10   1.570289e+00
   5.00000   2.027218e+00   1.017988e-09  -3.966700e-08   1.017970e-09   2.027218e+00  -8.752763e-09  -3.966698e-08  -8.752767e-09   1.701224e+00
   5.10000   2.140416e+00   7.527651e-09  -4.485135e-08   7.527672e-09   2.140416e+00  -1.534502e-08  -4.485135e-08  -1.534503e-08   2.992393e+00
   5.20000   2.914873e+00  -7.249502e-09  -3.716081e-08  -7.249486e-09   2.914873e+00  -6.299142e-08  -3.716083e-08  -6.299142e-08   3.147089e+00
   5.30000   2.622501e+00   6.807638e-09  -2.814145e-08   6.807635e-09   2.622501e+00  -3.160019e-08  -2.814146e-08  -3.160021e-08   2.419027e+00
   5.40000   2.998989e+00   2.590229e-09  -1.894044e-08   2.590230e-09   2.998989e+00  -4.225561e-08  -1.894044e-08  -4.225562e-08   2.409088e+00
   5.50000   3.047284e+00   5.268406e-09  -1.007753e-08   5.268405e-09   3.047284e+00  -5.414557e-08  -1.007756e-08  -5.414559e-08   2.254120e+00
   5.60000   2.903323e+00   1.287467e-09   3.996305e-09   1.287474e-09   2.903323e+00  -3.812724e-08   3.996335e-09  -3.812722e-08   1.819758e+00
   5.70000   2.320109e+00   4.827308e-09   4.885198e-10   4.827333e-09   2.320109e+00   8.915651e-10   4.885368e-10   8.915958e-10   1.448880e+00
   5.80000   2.376416e+00  -1.048442e-09   3.215201e-09  -1.048460e-09   2.376416e+00   3.332465e-09   3.215201e-09   3.332461e-09   1.624501e+00
