# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
   0.00000   3.044254e+00   1.775946e-09  -9.961457e-09   1.775946e-09   3.044254e+00  -6.584554e-09  -9.961457e-09  -6.584554e-09   3.148238e+00
   0.10000   3.046191e+00   1.778039e-09  -9.970110e-09   1.778039e-09   3.046191e+00  -6.593836e-09  -9.970110e-09  -6.593836e-09   3.149678e+00
   0.20000   3.052074e+00   1.784225e-09  -9.996303e-09   1.784224e-09   3.052074e+00  -6.621628e-09  -9.996303e-09  -6.621628e-09   3.154015e+00
   0.30000   3.062128e+00   1.794152e-09  -1.004078e-08   1.794152e-09   3.062128e+00  -6.667710e-09  -1.004078e-08  -6.667710e-09   3.161303e+00
   0.40000   3.076781e+00   1.806911e-09  -1.010488e-08   1.806911e-09   3.076781e+00  -6.731460e-09  -1.010488e-08  -6.731460e-09   3.171636e+00
   0.50000   3.096767e+00   1.820211e-09  -1.019079e-08   1.820211e-09   3.096767e+00  -6.811263e-09  -1.019079e-08  -6.811263e-09   3.185150e+00
   0.60000   3.123377e+00   1.828007e-09  -1.030196e-08   1.828007e-09   3.123377e+00  -6.902951e-09  -1.030196e-08  -6.902951e-09   3.202034e+00
   0.70000   3.159111e+00   1.812555e-09  -1.044389e-08   1.812555e-09   3.159111e+00  -6.995088e-09  -1.044389e-08  -6.995088e-09   3.222541e+00
   0.80000   3.209679e+00   1.717197e-09  -1.062612e-08   1.717197e-09   3.209679e+00  -7.053356e-09  -1.062612e-08  -7.053356e-09   3.247023e+00
   0.90000   3.272291e+00   1.879821e-09  -1.089885e-08   1.879821e-09   3.272291e+00  -7.162088e-09  -1.089885e-08  -7.162089e-09   3.275991e+00
   1.00000   3.299006e+00   2.810266e-09  -1.121537e-08   2.810260e-09   3.299006e+00  -7.828973e-09  -1.121537e-08  -7.828972e-09   3.308928e+00
   1.10000   3.331423e+00   3.632484e-09  -1.147937e-08   3.632486e-09   3.331423e+00  -8.384220e-09  -1.147937e-08  -8.384218e-09   3.348163e+00
