# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
   0.00000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.10000  -2.751201e+03  -2.390399e-06   1.340583e-05  -2.390399e-06  -2.751201e+03   8.863711e-06   1.340583e-05   8.863711e-06  -2.890750e+03
   0.20000  -5.518179e+03  -4.797511e-06   2.688196e-05  -4.797510e-06  -5.518179e+03   1.780224e-05   2.688196e-05   1.780224e-05  -5.793156e+03
   0.30000  -8.317710e+03  -7.236565e-06   4.050198e-05  -7.236564e-06  -8.317710e+03   2.688947e-05   4.050198e-05   2.688947e-05  -8.719117e+03
   0.40000  -1.116884e+04  -9.718069e-06   5.434669e-05  -9.718068e-06  -1.116884e+04   3.619611e-05   5.434669e-05   3.619611e-05  -1.168103e+04
   0.50000  -1.409494e+04  -1.223885e-05   6.850964e-05  -1.223885e-05  -1.409494e+04   4.578315e-05   6.850964e-05   4.578315e-05  -1.469208e+04
   0.60000  -1.712766e+04  -1.475470e-05   8.310605e-05  -1.475470e-05  -1.712766e+04   5.568325e-05   8.310605e-05   5.568325e-05  -1.776662e+04
   0.70000  -2.031652e+04  -1.708551e-05   9.828887e-05  -1.708551e-05  -2.031652e+04   6.584188e-05   9.828886e-05   6.584188e-05  -2.092060e+04
   0.80000  -2.375674e+04  -1.858293e-05   1.142841e-04  -1.858293e-05  -2.375674e+04   7.591791e-05   1.142841e-04   7.591792e-05  -2.417237e+04
   0.90000  -2.745515e+04  -2.337793e-05   1.318588e-04  -2.337793e-05  -2.745515e+04   8.696571e-05   1.318587e-04   8.696572e-05  -2.754401e+04
   1.00000  -3.083578e+04  -3.810949e-05   1.506565e-04  -3.810942e-05  -3.083578e+04   1.057223e-04   1.506565e-04   1.057222e-04  -3.104642e+04
   1.10000  -3.439360e+04  -5.365257e-05   1.694677e-04  -5.365261e-05  -3.439360e+04   1.243791e-04   1.694677e-04   1.243791e-04  -3.473045e+04
   1.20000  -3.797010e+04  -4.186339e-05   1.889370e-04  -4.186332e-05  -3.797010e+04   1.474535e-04   1.889370e-04   1.474535e-04  -3.858311e+04
   1.30000  -4.286613e+04  -8.977942e-05   2.127986e-04  -8.977937e-05  -4.286613e+04   1.677394e-04   2.127986e-04   1.677393e-04  -4.271846e+04
   1.40000  -4.200591e+04  -3.605645e-05   2.070982e-04  -3.605629e-05  -4.200591e+04   1.931716e-04   2.070981e-04   1.931717e-04  -4.707385e+04
   1.50000  -4.871215e+04  -1.026736e-04   2.381108e-04  -1.026733e-04  -4.871215e+04   2.189745e-04   2.381107e-04   2.189744e-04  -5.192652e+04
   1.60000  -4.984616e+04  -7.254231e-05   2.371993e-04  -7.254231e-05  -4.984616e+04   2.281585e-04   2.371992e-04   2.281585e-04  -5.705294e+04
   1.70000  -5.831963e+04  -2.411079e-05   2.748480e-04  -2.411065e-05  -5.831963e+04   2.472269e-04   2.748482e-04   2.472269e-04  -6.290123e+04
   1.80000  -5.949899e+04  -2.605508e-05   2.709795e-04  -2.605522e-05  -5.949900e+04   3.148460e-04   2.709798e-04   3.148460e-04  -6.953138e+04
   1.90000  -6.180743e+04   8.796852e-05   2.639516e-04   8.796848e-05  -6.180743e+04   3.882127e-04   2.639515e-04   3.882126e-04  -7.675233e+04
   2.00000  -6.624799e+04   2.625597e-04   2.915846e-04   2.625594e-04  -6.624799e+04   5.403643e-04   2.915847e-04   5.403642e-04  -8.611700e+04
   2.10000  -6.987720e+04  -1.606034e-05   1.925531e-04  -1.606047e-05  -6.987719e+04   6.153354e-04   1.925527e-04   6.153350e-04  -9.565881e+04
   2.20000  -8.086518e+04   6.130587e-05   2.988642e-04   6.130571e-05  -8.086518e+04   7.802773e-04   2.988641e-04   7.802775e-04  -1.027552e+05
   2.30000  -9.039033e+04   1.958298e-04   3.389437e-04   1.958303e-04  -9.039033e+04   7.968079e-04   3.389428e-04   7.968086e-04  -1.089666e+05
   2.40000  -8.340233e+04   1.901725e-04   4.369296e-04   1.901722e-04  -8.340233e+04   7.904760e-04   4.369298e-04   7.904754e-04  -1.203578e+05
   2.50000  -8.289215e+04   5.581601e-06   6.228345e-04   5.582229e-06  -8.289215e+04   6.244053e-04   6.228344e-04   6.244053e-04  -1.333916e+05
   2.60000  -8.501594e+04  -1.400425e-04   6.809756e-04  -1.400426e-04  -8.501594e+04   5.279230e-04   6.809763e-04   5.279232e-04  -1.376272e+05
   2.70000  -8.412037e+04  -2.478808e-04   1.001599e-03  -2.478803e-04  -8.412037e+04   2.518428e-04   1.001599e-03   2.518436e-04  -1.525296e+05
   2.80000  -8.361873e+04  -6.314458e-04   1.132182e-03  -6.314443e-04  -8.361873e+04  -1.710492e-04   1.132181e-03  -1.710500e-04  -1.531325e+05
   2.90000  -7.727073e+04  -6.704719e-04   1.300188e-03  -6.704727e-04  -7.727073e+04  -9.569328e-04   1.300188e-03  -9.569331e-04  -1.337792e+05
   3.00000  -7.406852e+04  -2.683088e-05   6.723315e-04  -2.683149e-05  -7.406851e+04  -3.511145e-04   6.723330e-04  -3.511149e-04  -1.145333e+05
