# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
   0.00000   1.374953e+03   1.194478e-06  -6.700026e-06   1.194504e-06   1.374953e+03  -4.428744e-06  -6.700006e-06  -4.428719e-06   1.444892e+03
   0.10000   1.378878e+03   1.198679e-06  -6.717538e-06   1.198705e-06   1.378878e+03  -4.447460e-06  -6.717518e-06  -4.447435e-06   1.447801e+03
   0.20000   1.390897e+03   1.210941e-06  -6.770880e-06   1.210967e-06   1.390897e+03  -4.503404e-06  -6.770859e-06  -4.503379e-06   1.456588e+03
   0.30000   1.411810e+03   1.229827e-06  -6.862631e-06   1.229854e-06   1.411810e+03  -4.595634e-06  -6.862612e-06  -4.595609e-06   1.471438e+03
   0.40000   1.443219e+03   1.251079e-06  -6.997694e-06   1.251106e-06   1.443219e+03  -4.721172e-06  -6.997675e-06  -4.721147e-06   1.492672e+03
   0.50000   1.488166e+03   1.262091e-06  -7.184483e-06   1.262120e-06   1.488166e+03  -4.871223e-06  -7.184464e-06  -4.871199e-06   1.520771e+03
   0.60000   1.552888e+03   1.222008e-06  -7.437418e-06   1.222039e-06   1.552888e+03  -5.019040e-06  -7.437400e-06  -5.019016e-06   1.556424e+03
   0.70000   1.653086e+03   9.681843e-07  -7.781719e-06   9.682175e-07   1.653086e+03  -5.069950e-06  -7.781704e-06  -5.069926e-06   1.600620e+03
   0.80000   1.849871e+03  -4.979844e-07  -8.250762e-06  -4.979473e-07   1.849871e+03  -4.532872e-06  -8.250749e-06  -4.532848e-06   1.654951e+03
   0.90000   2.514375e+03  -9.886952e-06  -8.955662e-06  -9.886902e-06   2.514375e+03  -1.997610e-07  -8.955653e-06  -1.997380e-07   1.723632e+03
   1.00000   3.349777e+03  -4.232497e-06  -1.176836e-05  -4.232513e-06   3.349777e+03   2.891418e-06  -1.176834e-05   2.891407e-06   1.813072e+03
   1.10000   3.869755e+03   4.588860e-06  -1.637232e-05   4.588933e-06   3.869755e+03   1.340477e-06  -1.637231e-05   1.340473e-06   1.919793e+03
   1.20000   5.419159e+03  -5.643251e-06  -2.392821e-05  -5.643154e-06   5.419159e+03   2.125607e-06  -2.392819e-05   2.125625e-06   2.055300e+03
   1.30000   6.819792e+03   1.857373e-05  -3.245954e-05   1.857382e-05   6.819792e+03  -5.099618e-06  -3.245955e-05  -5.099605e-06   2.189945e+03
   1.40000   9.355958e+03   8.305521e-05  -4.610511e-05   8.305527e-05   9.355958e+03  -9.471345e-06  -4.610509e-05  -9.471292e-06   2.415420e+03
   1.50000   9.168650e+03   6.329552e-05  -4.757969e-05   6.329528e-05   9.168650e+03  -1.987539e-05  -4.757956e-05  -1.987539e-05   2.663238e+03
   1.60000   9.465708e+03   2.381120e-05  -4.881739e-05   2.381111e-05   9.465708e+03  -2.944433e-05  -4.881734e-05  -2.944427e-05   3.044837e+03
   1.70000   1.215198e+04   1.997188e-04  -6.186379e-05   1.997189e-04   1.215198e+04  -1.755037e-05  -6.186369e-05  -1.755022e-05   3.481373e+03
   1.80000   1.669835e+04   1.627255e-04  -8.584082e-05   1.627251e-04   1.669835e+04   2.503582e-05  -8.584082e-05   2.503585e-05   4.356823e+03
   1.90000   1.733449e+04   1.628572e-04  -8.807943e-05   1.628571e-04   1.733449e+04   2.222849e-05  -8.807927e-05   2.222866e-05   5.445568e+03
   2.00000   1.962150e+04   8.581210e-05  -8.373140e-05   8.581221e-05   1.962150e+04  -2.053977e-05  -8.373158e-05  -2.053981e-05   7.981648e+03
   2.10000   1.886142e+04  -3.586651e-05  -4.397051e-05  -3.586622e-05   1.886142e+04  -1.080081e-04  -4.397084e-05  -1.080079e-04   1.369677e+04
   2.20000   1.984073e+04  -1.102574e-04   1.496091e-05  -1.102575e-04   1.984073e+04  -2.298748e-04   1.496076e-05  -2.298738e-04   1.868312e+04
   2.30000   3.498397e+04  -6.262972e-05   3.906151e-05  -6.262945e-05   3.498397e+04  -4.999794e-04   3.906199e-05  -4.999800e-04   2.548916e+04
   2.40000   4.620598e+04  -2.689049e-04   9.848572e-05  -2.689050e-04   4.620598e+04  -7.427374e-04   9.848571e-05  -7.427372e-04   2.992370e+04
   2.50000   4.837546e+04  -1.932259e-04   1.266339e-04  -1.932261e-04   4.837546e+04  -9.268197e-04   1.266343e-04  -9.268193e-04   3.947832e+04
   2.60000   4.813921e+04  -3.815473e-04   7.066235e-05  -3.815470e-04   4.813920e+04  -1.024842e-03   7.066193e-05  -1.024842e-03   5.313002e+04
   2.70000   6.263826e+04  -3.348663e-04   8.672439e-05  -3.348658e-04   6.263826e+04  -1.416166e-03   8.672429e-05  -1.416167e-03   7.380891e+04
   2.80000   5.574984e+04  -6.095429e-04  -1.169339e-04  -6.095426e-04   5.574984e+04  -1.443296e-03  -1.169344e-04  -1.443297e-03   1.015822e+05
   2.90000   7.129974e+04   8.713626e-04  -1.029971e-03   8.713600e-04   7.129975e+04  -8.706921e-04  -1.029969e-03  -8.706921e-04   1.377845e+05
   3.00000   4.940682e+04   3.842770e-04  -7.755699e-04   3.842770e-04   4.940682e+04  -5.749286e-04  -7.755699e-04  -5.749297e-04   1.161746e+05
   3.10000   4.880562e+04   2.151189e-04  -5.150321e-04   2.151197e-04   4.880562e+04  -4.742537e-04  -5.150325e-04  -4.742528e-04   1.199686e+05
   3.20000   5.470795e+04   3.424858e-04  -5.123365e-04   3.424858e-04   5.470795e+04  -7.658589e-04  -5.123368e-04  -7.658588e-04   1.436119e+05
   3.30000   7.222580e+04   8.880731e-04  -1.183526e-03   8.880731e-04   7.222580e+04  -4.296130e-04  -1.183526e-03  -4.296142e-04   1.396475e+05
