# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.6063767053e+02 -2.7080619279e-04 3.6080654315e-04 -2.7080619279e-04 1.6064007798e+02 8.9450459036e-04 3.6080654315e-04 8.9450459036e-04 7.5385862967e+01
0.24489164 1.6063767060e+02 -2.7080631838e-04 3.6080671164e-04 -2.7080631838e-04 1.6064007805e+02 8.9450500514e-04 3.6080671164e-04 8.9450500514e-04 7.5385862967e+01
0.48978329 1.6063767082e+02 -2.7080669517e-04 3.6080721711e-04 -2.7080669517e-04 1.6064007828e+02 8.9450624949e-04 3.6080721711e-04 8.9450624949e-04 7.5385862967e+01
0.73467493 1.6063767118e+02 -2.7080732314e-04 3.6080805957e-04 -2.7080732314e-04 1.6064007865e+02 8.9450832340e-04 3.6080805957e-04 8.9450832340e-04 7.5385862968e+01
0.97956658 1.6063767169e+02 -2.7080820231e-04 3.6080923903e-04 -2.7080820231e-04 1.6064007917e+02 8.9451122690e-04 3.6080923903e-04 8.9451122690e-04 7.5385862968e+01
1.22445822 1.6063767235e+02 -2.7080933268e-04 3.6081075548e-04 -2.7080933268e-04 1.6064007983e+02 8.9451496000e-04 3.6081075548e-04 8.9451496000e-04 7.5385862968e+01
1.46934986 1.6063767316e+02 -2.7081071425e-04 3.6081260894e-04 -2.7081071425e-04 1.6064008065e+02 8.9451952271e-04 3.6081260894e-04 8.9451952271e-04 7.5385862968e+01
1.71424151 1.6063767411e+02 -2.7081234703e-04 3.6081479941e-04 -2.7081234703e-04 1.6064008161e+02 8.9452491507e-04 3.6081479941e-04 8.9452491507e-04 7.5385862968e+01
1.95913315 1.6063767520e+02 -2.7081423104e-04 3.6081732692e-04 -2.7081423104e-04 1.6064008273e+02 8.9453113711e-04 3.6081732692e-04 8.9453113711e-04 7.5385862968e+01
2.20402479 1.6063767644e+02 -2.7081636628e-04 3.6082019147e-04 -2.7081636628e-04 1.6064008399e+02 8.9453818885e-04 3.6082019147e-04 8.9453818885e-04 7.5385862968e+01
2.44891644 1.6063767783e+02 -2.7081875277e-04 3.6082339308e-04 -2.7081875277e-04 1.6064008540e+02 8.9454607034e-04 3.6082339308e-04 8.9454607034e-04 7.5385862968e+01
2.69380808 1.6063767937e+02 -2.7082139051e-04 3.6082693176e-04 -2.7082139051e-04 1.6064008696e+02 8.9455478163e-04 3.6082693176e-04 8.9455478163e-04 7.5385862968e+01
2.93869973 1.6063768105e+02 -2.7082427953e-04 3.6083080755e-04 -2.7082427953e-04 1.6064008866e+02 8.9456432275e-04 3.6083080755e-04 8.9456432275e-04 7.5385862968e+01
3.18359137 1.6063768287e+02 -2.7082741983e-04 3.6083502045e-04 -2.7082741983e-04 1.6064009052e+02 8.9457469377e-04 3.6083502045e-04 8.9457469377e-04 7.5385862968e+01
3.42848301 1.6063768485e+02 -2.7083081144e-04 3.6083957050e-04 -2.7083081144e-04 1.6064009252e+02 8.9458589474e-04 3.6083957050e-04 8.9458589474e-04 7.5385862968e+01
3.67337466 1.6063768696e+02 -2.7083445438e-04 3.6084445771e-04 -2.7083445438e-04 1.6064009467e+02 8.9459792572e-04 3.6084445771e-04 8.9459792572e-04 7.5385862968e+01
3.91826630 1.6063768923e+02 -2.7083834866e-04 3.6084968213e-04 -2.7083834866e-04 1.6064009697e+02 8.9461078679e-04 3.6084968213e-04 8.9461078679e-04 7.5385862969e+01
4.16315794 1.6063769164e+02 -2.7084249431e-04 3.6085524377e-04 -2.7084249431e-04 1.6064009942e+02 8.9462447801e-04 3.6085524377e-04 8.9462447801e-04 7.5385862969e+01
4.40804959 1.6063769420e+02 -2.7084689135e-04 3.6086114266e-04 -2.7084689135e-04 1.6064010202e+02 8.9463899945e-04 3.6086114266e-04 8.9463899945e-04 7.5385862969e+01
4.65294123 1.6063769690e+02 -2.7085153980e-04 3.6086737885e-04 -2.7085153980e-04 1.6064010476e+02 8.9465435121e-04 3.6086737885e-04 8.9465435121e-04 7.5385862969e+01
4.89783288 1.6063769975e+02 -2.7085643969e-04 3.6087395236e-04 -2.7085643969e-04 1.6064010765e+02 8.9467053336e-04 3.6087395236e-04 8.9467053336e-04 7.5385862969e+01
5.14272452 1.6063770275e+02 -2.7086159105e-04 3.6088086324e-04 -2.7086159105e-04 1.6064011070e+02 8.9468754599e-04 3.6088086324e-04 8.9468754599e-04 7.5385862969e+01
5.38761616 1.6063770589e+02 -2.7086699391e-04 3.6088811152e-04 -2.7086699391e-04 1.6064011389e+02 8.9470538921e-04 3.6088811152e-04 8.9470538921e-04 7.5385862969e+01
5.63250781 1.6063770918e+02 -2.7087264830e-04 3.6089569724e-04 -2.7087264830e-04 1.6064011723e+02 8.9472406310e-04 3.6089569724e-04 8.9472406310e-04 7.5385862970e+01
5.87739945 1.6063771262e+02 -2.7087855424e-04 3.6090362044e-04 -2.7087855424e-04 1.6064012071e+02 8.9474356777e-04 3.6090362044e-04 8.9474356777e-04 7.5385862970e+01
6.12229109 1.6063771620e+02 -2.7088471177e-04 3.6091188118e-04 -2.7088471177e-04 1.6064012435e+02 8.9476390334e-04 3.6091188118e-04 8.9476390334e-04 7.5385862970e+01
6.36718274 1.6063771992e+02 -2.7089112093e-04 3.6092047949e-04 -2.7089112093e-04 1.6064012813e+02 8.9478506991e-04 3.6092047949e-04 8.9478506991e-04 7.5385862970e+01
6.61207438 1.6063772380e+02 -2.7089778175e-04 3.6092941543e-04 -2.7089778175e-04 1.6064013207e+02 8.9480706761e-04 3.6092941543e-04 8.9480706761e-04 7.5385862970e+01
6.85696603 1.6063772782e+02 -2.7090469427e-04 3.6093868905e-04 -2.7090469427e-04 1.6064013615e+02 8.9482989654e-04 3.6093868905e-04 8.9482989654e-04 7.5385862971e+01
7.10185767 1.6063773199e+02 -2.7091185852e-04 3.6094830039e-04 -2.7091185852e-04 1.6064014038e+02 8.9485355685e-04 3.6094830039e-04 8.9485355685e-04 7.5385862971e+01
7.34674931 1.6063773630e+02 -2.7091927455e-04 3.6095824951e-04 -2.7091927455e-04 1.6064014476e+02 8.9487804867e-04 3.6095824951e-04 8.9487804867e-04 7.5385862971e+01
7.59164096 1.6063774076e+02 -2.7092694240e-04 3.6096853648e-04 -2.7092694240e-04 1.6064014929e+02 8.9490337212e-04 3.6096853648e-04 8.9490337212e-04 7.5385862971e+01
7.83653260 1.6063774537e+02 -2.7093486211e-04 3.6097916134e-04 -2.7093486211e-04 1.6064015397e+02 8.9492952736e-04 3.6097916134e-04 8.9492952736e-04 7.5385862972e+01
8.08142424 1.6063775012e+02 -2.7094303372e-04 3.6099012415e-04 -2.7094303372e-04 1.6064015879e+02 8.9495651452e-04 3.6099012415e-04 8.9495651452e-04 7.5385862972e+01
8.32631589 1.6063775502e+02 -2.7095145728e-04 3.6100142499e-04 -2.7095145728e-04 1.6064016377e+02 8.9498433376e-04 3.6100142499e-04 8.9498433376e-04 7.5385862972e+01
