# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 7.1045722799e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1045722799e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767209753e-06
0.20000000 7.1045743644e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1045743644e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767221322e-06
0.40000000 7.1045806178e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1045806178e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767256030e-06
0.60000000 7.1045910402e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1045910402e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767313876e-06
0.80000000 7.1046056316e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1046056316e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767394860e-06
1.00000000 7.1046243921e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1046243921e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767498984e-06
1.20000000 7.1046473217e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1046473217e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767626246e-06
1.40000000 7.1046744205e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1046744205e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767776648e-06
1.60000000 7.1047056886e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1047056886e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6767950190e-06
1.80000000 7.1047411262e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1047411262e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6768146872e-06
2.00000000 7.1047807333e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1047807333e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6768366694e-06
2.20000000 7.1048245100e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1048245100e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6768609658e-06
2.40000000 7.1048724566e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1048724566e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6768875763e-06
2.60000000 7.1049245732e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1049245732e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6769165011e-06
2.80000000 7.1049808600e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1049808600e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6769477402e-06
3.00000000 7.1050413172e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1050413172e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6769812937e-06
3.20000000 7.1051059449e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1051059449e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6770171616e-06
3.40000000 7.1051747435e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1051747435e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6770553442e-06
3.60000000 7.1052477132e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1052477132e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6770958413e-06
3.80000000 7.1053248542e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1053248542e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6771386532e-06
4.00000000 7.1054061667e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1054061667e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6771837800e-06
4.20000000 7.1054916512e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1054916512e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6772312218e-06
4.40000000 7.1055813078e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1055813078e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6772809786e-06
4.60000000 7.1056751370e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1056751370e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6773330506e-06
4.80000000 7.1057731389e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1057731389e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6773874380e-06
5.00000000 7.1058753141e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1058753141e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6774441409e-06
5.20000000 7.1059816627e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1059816627e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6775031593e-06
5.40000000 7.1060921853e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1060921853e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6775644935e-06
5.60000000 7.1062068822e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1062068822e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6776281436e-06
5.80000000 7.1063257537e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1063257537e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6776941097e-06
6.00000000 7.1064488004e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1064488004e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6777623921e-06
6.20000000 7.1065760227e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1065760227e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6778329908e-06
6.40000000 7.1067074209e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1067074209e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6779059061e-06
6.60000000 7.1068429956e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1068429956e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6779811381e-06
6.80000000 7.1069827473e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1069827473e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6780586871e-06
7.00000000 7.1071266764e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1071266764e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6781385531e-06
7.20000000 7.1072747834e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1072747834e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6782207365e-06
7.40000000 7.1074270689e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1074270689e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6783052373e-06
7.60000000 7.1075835334e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1075835334e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6783920559e-06
7.80000000 7.1077441774e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1077441774e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6784811924e-06
8.00000000 7.1079090016e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1079090016e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6785726470e-06
8.20000000 7.1080780064e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1080780064e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6786664200e-06
8.40000000 7.1082511926e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1082511926e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6787625116e-06
8.60000000 7.1084285606e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1084285606e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6788609220e-06
8.80000000 7.1086101112e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1086101112e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6789616515e-06
9.00000000 7.1087958449e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1087958449e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6790647003e-06
9.20000000 7.1089857625e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1089857625e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6791700687e-06
9.40000000 7.1091798645e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1091798645e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6792777569e-06
9.60000000 7.1093781518e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1093781518e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6793877652e-06
9.80000000 7.1095806249e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1095806249e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6795000938e-06
10.00000000 7.1097872846e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1097872846e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6796147431e-06
10.20000000 7.1099981316e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1099981316e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6797317133e-06
10.40000000 7.1102131667e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1102131667e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6798510047e-06
10.60000000 7.1104323906e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1104323906e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6799726176e-06
10.80000000 7.1106558041e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1106558041e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6800965523e-06
11.00000000 7.1108834079e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.1108834079e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6802228091e-06
