# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.578524044325746301e-07 1.578524044325746301e-07 1.261323212683125345e-12 3.157060701883619665e-07
2.000000000000000111e-01 1.580235691846460466e-07 1.580235691846460466e-07 1.262462907121056643e-12 3.160484008321992238e-07
4.000000000000000222e-01 1.581950124764778558e-07 1.581950124764778558e-07 1.263604146906442818e-12 3.163912885571026252e-07
6.000000000000000888e-01 1.583667349127386355e-07 1.583667349127386355e-07 1.264746934834317062e-12 3.167347345724120791e-07
8.000000000000000444e-01 1.585387370997384074e-07 1.585387370997384074e-07 1.265891273706035774e-12 3.170787400907505406e-07
1.000000000000000000e+00 1.587110196454344077e-07 1.587110196454344077e-07 1.267037166329293098e-12 3.174233063280351292e-07
1.200000000000000178e+00 1.588835831594361162e-07 1.588835831594361162e-07 1.268184615518140314e-12 3.177684345034877689e-07
1.400000000000000133e+00 1.590564282530108150e-07 1.590564282530108150e-07 1.269333624093001585e-12 3.181141258396457238e-07
1.600000000000000089e+00 1.592295555390889089e-07 1.592295555390889089e-07 1.270484194880692538e-12 3.184603815623727154e-07
1.800000000000000044e+00 1.594029656322693252e-07 1.594029656322693252e-07 1.271636330714435818e-12 3.188072029008693510e-07
2.000000000000000000e+00 1.595766591488251784e-07 1.595766591488251784e-07 1.272790034433881074e-12 3.191545910876847714e-07
2.200000000000000178e+00 1.597506367067089846e-07 1.597506367067089846e-07 1.273945308885120314e-12 3.195025473587268674e-07
2.400000000000000355e+00 1.599248989255584055e-07 1.599248989255584055e-07 1.275102156920706275e-12 3.198510729532737153e-07
2.600000000000000089e+00 1.600994464267015687e-07 1.600994464267015687e-07 1.276260581399670404e-12 3.202001691139845350e-07
2.800000000000000266e+00 1.602742798331626001e-07 1.602742798331626001e-07 1.277420585187539412e-12 3.205498370869103840e-07
3.000000000000000000e+00 1.604493997696672883e-07 1.604493997696672883e-07 1.278582171156354665e-12 3.209000781215057512e-07
3.200000000000000178e+00 1.606248068626486962e-07 1.606248068626486962e-07 1.279745342184687729e-12 3.212508934706395682e-07
3.400000000000000355e+00 1.608005017402527196e-07 1.608005017402527196e-07 1.280910101157660774e-12 3.216022843906065914e-07
3.600000000000000089e+00 1.609764850323435932e-07 1.609764850323435932e-07 1.282076450966962520e-12 3.219542521411381485e-07
3.800000000000000266e+00 1.611527573705095811e-07 1.611527573705095811e-07 1.283244394510866016e-12 3.223067979854136797e-07
4.000000000000000000e+00 1.613293193880689065e-07 1.613293193880689065e-07 1.284413934694248627e-12 3.226599231900724900e-07
4.200000000000000178e+00 1.615061717200749924e-07 1.615061717200749924e-07 1.285585074428608394e-12 3.230136290252243904e-07
4.400000000000000355e+00 1.616833150033225236e-07 1.616833150033225236e-07 1.286757816632083220e-12 3.233679167644616615e-07
4.600000000000000533e+00 1.618607498763531105e-07 1.618607498763531105e-07 1.287932164229467834e-12 3.237227876848704363e-07
4.800000000000000711e+00 1.620384769794607428e-07 1.620384769794607428e-07 1.289108120152231961e-12 3.240782430670416585e-07
5.000000000000000000e+00 1.622164969546981148e-07 1.622164969546981148e-07 1.290285687338541133e-12 3.244342841950835758e-07
5.200000000000000178e+00 1.623948104458819997e-07 1.623948104458819997e-07 1.291464868733271823e-12 3.247909123566327518e-07
5.400000000000000355e+00 1.625734180985990987e-07 1.625734180985990987e-07 1.292645667288032053e-12 3.251481288428655008e-07
5.600000000000000533e+00 1.627523205602120766e-07 1.627523205602120766e-07 1.293828085961178961e-12 3.255059349485101168e-07
5.800000000000000711e+00 1.629315184798652259e-07 1.629315184798652259e-07 1.295012127717836569e-12 3.258643319718581497e-07
6.000000000000000000e+00 1.631110125084905553e-07 1.631110125084905553e-07 1.296197795529916184e-12 3.262233212147766341e-07
6.200000000000000178e+00 1.632908032988136920e-07 1.632908032988136920e-07 1.297385092376133765e-12 3.265829039827197365e-07
6.400000000000000355e+00 1.634708915053593879e-07 1.634708915053593879e-07 1.298574021242029307e-12 3.269430815847400308e-07
6.600000000000000533e+00 1.636512777844582160e-07 1.636512777844582160e-07 1.299764585119985020e-12 3.273038553335015749e-07
6.800000000000000711e+00 1.638319627942517058e-07 1.638319627942517058e-07 1.300956787009243906e-12 3.276652265452904453e-07
7.000000000000000000e+00 1.640129471946991725e-07 1.640129471946991725e-07 1.302150629915929753e-12 3.280271965400282372e-07
7.200000000000000178e+00 1.641942316475831169e-07 1.641942316475831169e-07 1.303346116853065714e-12 3.283897666412830751e-07
7.400000000000000355e+00 1.643758168165156305e-07 1.643758168165156305e-07 1.304543250840592279e-12 3.287529381762821073e-07
7.600000000000000533e+00 1.645577033669442993e-07 1.645577033669442993e-07 1.305742034905387876e-12 3.291167124759235228e-07
7.800000000000000711e+00 1.647398919661582115e-07 1.647398919661582115e-07 1.306942472081286441e-12 3.294810908747885159e-07
8.000000000000000000e+00 1.649223832832944696e-07 1.649223832832944696e-07 1.308144565409098416e-12 3.298460747111543618e-07
8.200000000000001066e+00 1.651051779893438546e-07 1.651051779893438546e-07 1.309348317936628324e-12 3.302116653270056404e-07
8.400000000000000355e+00 1.652882767571573379e-07 1.652882767571573379e-07 1.310553732718694759e-12 3.305778640680474177e-07
8.599999999999999645e+00 1.654716802614521692e-07 1.654716802614521692e-07 1.311760812817150984e-12 3.309446722837171577e-07
8.800000000000000711e+00 1.656553891788178848e-07 1.656553891788178848e-07 1.312969561300900888e-12 3.313120913271970567e-07
9.000000000000000000e+00 1.658394041877228994e-07 1.658394041877228994e-07 1.314179981245922611e-12 3.316801225554270671e-07
9.200000000000001066e+00 1.660237259685205402e-07 1.660237259685205402e-07 1.315392075735286116e-12 3.320487673291168084e-07
9.400000000000000355e+00 1.662083552034554535e-07 1.662083552034554535e-07 1.316605847859172371e-12 3.324180270127587493e-07
9.600000000000001421e+00 1.663932925766697451e-07 1.663932925766697451e-07 1.317821300714894354e-12 3.327879029746402247e-07
9.800000000000000711e+00 1.665785387742095449e-07 1.665785387742095449e-07 1.319038437406915230e-12 3.331583965868565122e-07
1.000000000000000000e+01 1.667640944840311482e-07 1.667640944840311482e-07 1.320257261046869347e-12 3.335295092253233257e-07
1.020000000000000107e+01 1.669499603960076062e-07 1.669499603960076062e-07 1.321477774753582237e-12 3.339012422697899440e-07
1.040000000000000036e+01 1.671361372019348938e-07 1.671361372019348938e-07 1.322699981653089997e-12 3.342735971038514406e-07
1.060000000000000142e+01 1.673226255955387654e-07 1.673226255955387654e-07 1.323923884878659489e-12 3.346465751149623943e-07
1.080000000000000071e+01 1.675094262724806042e-07 1.675094262724806042e-07 1.325149487570807923e-12 3.350201776944488011e-07
1.100000000000000000e+01 1.676965399303644371e-07 1.676965399303644371e-07 1.326376792877323864e-12 3.353944062375217324e-07
1.120000000000000107e+01 1.678839672687432344e-07 1.678839672687432344e-07 1.327605803953287022e-12 3.357692621432904110e-07
1.140000000000000036e+01 1.680717089891254214e-07 1.680717089891254214e-07 1.328836523961088650e-12 3.361447468147748110e-07
1.160000000000000142e+01 1.682597657949816018e-07 1.682597657949816018e-07 1.330068956070451935e-12 3.365208616589192629e-07
1.180000000000000071e+01 1.684481383917508306e-07 1.684481383917508306e-07 1.331303103458451395e-12 3.368976080866051064e-07
1.200000000000000000e+01 1.686368274868475763e-07 1.686368274868475763e-07 1.332538969309534880e-12 3.372749875126644547e-07
1.220000000000000107e+01 1.688258337896682055e-07 1.688258337896682055e-07 1.333776556815543979e-12 3.376530013558932175e-07
1.240000000000000036e+01 1.690151580115976272e-07 1.690151580115976272e-07 1.335015869175732593e-12 3.380316510390644418e-07
1.260000000000000142e+01 1.692048008660160950e-07 1.692048008660160950e-07 1.336256909596790968e-12 3.384109379889418116e-07
1.280000000000000071e+01 1.693947630683056663e-07 1.693947630683056663e-07 1.337499681292862661e-12 3.387908636362926178e-07
1.300000000000000000e+01 1.695850453358572165e-07 1.695850453358572165e-07 1.338744187485568771e-12 3.391714294159018935e-07
1.320000000000000107e+01 1.697756483880772418e-07 1.697756483880772418e-07 1.339990431404026720e-12 3.395526367665859133e-07
1.340000000000000036e+01 1.699665729463944235e-07 1.699665729463944235e-07 1.341238416284871461e-12 3.399344871312051105e-07
1.360000000000000142e+01 1.701578197342665900e-07 1.701578197342665900e-07 1.342488145372277893e-12 3.403169819566785299e-07
1.380000000000000071e+01 1.703493894771875456e-07 1.703493894771875456e-07 1.343739621917979032e-12 3.407001226939970092e-07
1.400000000000000000e+01 1.705412829026939262e-07 1.705412829026939262e-07 1.344992849181290655e-12 3.410839107982370500e-07
1.420000000000000107e+01 1.707335007403722141e-07 1.707335007403722141e-07 1.346247830429130279e-12 3.414683477285748459e-07
1.440000000000000036e+01 1.709260437218654611e-07 1.709260437218654611e-07 1.347504568936039176e-12 3.418534349482998356e-07
1.460000000000000142e+01 1.711189125808805941e-07 1.711189125808805941e-07 1.348763067984203373e-12 3.422391739248291553e-07
1.480000000000000071e+01 1.713121080531949003e-07 1.713121080531949003e-07 1.350023330863475061e-12 3.426255661297206616e-07
1.500000000000000000e+01 1.715056308766635181e-07 1.715056308766635181e-07 1.351285360871394606e-12 3.430126130386879137e-07
1.520000000000000107e+01 1.716994817912262665e-07 1.716994817912262665e-07 1.352549161313212157e-12 3.434003161316138316e-07
1.540000000000000036e+01 1.718936615389147650e-07 1.718936615389147650e-07 1.353814735501908448e-12 3.437886768925650427e-07
1.560000000000000142e+01 1.720881708638595281e-07 1.720881708638595281e-07 1.355082086758217214e-12 3.441776968098058052e-07
1.580000000000000071e+01 1.722830105122968736e-07 1.722830105122968736e-07 1.356351218410646597e-12 3.445673773758121425e-07
1.600000000000000000e+01 1.724781812325764926e-07 1.724781812325764926e-07 1.357622133795501159e-12 3.449577200872867727e-07
1.619999999999999929e+01 1.726736837751684119e-07 1.726736837751684119e-07 1.358894836256904498e-12 3.453487264451730841e-07
1.640000000000000213e+01 1.728695188926701666e-07 1.728695188926701666e-07 1.360169329146819447e-12 3.457403979546694821e-07
1.660000000000000142e+01 1.730656873398141325e-07 1.730656873398141325e-07 1.361445615825072708e-12 3.461327361252441065e-07
1.680000000000000071e+01 1.732621898734746464e-07 1.732621898734746464e-07 1.362723699659373636e-12 3.465257424706489662e-07
1.700000000000000000e+01 1.734590272526754706e-07 1.734590272526754706e-07 1.364003584025340085e-12 3.469194185089349739e-07
1.719999999999999929e+01 1.736562002385972575e-07 1.736562002385972575e-07 1.365285272306518405e-12 3.473137657624668224e-07
1.740000000000000213e+01 1.738537095945844316e-07 1.738537095945844316e-07 1.366568767894405651e-12 3.477087857579367489e-07
1.760000000000000142e+01 1.740515560861530510e-07 1.740515560861530510e-07 1.367854074188474025e-12 3.481044800263803107e-07
1.780000000000000071e+01 1.742497404809978749e-07 1.742497404809978749e-07 1.369141194596191068e-12 3.485008501031903614e-07
1.800000000000000000e+01 1.744482635490001721e-07 1.744482635490001721e-07 1.370430132533043284e-12 3.488978975281328797e-07
1.819999999999999929e+01 1.746471260622348418e-07 1.746471260622348418e-07 1.371720891422559776e-12 3.492956238453611048e-07
1.840000000000000213e+01 1.748463287949781154e-07 1.748463287949781154e-07 1.373013474696333040e-12 3.496940306034309410e-07
1.860000000000000142e+01 1.750458725237151278e-07 1.750458725237151278e-07 1.374307885794043000e-12 3.500931193553160461e-07
1.880000000000000071e+01 1.752457580271471697e-07 1.752457580271471697e-07 1.375604128163479221e-12 3.504928916584224952e-07
1.900000000000000000e+01 1.754459860861998137e-07 1.754459860861998137e-07 1.376902205260564741e-12 3.508933490746048749e-07
1.920000000000000284e+01 1.756465574840300084e-07 1.756465574840300084e-07 1.378202120549378482e-12 3.512944931701805763e-07
1.940000000000000213e+01 1.758474730060340723e-07 1.758474730060340723e-07 1.379503877502178887e-12 3.516963255159456245e-07
1.960000000000000142e+01 1.760487334398553963e-07 1.760487334398553963e-07 1.380807479599425923e-12 3.520988476871904014e-07
1.980000000000000071e+01 1.762503395753917497e-07 1.762503395753917497e-07 1.382112930329804917e-12 3.525020612637138334e-07
2.000000000000000000e+01 1.764522922048035648e-07 1.764522922048035648e-07 1.383420233190250989e-12 3.529059678298403322e-07
2.020000000000000284e+01 1.766545921225214281e-07 1.766545921225214281e-07 1.384729391685971267e-12 3.533105689744345650e-07
2.040000000000000213e+01 1.768572401252538626e-07 1.768572401252538626e-07 1.386040409330468717e-12 3.537158662909170716e-07
2.060000000000000142e+01 1.770602370119953478e-07 1.770602370119953478e-07 1.387353289645565771e-12 3.541218613772803578e-07
