# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.50000000 1.2804119640e-05 4.7387563435e-09 0.0000000000e+00 4.7387563435e-09 1.2804121394e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4992839680e-06
1.00000000 2.5608260206e-05 9.4775204316e-09 0.0000000000e+00 9.4775204316e-09 2.5608263714e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9985745407e-06
1.50000000 3.8412442623e-05 1.4216300009e-08 0.0000000000e+00 1.4216300009e-08 3.8412447885e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.4978783230e-06
2.00000000 5.1216687817e-05 1.8955102819e-08 0.0000000000e+00 1.8955102819e-08 5.1216694833e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.9972019200e-06
2.50000000 6.4021016715e-05 2.3693936608e-08 0.0000000000e+00 2.3693936608e-08 6.4021025484e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4965519367e-06
3.00000000 7.6825450242e-05 2.8432809120e-08 0.0000000000e+00 2.8432809120e-08 7.6825460764e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.9959349787e-06
3.50000000 8.9630009325e-05 3.3171728100e-08 0.0000000000e+00 3.3171728100e-08 8.9630021602e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0495357652e-05
4.00000000 1.0243471489e-04 3.7910701292e-08 0.0000000000e+00 3.7910701292e-08 1.0243472892e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1994826563e-05
4.50000000 1.1523958787e-04 4.2649736444e-08 0.0000000000e+00 4.2649736444e-08 1.1523960366e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3494348317e-05
5.00000000 1.2804464919e-04 4.7388841299e-08 0.0000000000e+00 4.7388841299e-08 1.2804466673e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4993929524e-05
5.50000000 1.4084991978e-04 5.2128023605e-08 0.0000000000e+00 5.2128023605e-08 1.4084993907e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6493576790e-05
6.00000000 1.5365542057e-04 5.6867291107e-08 0.0000000000e+00 5.6867291107e-08 1.5365544162e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7993296725e-05
6.50000000 1.6646117249e-04 6.1606651551e-08 0.0000000000e+00 6.1606651551e-08 1.6646119529e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9493095938e-05
7.00000000 1.7926719648e-04 6.6346112685e-08 0.0000000000e+00 6.6346112685e-08 1.7926722103e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0992981039e-05
7.50000000 1.9207351346e-04 7.1085682257e-08 0.0000000000e+00 7.1085682257e-08 1.9207353977e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2492958640e-05
8.00000000 2.0488014437e-04 7.5825368013e-08 0.0000000000e+00 7.5825368013e-08 2.0488017243e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3993035353e-05
8.50000000 2.1768711015e-04 8.0565177702e-08 0.0000000000e+00 8.0565177702e-08 2.1768713997e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5493217792e-05
9.00000000 2.3049443174e-04 8.5305119074e-08 0.0000000000e+00 8.5305119074e-08 2.3049446331e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.6993512572e-05
