# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.8025918801e+01 2.1746556634e-03 0.0000000000e+00 2.1746556634e-03 1.8025919606e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452414084e+00
0.50000000 1.8025919601e+01 2.1746559595e-03 0.0000000000e+00 2.1746559595e-03 1.8025920406e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452415021e+00
1.00000000 1.8025922002e+01 2.1746568480e-03 0.0000000000e+00 2.1746568480e-03 1.8025922807e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452417832e+00
1.50000000 1.8025926003e+01 2.1746583288e-03 0.0000000000e+00 2.1746583288e-03 1.8025926808e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452422517e+00
2.00000000 1.8025931605e+01 2.1746604020e-03 0.0000000000e+00 2.1746604020e-03 1.8025932410e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452429076e+00
2.50000000 1.8025938807e+01 2.1746630674e-03 0.0000000000e+00 2.1746630674e-03 1.8025939612e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452437509e+00
3.00000000 1.8025947610e+01 2.1746663252e-03 0.0000000000e+00 2.1746663252e-03 1.8025948414e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452447816e+00
3.50000000 1.8025958013e+01 2.1746701754e-03 0.0000000000e+00 2.1746701754e-03 1.8025958817e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452459996e+00
4.00000000 1.8025970016e+01 2.1746746179e-03 0.0000000000e+00 2.1746746179e-03 1.8025970821e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452474052e+00
4.50000000 1.8025983620e+01 2.1746796527e-03 0.0000000000e+00 2.1746796527e-03 1.8025984425e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452489981e+00
5.00000000 1.8025998825e+01 2.1746852799e-03 0.0000000000e+00 2.1746852799e-03 1.8025999630e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452507784e+00
5.50000000 1.8026015630e+01 2.1746914995e-03 0.0000000000e+00 2.1746914995e-03 1.8026016435e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452527462e+00
6.00000000 1.8026034036e+01 2.1746983115e-03 0.0000000000e+00 2.1746983115e-03 1.8026034841e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452549014e+00
6.50000000 1.8026054043e+01 2.1747057159e-03 0.0000000000e+00 2.1747057159e-03 1.8026054848e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452572441e+00
7.00000000 1.8026075650e+01 2.1747137126e-03 0.0000000000e+00 2.1747137126e-03 1.8026076455e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452597743e+00
7.50000000 1.8026098858e+01 2.1747223018e-03 0.0000000000e+00 2.1747223018e-03 1.8026099663e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452624919e+00
8.00000000 1.8026123667e+01 2.1747314834e-03 0.0000000000e+00 2.1747314834e-03 1.8026124472e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452653970e+00
8.50000000 1.8026150076e+01 2.1747412575e-03 0.0000000000e+00 2.1747412575e-03 1.8026150881e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452684896e+00
9.00000000 1.8026178087e+01 2.1747516240e-03 0.0000000000e+00 2.1747516240e-03 1.8026178892e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452717697e+00
9.50000000 1.8026207698e+01 2.1747625830e-03 0.0000000000e+00 2.1747625830e-03 1.8026208503e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452752373e+00
10.00000000 1.8026238910e+01 2.1747741346e-03 0.0000000000e+00 2.1747741346e-03 1.8026239715e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452788925e+00
10.50000000 1.8026271723e+01 2.1747862786e-03 0.0000000000e+00 2.1747862786e-03 1.8026272528e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452827352e+00
11.00000000 1.8026306138e+01 2.1747990151e-03 0.0000000000e+00 2.1747990151e-03 1.8026306943e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452867655e+00
11.50000000 1.8026342153e+01 2.1748123443e-03 0.0000000000e+00 2.1748123443e-03 1.8026342958e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452909835e+00
12.00000000 1.8026379769e+01 2.1748262660e-03 0.0000000000e+00 2.1748262660e-03 1.8026380574e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452953890e+00
12.50000000 1.8026418987e+01 2.1748407803e-03 0.0000000000e+00 2.1748407803e-03 1.8026419792e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5452999821e+00
13.00000000 1.8026459806e+01 2.1748558872e-03 0.0000000000e+00 2.1748558872e-03 1.8026460611e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5453047629e+00
