# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 8.299474856962009162e-07 8.299475993751170798e-07 3.605121981595144054e-08 1.695946304887269317e-06
5.000000000000000000e-01 8.305603921177475718e-07 8.305605058806142296e-07 3.609494590015285726e-08 1.697215843898514559e-06
1.000000000000000000e+00 8.311739777243315671e-07 8.311740915712417869e-07 3.613875158424998196e-08 1.698486820879823250e-06
1.500000000000000000e+00 8.317882435198288228e-07 8.317883574508757781e-07 3.618263706156571683e-08 1.699759238032270430e-06
2.000000000000000000e+00 8.324031905099705791e-07 8.324033045252475495e-07 3.622660252601023586e-08 1.701033097561228351e-06
2.500000000000000000e+00 8.330188197023474195e-07 8.330189338019478962e-07 3.627064817208309574e-08 1.702308401676378332e-06
3.000000000000000000e+00 8.336351321064137176e-07 8.336352462904312978e-07 3.631477419487540642e-08 1.703585152591720501e-06
3.500000000000000000e+00 8.342521287334916607e-07 8.342522430020200473e-07 3.635898079007196855e-08 1.704863352525583749e-06
4.000000000000000000e+00 8.348698105967752727e-07 8.348699249499082748e-07 3.640326815395347044e-08 1.706143003700637163e-06
4.500000000000000000e+00 8.354881787113348617e-07 8.354882931491664998e-07 3.644763648339864538e-08 1.707424108343899980e-06
5.000000000000000000e+00 8.361072340941209369e-07 8.361073486167453376e-07 3.649208597588647523e-08 1.708706668686752809e-06
5.500000000000000000e+00 8.367269777639682325e-07 8.367270923714796282e-07 3.653661682949838740e-08 1.709990686964946314e-06
6.000000000000000000e+00 8.373474107416004720e-07 8.373475254340933068e-07 3.658122924292041881e-08 1.711276165418614131e-06
6.500000000000000000e+00 8.379685340496342857e-07 8.379686488272032156e-07 3.662592341544552530e-08 1.712563106292282821e-06
7.000000000000000000e+00 8.385903487125827048e-07 8.385904635753222799e-07 3.667069954697569926e-08 1.713851511834880552e-06
7.500000000000000000e+00 8.392128557568608790e-07 8.392129707048660729e-07 3.671555783802427251e-08 1.715141384299751284e-06
8.000000000000000000e+00 8.398360562107890409e-07 8.398361712441547211e-07 3.676049848971815958e-08 1.716432725944661975e-06
8.500000000000000000e+00 8.404599511045971646e-07 8.404600662234185166e-07 3.680552170380007458e-08 1.717725539031815703e-06
9.000000000000000000e+00 8.410845414704296248e-07 8.410846566748018338e-07 3.685062768263082743e-08 1.719019825827862260e-06
9.500000000000000000e+00 8.417098283423484786e-07 8.417099436323669418e-07 3.689581662919158043e-08 1.720315588603907041e-06
1.000000000000000000e+01 8.423358127563391833e-07 8.423359281320995095e-07 3.694108874708614451e-08 1.721612829635524811e-06
1.050000000000000000e+01 8.429624957503131372e-07 8.429626112119110411e-07 3.698644424054328209e-08 1.722911551202767540e-06
1.100000000000000000e+01 8.435898783641137151e-07 8.435899939116450174e-07 3.703188331441895702e-08 1.724211755590177742e-06
1.150000000000000000e+01 8.442179616395191267e-07 8.442180772730797537e-07 3.707740617419873009e-08 1.725513445086797584e-06
1.200000000000000000e+01 8.448467466202480281e-07 8.448468623399340123e-07 3.712301302599998250e-08 1.726816621986182010e-06
