# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.27088178 1.2234749757e-05 -4.6528369256e-16 -2.7735707961e-16 -4.6528369256e-16 1.2234749757e-05 3.0180553710e-16 -2.7735707961e-16 3.0180553710e-16 1.2234749757e-05
0.54176357 2.4469517559e-05 -9.3056551072e-16 -5.5471556502e-16 -9.3056551072e-16 2.4469517559e-05 6.0361107420e-16 -5.5471556502e-16 6.0361107420e-16 2.4469517559e-05
0.81264535 3.6704321451e-05 -1.3958529521e-15 -8.3207580769e-16 -1.3958529521e-15 3.6704321450e-05 9.0541895431e-16 -8.3207580769e-16 9.0541895431e-16 3.6704321451e-05
1.08352714 4.8939179477e-05 -1.8611460167e-15 -1.1094301928e-15 -1.8611460167e-15 4.8939179476e-05 1.2072268344e-15 -1.1094301928e-15 1.2072268344e-15 4.8939179478e-05
1.35440892 6.1174109684e-05 -2.3264447045e-15 -1.3867986360e-15 -2.3264447045e-15 6.1174109682e-05 1.5090426807e-15 -1.3867986360e-15 1.5090426807e-15 6.1174109684e-05
1.62529071 7.3409130115e-05 -2.7917358947e-15 -1.6641656734e-15 -2.7917358947e-15 7.3409130114e-05 1.8108566527e-15 -1.6641656734e-15 1.8108566527e-15 7.3409130116e-05
1.89617249 8.5644258819e-05 -3.2570495777e-15 -1.9415308364e-15 -3.2570495777e-15 8.5644258817e-05 2.1126743734e-15 -1.9415308364e-15 2.1126743734e-15 8.5644258819e-05
2.16705428 9.7879513839e-05 -3.7223445167e-15 -2.2189072458e-15 -3.7223445167e-15 9.7879513837e-05 2.4144986546e-15 -2.2189072458e-15 2.4144986546e-15 9.7879513840e-05
2.43793606 1.1011491322e-04 -4.1876619486e-15 -2.4962845924e-15 -4.1876619486e-15 1.1011491322e-04 2.7163248101e-15 -2.4962845924e-15 2.7163248101e-15 1.1011491322e-04
2.70881785 1.2235047502e-04 -4.6529943757e-15 -2.7736778715e-15 -4.6529943757e-15 1.2235047502e-04 3.0181659609e-15 -2.7736778715e-15 3.0181659609e-15 1.2235047502e-04
2.97969963 1.3458621728e-04 -5.1183417980e-15 -3.0510636529e-15 -5.1183417980e-15 1.3458621727e-04 3.3200071117e-15 -3.0510636529e-15 3.3200071117e-15 1.3458621728e-04
3.25058142 1.4682215804e-04 -5.5836967180e-15 -3.3284569320e-15 -5.5836967180e-15 1.4682215803e-04 3.6218520113e-15 -3.3284569320e-15 3.6218520113e-15 1.4682215804e-04
3.52146320 1.5905831536e-04 -6.0490366428e-15 -3.6058708295e-15 -6.0490366428e-15 1.5905831535e-04 3.9237081574e-15 -3.6058708295e-15 3.9237081574e-15 1.5905831536e-04
