# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0237501163e+01 -6.4087891849e-11 -3.8191863728e-11 -6.4087891849e-11 1.0237501163e+01 1.0041567443e-08 -3.8191863728e-11 1.0041567443e-08 1.0237501163e+01
0.27088178 1.0237501577e+01 -6.4087891849e-11 -3.8191771598e-11 -6.4087891849e-11 1.0237501577e+01 1.0041567443e-08 -3.8191771598e-11 1.0041567443e-08 1.0237501577e+01
0.54176357 1.0237502820e+01 -6.4087646167e-11 -3.8191771598e-11 -6.4087646167e-11 1.0237502820e+01 1.0041567566e-08 -3.8191771598e-11 1.0041567566e-08 1.0237502820e+01
0.81264535 1.0237504891e+01 -6.4088137531e-11 -3.8191679467e-11 -6.4088137531e-11 1.0237504891e+01 1.0041567566e-08 -3.8191679467e-11 1.0041567566e-08 1.0237504891e+01
1.08352714 1.0237507791e+01 -6.4087891849e-11 -3.8191556626e-11 -6.4087891849e-11 1.0237507791e+01 1.0041567443e-08 -3.8191556626e-11 1.0041567443e-08 1.0237507791e+01
1.35440892 1.0237511519e+01 -6.4088383213e-11 -3.8192170831e-11 -6.4088383213e-11 1.0237511519e+01 1.0041567812e-08 -3.8192170831e-11 1.0041567812e-08 1.0237511519e+01
1.62529071 1.0237516075e+01 -6.4088628895e-11 -3.8191986570e-11 -6.4088628895e-11 1.0237516075e+01 1.0041567935e-08 -3.8191986570e-11 1.0041567935e-08 1.0237516075e+01
1.89617249 1.0237521460e+01 -6.4088628895e-11 -3.8192078700e-11 -6.4088628895e-11 1.0237521460e+01 1.0041567996e-08 -3.8192078700e-11 1.0041567996e-08 1.0237521460e+01
2.16705428 1.0237527674e+01 -6.4088874577e-11 -3.8192416513e-11 -6.4088874577e-11 1.0237527674e+01 1.0041568119e-08 -3.8192416513e-11 1.0041568119e-08 1.0237527674e+01
2.43793606 1.0237534716e+01 -6.4088874577e-11 -3.8192416513e-11 -6.4088874577e-11 1.0237534716e+01 1.0041568181e-08 -3.8192416513e-11 1.0041568181e-08 1.0237534716e+01
2.70881785 1.0237542586e+01 -6.4089365941e-11 -3.8192600775e-11 -6.4089365941e-11 1.0237542586e+01 1.0041568488e-08 -3.8192600775e-11 1.0041568488e-08 1.0237542586e+01
2.97969963 1.0237551285e+01 -6.4089611623e-11 -3.8192692906e-11 -6.4089611623e-11 1.0237551285e+01 1.0041568672e-08 -3.8192692906e-11 1.0041568672e-08 1.0237551285e+01
