# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.849357596396926573e-06 1.849357596376876668e-06 1.849357596402607200e-06 5.548072789176410441e-06
2.708817848735430300e-01 1.850654976650919902e-06 1.850654976630849032e-06 1.850654976656606881e-06 5.551964929938375815e-06
5.417635697470860601e-01 1.851953722598915251e-06 1.851953722578823206e-06 1.851953722604608159e-06 5.555861167782346615e-06
8.126453546206291456e-01 1.853253836158373502e-06 1.853253836138259858e-06 1.853253836164072340e-06 5.559761508460705701e-06
1.083527139494172120e+00 1.854555319250123977e-06 1.854555319229989369e-06 1.854555319255828532e-06 5.563665957735941878e-06
1.354408924367715095e+00 1.855858173798367609e-06 1.855858173778211613e-06 1.855858173804078305e-06 5.567574521380657526e-06
1.625290709241258291e+00 1.857162401730687747e-06 1.857162401710510575e-06 1.857162401736405007e-06 5.571487205177603329e-06
1.896172494114801266e+00 1.858468004978053331e-06 1.858468004957855195e-06 1.858468004983776097e-06 5.575404014919684199e-06
2.167054278988344240e+00 1.859774985474830326e-06 1.859774985454610379e-06 1.859774985480559021e-06 5.579324956409999938e-06
2.437936063861887437e+00 1.861083345158785535e-06 1.861083345138544200e-06 1.861083345164520371e-06 5.583250035461850318e-06
2.708817848735430189e+00 1.862393085971094009e-06 1.862393085950831710e-06 1.862393085976834986e-06 5.587179257898760493e-06
2.979699633608973386e+00 1.863704209856349424e-06 1.863704209836065738e-06 1.863704209862096542e-06 5.591112629554511492e-06
3.250581418482516582e+00 1.865016718762567047e-06 1.865016718742261549e-06 1.865016718768320306e-06 5.595050156273148690e-06
3.521463203356059335e+00 1.866330614641193685e-06 1.866330614620866800e-06 1.866330614646953085e-06 5.598991843909013994e-06
3.792344988229602532e+00 1.867645899447115312e-06 1.867645899426767040e-06 1.867645899452880642e-06 5.602937698326762783e-06
4.063226773103145284e+00 1.868962575138660668e-06 1.868962575118290796e-06 1.868962575144432139e-06 5.606887725401383392e-06
4.334108557976688481e+00 1.870280643677614174e-06 1.870280643657222703e-06 1.870280643683391786e-06 5.610841931018228451e-06
