# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.681453204050235391e-05
2.708817848735430300e-01 2.683334324524564408e-05
5.417635697470860601e-01 2.685217425170042006e-05
8.126453546206291456e-01 2.687102508766868163e-05
1.083527139494172120e+00 2.688989578100125496e-05
1.354408924367715095e+00 2.690878635959785019e-05
1.625290709241258291e+00 2.692769685140722742e-05
1.896172494114801266e+00 2.694662728442723064e-05
2.167054278988344240e+00 2.696557768670495710e-05
2.437936063861887437e+00 2.698454808633681491e-05
2.708817848735430189e+00 2.700353851146864844e-05
2.979699633608973386e+00 2.702254899029583651e-05
3.250581418482516582e+00 2.704157955106339410e-05
3.521463203356059335e+00 2.706063022206607396e-05
3.792344988229602532e+00 2.707970103164851567e-05
4.063226773103145284e+00 2.709879200820525924e-05
4.334108557976688481e+00 2.711790318018095515e-05
4.604990342850231677e+00 2.713703457607037788e-05
4.875872127723774874e+00 2.715618622441862923e-05
5.146753912597317182e+00 2.717535815382112138e-05
5.417635697470860379e+00 2.719455039292381065e-05
5.688517482344403575e+00 2.721376297042323817e-05
5.959399267217946772e+00 2.723299591506660779e-05
6.230281052091489968e+00 2.725224925565198264e-05
6.501162836965033165e+00 2.727152302102829861e-05
6.772044621838575473e+00 2.729081724009554399e-05
7.042926406712118670e+00 2.731013194180483057e-05
7.313808191585661866e+00 2.732946715515850548e-05
7.584689976459205063e+00 2.734882290921028671e-05
7.855571761332748260e+00 2.736819923306531730e-05
8.126453546206290568e+00 2.738759615588034154e-05
8.397335331079833765e+00 2.740701370686374902e-05
8.668217115953376961e+00 2.742645191527575758e-05
8.939098900826920158e+00 2.744591081042845396e-05
9.209980685700463354e+00 2.746539042168594290e-05
9.480862470574006551e+00 2.748489077846444877e-05
9.751744255447549747e+00 2.750441191023242059e-05
1.002262604032109294e+01 2.752395384651066759e-05
1.029350782519463436e+01 2.754351661687242354e-05
1.056438961006817756e+01 2.756310025094350604e-05
1.083527139494172076e+01 2.758270477840242828e-05
1.110615317981526395e+01 2.760233022898044312e-05
1.137703496468880715e+01 2.762197663246176670e-05
1.164791674956235035e+01 2.764164401868357505e-05
1.191879853443589354e+01 2.766133241753622769e-05
1.218968031930943674e+01 2.768104185896327443e-05
1.246056210418297994e+01 2.770077237296164510e-05
1.273144388905652313e+01 2.772052398958176474e-05
1.300232567393006633e+01 2.774029673892759086e-05
1.327320745880360775e+01 2.776009065115683710e-05
1.354408924367715095e+01 2.777990575648097655e-05
1.381497102855069414e+01 2.779974208516545865e-05
1.408585281342423734e+01 2.781959966752975999e-05
1.435673459829778054e+01 2.783947853394749949e-05
1.462761638317132373e+01 2.785937871484662139e-05
1.489849816804486693e+01 2.787930024070941218e-05
1.516937995291841013e+01 2.789924314207270048e-05
1.544026173779195332e+01 2.791920744952793159e-05
1.571114352266549652e+01 2.793919319372129966e-05
1.598202530753903794e+01 2.795920040535386283e-05
1.625290709241258114e+01 2.797922911518165170e-05
1.652378887728612611e+01 2.799927935401581497e-05
1.679467066215966753e+01 2.801935115272268726e-05
1.706555244703321250e+01 2.803944454222396526e-05
1.733643423190675392e+01 2.805955955349679579e-05
1.760731601678029534e+01 2.807969621757389108e-05
1.787819780165384032e+01 2.809985456554367099e-05
1.814907958652738174e+01 2.812003462855035453e-05
1.841996137140092671e+01 2.814023643779410894e-05
1.869084315627446813e+01 2.816046002453114115e-05
1.896172494114801310e+01 2.818070542007385364e-05
1.923260672602155452e+01 2.820097265579093256e-05
1.950348851089509949e+01 2.822126176310747980e-05
1.977437029576864091e+01 2.824157277350516554e-05
2.004525208064218589e+01 2.826190571852226546e-05
2.031613386551572731e+01 2.828226062975390130e-05
2.058701565038926873e+01 2.830263753885206462e-05
2.085789743526281370e+01 2.832303647752580311e-05
2.112877922013635512e+01 2.834345747754130190e-05
2.139966100500990009e+01 2.836390057072201573e-05
2.167054278988344151e+01 2.838436578894883494e-05
2.194142457475698649e+01 2.840485316416012615e-05
2.221230635963052791e+01 2.842536272835195584e-05
2.248318814450407288e+01 2.844589451357814461e-05
2.275406992937761430e+01 2.846644855195040266e-05
2.302495171425115927e+01 2.848702487563848908e-05
2.329583349912470069e+01 2.850762351687029648e-05
2.356671528399824211e+01 2.852824450793202049e-05
2.383759706887178709e+01 2.854888788116821389e-05
2.410847885374532851e+01 2.856955366898201705e-05
2.437936063861887348e+01 2.859024190383520196e-05
2.465024242349241490e+01 2.861095261824832467e-05
2.492112420836595987e+01 2.863168584480086767e-05
2.519200599323950129e+01 2.865244161613133466e-05
2.546288777811304627e+01 2.867321996493743357e-05
2.573376956298658769e+01 2.869402092397613414e-05
2.600465134786013266e+01 2.871484452606386107e-05
2.627553313273367408e+01 2.873569080407659560e-05
2.654641491760721550e+01 2.875655979094999078e-05
2.681729670248076047e+01 2.877745151967953067e-05
2.708817848735430189e+01 2.879836602332064893e-05
2.735906027222784687e+01 2.881930333498884062e-05
2.762994205710138829e+01 2.884026348785984520e-05
2.790082384197493326e+01 2.886124651516970070e-05
2.817170562684847468e+01 2.888225245021496055e-05
2.844258741172201965e+01 2.890328132635274446e-05
2.871346919659556107e+01 2.892433317700094164e-05
2.898435098146910249e+01 2.894540803563829218e-05
2.925523276634264747e+01 2.896650593580454622e-05
2.952611455121618889e+01 2.898762691110060293e-05
2.979699633608973386e+01 2.900877099518860534e-05
3.006787812096327528e+01 2.902993822179213688e-05
3.033875990583682025e+01 2.905112862469628232e-05
3.060964169071036167e+01 2.907234223774783109e-05
3.088052347558390665e+01 2.909357909485536201e-05
3.115140526045744807e+01 2.911483922998940585e-05
3.142228704533099304e+01 2.913612267718259448e-05
3.169316883020453446e+01 2.915742947052973197e-05
3.196405061507807588e+01 2.917875964418802161e-05
3.223493239995161730e+01 2.920011323237713029e-05
3.250581418482516227e+01 2.922149026937934777e-05
3.277669596969870724e+01 2.924289078953976279e-05
3.304757775457225222e+01 2.926431482726633767e-05
3.331845953944579009e+01 2.928576241703007431e-05
3.358934132431933506e+01 2.930723359336517343e-05
3.386022310919288003e+01 2.932872839086914300e-05
3.413110489406642500e+01 2.935024684420294729e-05
3.440198667893996287e+01 2.937178898809115940e-05
3.467286846381350784e+01 2.939335485732209329e-05
3.494375024868705282e+01 2.941494448674791571e-05
3.521463203356059068e+01 2.943655791128484939e-05
3.548551381843413566e+01 2.945819516591323747e-05
3.575639560330768063e+01 2.947985628567776373e-05
3.602727738818122560e+01 2.950154130568754740e-05
3.629815917305476347e+01 2.952325026111626521e-05
3.656904095792830844e+01 2.954498318720235123e-05
3.683992274280185342e+01 2.956674011924910871e-05
3.711080452767539839e+01 2.958852109262485576e-05
3.738168631254893626e+01 2.961032614276304733e-05
3.765256809742248123e+01 2.963215530516247849e-05
3.792344988229602620e+01 2.965400861538737250e-05
3.819433166716956407e+01 2.967588610906752994e-05
3.846521345204310904e+01 2.969778782189852858e-05
3.873609523691665402e+01 2.971971378964178773e-05
3.900697702179019899e+01 2.974166404812478851e-05
3.927785880666373686e+01 2.976363863324116193e-05
3.954874059153728183e+01 2.978563758095087861e-05
3.981962237641082680e+01 2.980766092728037755e-05
4.009050416128437178e+01 2.982970870832270501e-05
4.036138594615790964e+01 2.985178096023769075e-05
4.063226773103145462e+01 2.987387771925203945e-05
4.090314951590499959e+01 2.989599902165957808e-05
4.117403130077853746e+01 2.991814490382127621e-05
4.144491308565208243e+01 2.994031540216551707e-05
4.171579487052562740e+01 2.996251055318817209e-05
4.198667665539917238e+01 2.998473039345276691e-05
4.225755844027271024e+01 3.000697495959065081e-05
4.252844022514625522e+01 3.002924428830112881e-05
4.279932201001980019e+01 3.005153841635161755e-05
4.307020379489334516e+01 3.007385738057781469e-05
4.334108557976688303e+01 3.009620121788380054e-05
4.361196736464042800e+01 3.011856996524226173e-05
4.388284914951397298e+01 3.014096365969457921e-05
4.415373093438751084e+01 3.016338233835103502e-05
4.442461271926105582e+01 3.018582603839093081e-05
4.469549450413460079e+01 3.020829479706272678e-05
4.496637628900814576e+01 3.023078865168426531e-05
4.523725807388168363e+01 3.025330763964284206e-05
4.550813985875522860e+01 3.027585179839544321e-05
4.577902164362877357e+01 3.029842116546881315e-05
4.604990342850231855e+01 3.032101577845968494e-05
4.632078521337585642e+01 3.034363567503491917e-05
4.659166699824940139e+01 3.036628089293161241e-05
4.686254878312294636e+01 3.038895146995733098e-05
4.713343056799648423e+01 3.041164744399020244e-05
4.740431235287002920e+01 3.043436885297912903e-05
4.767519413774357417e+01 3.045711573494387238e-05
4.794607592261711915e+01 3.047988812797531777e-05
4.821695770749065701e+01 3.050268607023555887e-05
4.848783949236420199e+01 3.052550959995801967e-05
4.875872127723774696e+01 3.054835875544775943e-05
4.902960306211129193e+01 3.057123357508145914e-05
4.930048484698482980e+01 3.059413409730771965e-05
4.957136663185837477e+01 3.061706036064714640e-05
4.984224841673191975e+01 3.064001240369253914e-05
5.011313020160545761e+01 3.066299026510907488e-05
5.038401198647900259e+01 3.068599398363438922e-05
5.065489377135254756e+01 3.070902359807885419e-05
5.092577555622609253e+01 3.073207914732564597e-05
5.119665734109963040e+01 3.075516067033096855e-05
5.146753912597317537e+01 3.077826820612420279e-05
5.173842091084672035e+01 3.080140179380802160e-05
5.200930269572026532e+01 3.082456147255866104e-05
5.228018448059380319e+01 3.084774728162598123e-05
5.255106626546734816e+01 3.087095926033369005e-05
5.282194805034089313e+01 3.089419744807948539e-05
5.309282983521443100e+01 3.091746188433524488e-05
5.336371162008797597e+01 3.094075260864719533e-05
5.363459340496152095e+01 3.096406966063602114e-05
5.390547518983506592e+01 3.098741307999712855e-05
5.417635697470860379e+01 3.101078290650072022e-05
5.444723875958214876e+01 3.103417917999204591e-05
5.471812054445569373e+01 3.105760194039151770e-05
5.498900232932923160e+01 3.108105122769488617e-05
5.525988411420277657e+01 3.110452708197346402e-05
5.553076589907632155e+01 3.112802954337419382e-05
5.580164768394986652e+01 3.115155865211993941e-05
5.607252946882340439e+01 3.117511444850956041e-05
5.634341125369694936e+01 3.119869697291814941e-05
5.661429303857049433e+01 3.122230626579717427e-05
5.688517482344403930e+01 3.124594236767464753e-05
5.715605660831757717e+01 3.126960531915532290e-05
5.742693839319112215e+01 3.129329516092083758e-05
5.769782017806466712e+01 3.131701193372994266e-05
5.796870196293820499e+01 3.134075567841859797e-05
5.823958374781174996e+01 3.136452643590022281e-05
5.851046553268529493e+01 3.138832424716584503e-05
5.878134731755883990e+01 3.141214915328424331e-05
5.905222910243237777e+01 3.143600119540219116e-05
5.932311088730592274e+01 3.145988041474455848e-05
5.959399267217946772e+01 3.148378685261458949e-05
5.986487445705301269e+01 3.150772055039395005e-05
6.013575624192655056e+01 3.153168154954302593e-05
6.040663802680009553e+01 3.155566989160105823e-05
6.067751981167364050e+01 3.157968561818627899e-05
6.094840159654717837e+01 3.160372877099618897e-05
6.121928338142072334e+01 3.162779939180761864e-05
6.149016516629426832e+01 3.165189752247702634e-05
6.176104695116781329e+01 3.167602320494062028e-05
6.203192873604135116e+01 3.170017648121450758e-05
6.230281052091489613e+01 3.172435739339496532e-05
6.257369230578844110e+01 3.174856598365854223e-05
6.284457409066198608e+01 3.177280229426230934e-05
6.311545587553552394e+01 3.179706636754396848e-05
6.338633766040906892e+01 3.182135824592213005e-05
