# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 6.9428287495e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428287495e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706079531e+00
0.30234920 6.9428298236e+00 6.3194044023e-18 0.0000000000e+00 6.3194044023e-18 6.9428298236e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706113685e+00
0.60469840 6.9428330457e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428330457e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706216146e+00
0.90704760 6.9428384161e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428384161e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706386917e+00
1.20939680 6.9428459349e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428459349e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706626004e+00
1.51174600 6.9428556023e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428556023e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3706933411e+00
1.81409521 6.9428674186e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428674186e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3707309147e+00
2.11644441 6.9428813841e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428813841e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3707753222e+00
2.41879361 6.9428974993e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9428974993e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3708265646e+00
2.72114281 6.9429157647e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9429157647e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3708846434e+00
3.02349201 6.9429361808e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9429361808e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3709495599e+00
3.32584121 6.9429587483e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9429587483e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3710213159e+00
3.62819041 6.9429834677e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9429834677e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3710999131e+00
3.93053961 6.9430103400e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9430103400e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3711853537e+00
4.23288881 6.9430393658e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9430393658e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3712776398e+00
4.53523801 6.9430705461e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9430705461e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3713767738e+00
4.83758722 6.9431038818e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9431038818e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3714827582e+00
5.13993642 6.9431393739e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9431393739e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3715955958e+00
5.44228562 6.9431770235e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9431770235e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3717152894e+00
5.74463482 6.9432168317e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9432168317e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3718418421e+00
6.04698402 6.9432587998e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9432587998e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3719752572e+00
6.34933322 6.9433029290e+00 6.3194044023e-18 0.0000000000e+00 6.3194044023e-18 6.9433029290e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3721155382e+00
6.65168242 6.9433492206e+00 6.2958245351e-18 0.0000000000e+00 6.2958245351e-18 6.9433492206e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3722626885e+00
