# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 6.665362968293074336e-06 6.665362968293100594e-06 3.417824809429501667e-05 4.750897403088119244e-05
3.023492009512127598e-01 6.684872876335145964e-06 6.684872876335172222e-06 3.425387551587559678e-05 4.762362126854591412e-05
6.046984019024255197e-01 6.704473346011371009e-06 6.704473346011397267e-06 3.432979069650904358e-05 4.773873738853180932e-05
9.070476028536382795e-01 6.724164953140787207e-06 6.724164953140813465e-06 3.440599526833499808e-05 4.785432517461659621e-05
1.209396803804851039e+00 6.743948278179395578e-06 6.743948278179420989e-06 3.448249087600044398e-05 4.797038743235926224e-05
1.511746004756063799e+00 6.763823906265299660e-06 6.763823906265325071e-06 3.455927917678042682e-05 4.808692698931104985e-05
1.814095205707276559e+00 6.783792427264320776e-06 6.783792427264347034e-06 3.463636184070011483e-05 4.820394669522878688e-05
2.116444406658489541e+00 6.803854435816159631e-06 6.803854435816185042e-06 3.471374055065836410e-05 4.832144942229071047e-05
2.418793607609702079e+00 6.824010531381055974e-06 6.824010531381082232e-06 3.479141700255263897e-05 4.843943806531477803e-05
2.721142808560914617e+00 6.844261318287032705e-06 6.844261318287058963e-06 3.486939290540549778e-05 4.855791554197959369e-05
3.023492009512127598e+00 6.864607405777615170e-06 6.864607405777641428e-06 3.494766998149238644e-05 4.867688479304764558e-05
3.325841210463340580e+00 6.885049408060169638e-06 6.885049408060195049e-06 3.502624996647108537e-05 4.879634878259145005e-05
3.628190411414553118e+00 6.905587944354729667e-06 6.905587944354756772e-06 3.510513460951260659e-05 4.891631049822209472e-05
3.930539612365765656e+00 6.926223638943445043e-06 6.926223638943471301e-06 3.518432567343358160e-05 4.903677295132049879e-05
4.232888813316979082e+00 6.946957121220563498e-06 6.946957121220589756e-06 3.526382493483032972e-05 4.915773917727147874e-05
4.535238014268191620e+00 6.967789025743002812e-06 6.967789025743029917e-06 3.534363418421432920e-05 4.927921223570036192e-05
4.837587215219404158e+00 6.988719992281512451e-06 6.988719992281538709e-06 3.542375522614946360e-05 4.940119521071251391e-05
5.139936416170616695e+00 7.009750665872422200e-06 7.009750665872450152e-06 3.550418987939079295e-05 4.952369121113566445e-05
5.442285617121829233e+00 7.030881696869998110e-06 7.030881696870024368e-06 3.558493997702496468e-05 4.964670337076498461e-05
5.744634818073042659e+00 7.052113740999401545e-06 7.052113740999428650e-06 3.566600736661232541e-05 4.977023484861115899e-05
6.046984019024255197e+00 7.073447459410269097e-06 7.073447459410296203e-06 3.574739391033071329e-05 4.989428882915127690e-05
6.349333219975467735e+00 7.094883518730936246e-06 7.094883518730963351e-06 3.582910148512095114e-05 5.001886852258285413e-05
6.651682420926681161e+00 7.116422591123245473e-06 7.116422591123271731e-06 3.591113198283407432e-05 5.014397716508059238e-05
6.954031621877893699e+00 7.138065354338066732e-06 7.138065354338092990e-06 3.599348731038036790e-05 5.026961801905652677e-05
7.256380822829106236e+00 7.159812491771404906e-06 7.159812491771432858e-06 3.607616938988008427e-05 5.039579437342292458e-05
7.558730023780318774e+00 7.181664692521216246e-06 7.181664692521243351e-06 3.615918015881607853e-05 5.052250954385853813e-05
7.861079224731531312e+00 7.203622651444853288e-06 7.203622651444880393e-06 3.624252157018822593e-05 5.064976687307796131e-05
8.163428425682743850e+00 7.225687069217234848e-06 7.225687069217261106e-06 3.632619559266969612e-05 5.077756973110419123e-05
8.465777626633958164e+00 7.247858652389646199e-06 7.247858652389673304e-06 3.641020421076511109e-05 5.090592151554442890e-05
8.768126827585170702e+00 7.270138113449295651e-06 7.270138113449322756e-06 3.649454942497066151e-05 5.103482565186928161e-05
9.070476028536383239e+00 7.292526170879530124e-06 7.292526170879558077e-06 3.657923325193610013e-05 5.116428559369519088e-05
9.372825229487595777e+00 7.315023549220791878e-06 7.315023549220818983e-06 3.666425772462875442e-05 5.129430482307036358e-05
9.675174430438808315e+00 7.337630979132291821e-06 7.337630979132318926e-06 3.674962489249947048e-05 5.142488685076407784e-05
9.977523631390020853e+00 7.360349197454423138e-06 7.360349197454449396e-06 3.683533682165065766e-05 5.155603521655953273e-05
1.027987283234123339e+01 7.383178947271913524e-06 7.383178947271940629e-06 3.692139559500631849e-05 5.168775348955017434e-05
1.058222203329244593e+01 7.406120977977743139e-06 7.406120977977770244e-06 3.700780331248419296e-05 5.182004526843970803e-05
1.088457123424365847e+01 7.429176045337819804e-06 7.429176045337847756e-06 3.709456209117000327e-05 5.195291418184566829e-05
1.118692043519487278e+01 7.452344911556431786e-06 7.452344911556459738e-06 3.718167406549384007e-05 5.208636388860673583e-05
1.148926963614608532e+01 7.475628345342488307e-06 7.475628345342516259e-06 3.726914138740871013e-05 5.222039807809371385e-05
1.179161883709729786e+01 7.499027121976575760e-06 7.499027121976602018e-06 3.735696622657127972e-05 5.235502047052445495e-05
1.209396803804851039e+01 7.522542023378782175e-06 7.522542023378810127e-06 3.744515077052487428e-05 5.249023481728246743e-05
1.239631723899972293e+01 7.546173838177386513e-06 7.546173838177414465e-06 3.753369722488474834e-05 5.262604490123955355e-05
1.269866643995093547e+01 7.569923361778350937e-06 7.569923361778379737e-06 3.762260781352560498e-05 5.276245453708233734e-05
1.300101564090214801e+01 7.593791396435671987e-06 7.593791396435700786e-06 3.771188477877145324e-05 5.289946757164282431e-05
1.330336484185336232e+01 7.617778751322571997e-06 7.617778751322600796e-06 3.780153038158789812e-05 5.303708788423306753e-05
1.360571404280457486e+01 7.641886242603577374e-06 7.641886242603606173e-06 3.789154690177672780e-05 5.317531938698391304e-05
1.390806324375578740e+01 7.666114693507445585e-06 7.666114693507474384e-06 3.798193663817304864e-05 5.331416602518796691e-05
1.421041244470699993e+01 7.690464934401031516e-06 7.690464934401058621e-06 3.807270190884473778e-05 5.345363177764683130e-05
1.451276164565821247e+01 7.714937802863989849e-06 7.714937802864020342e-06 3.816384505129451806e-05 5.359372065702252825e-05
1.481511084660942501e+01 7.739534143764475240e-06 7.739534143764504039e-06 3.825536842266458090e-05 5.373443671019355848e-05
1.511746004756063755e+01 7.764254809335686998e-06 7.764254809335717491e-06 3.834727439994367560e-05 5.387578401861508009e-05
1.541980924851185009e+01 7.789100659253431888e-06 7.789100659253460687e-06 3.843956538017688225e-05 5.401776669868377652e-05
1.572215844946306262e+01 7.814072560714586488e-06 7.814072560714615287e-06 3.853224378067806780e-05 5.416038890210727127e-05
1.602450765041427516e+01 7.839171388516559042e-06 7.839171388516587841e-06 3.862531203924497155e-05 5.430365481627811674e-05
1.632685685136548770e+01 7.864398025137727102e-06 7.864398025137755901e-06 3.871877261437707551e-05 5.444756866465256021e-05
1.662920605231670024e+01 7.889753360818874657e-06 7.889753360818901762e-06 3.881262798549614469e-05 5.459213470713392450e-05
1.693155525326791633e+01 7.915238293645616914e-06 7.915238293645647408e-06 3.890688065316973539e-05 5.473735724046099632e-05
1.723390445421912887e+01 7.940853729631899111e-06 7.940853729631927910e-06 3.900153313933741396e-05 5.488324059860123929e-05
1.753625365517034140e+01 7.966600582804479581e-06 7.966600582804508380e-06 3.909658798753996395e-05 5.502978915314895360e-05
1.783860285612155394e+01 7.992479775288515657e-06 7.992479775288544456e-06 3.919204776315144599e-05 5.517700731372850441e-05
1.814095205707276648e+01 8.018492237394179566e-06 8.018492237394208365e-06 3.928791505361432741e-05 5.532489952840271365e-05
1.844330125802397902e+01 8.044638907704389021e-06 8.044638907704416126e-06 3.938419246867762042e-05 5.547347028408642895e-05
1.874565045897519155e+01 8.070920733163620319e-06 8.070920733163649118e-06 3.948088264063797482e-05 5.562272410696524256e-05
1.904799965992640409e+01 8.097338669167864931e-06 8.097338669167892036e-06 3.957798822458407072e-05 5.577266556291982769e-05
1.935034886087761663e+01 8.123893679655660140e-06 8.123893679655688939e-06 3.967551189864407414e-05 5.592329925795542491e-05
1.965269806182882917e+01 8.150586737200347861e-06 8.150586737200376660e-06 3.977345636423627743e-05 5.607462983863700025e-05
1.995504726278004171e+01 8.177418823103434618e-06 8.177418823103465111e-06 3.987182434632304651e-05 5.622666199252994624e-05
2.025739646373125424e+01 8.204390927489171244e-06 8.204390927489201737e-06 3.997061859366808856e-05 5.637940044864646154e-05
2.055974566468246678e+01 8.231504049400308255e-06 8.231504049400337054e-06 4.006984187909701960e-05 5.653284997789766322e-05
2.086209486563367932e+01 8.258759196895081129e-06 8.258759196895109928e-06 4.016949699976143554e-05 5.668701539355162829e-05
2.116444406658489186e+01 8.286157387145442408e-06 8.286157387145472902e-06 4.026958677740630351e-05 5.684190155169722221e-05
2.146679326753610439e+01 8.313699646536518615e-06 8.313699646536547414e-06 4.037011405864099209e-05 5.699751335171405982e-05
2.176914246848731693e+01 8.341387010767354652e-06 8.341387010767383452e-06 4.047108171521384551e-05 5.715385573674858531e-05
2.207149166943853302e+01 8.369220524952944012e-06 8.369220524952974505e-06 4.057249264429034925e-05 5.731093369419626438e-05
2.237384087038974556e+01 8.397201243727588809e-06 8.397201243727619302e-06 4.067434976873486000e-05 5.746875225619006472e-05
2.267619007134095810e+01 8.425330231349537156e-06 8.425330231349565955e-06 4.077665603739639457e-05 5.762731650009549598e-05
2.297853927229217064e+01 8.453608561807024908e-06 8.453608561807057095e-06 4.087941442539782725e-05 5.778663154901191094e-05
2.328088847324338317e+01 8.482037318925650642e-06 8.482037318925681135e-06 4.098262793442918685e-05 5.794670257228052201e-05
2.358323767419459571e+01 8.510617596477141467e-06 8.510617596477173654e-06 4.108629959304474841e-05 5.810753478599906522e-05
2.388558687514580825e+01 8.539350498289543533e-06 8.539350498289572332e-06 4.119043245696413647e-05 5.826913345354325403e-05
2.418793607609702079e+01 8.568237138358820323e-06 8.568237138358852510e-06 4.129502960937748057e-05 5.843150388609515171e-05
2.449028527704823333e+01 8.597278640961916301e-06 8.597278640961946794e-06 4.140009416125454836e-05 5.859465144317841485e-05
2.479263447799944586e+01 8.626476140771287626e-06 8.626476140771318119e-06 4.150562925165814782e-05 5.875858153320075356e-05
