mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
6,178.83265937597406,0.0,0.0,0.47288856400339385,0.0,0.0,0.22362359396519194,0.22362359396519194
7,186.78478021618545,0.015621662216545354,0.346296032639174,0.0,0.0002440363304078407,0.11992094222163188,0.0,0.12016497855203973
8,186.78478021618545,0.346296032639174,-0.015621662216545354,0.0,0.11992094222163188,0.0002440363304078407,0.0,0.12016497855203973
9,293.3826616278653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,304.51494327452366,-0.13679581975203886,0.0009386338009868549,0.0,0.018713096301632304,8.810334123550307e-07,0.0,0.01871397733504466
11,304.51494327452366,-0.0009386338009868549,-0.13679581975204433,0.0,8.810334123550307e-07,0.0187130963016338,0.0,0.018713977335046154
12,342.94422892386444,0.0,0.0,1.1847825733002757,0.0,0.0,1.403709745996023,1.403709745996023
13,473.57998761596605,-0.34945105641659513,0.0007056296882336661,0.0,0.12211604083067436,4.979132569167407e-07,0.0,0.12211653874393127
14,473.57998761596605,-0.0007056296882336661,-0.34945105641659513,0.0,4.979132569167407e-07,0.12211604083067436,0.0,0.12211653874393127
15,554.6984019024255,0.0,0.0,-0.8867288530134984,0.0,0.0,0.7862880587666343,0.7862880587666343
