mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
6,178.83265937597406,0.024133022720117553,0.06659254214451117,-0.07772499999998406,2.5974999999999954e-14,-8.611750000000014e-09,2.5974999999999954e-14,-0.07772499999998406,-9.08975000000002e-09,-8.611750000000014e-09,-9.08975000000002e-09,-0.01740000000001185
7,186.78478021618545,3.1400213009563084e-05,0.75,0.0,-1.8356250000000003e-07,0.00014353325,-1.8356250000000003e-07,0.0,0.00340983375,0.00014353325,0.00340983375,0.0
8,186.78478021618545,3.140039285447087e-05,0.75,0.0,1.7270999999999983e-07,0.003409844,1.7270999999999983e-07,0.0,-0.00014352214999999998,0.003409844,-0.00014352214999999998,0.0
9,293.3826616278653,0.029869896042870245,0.75,-0.1507499999999995,4.074437499999995e-14,-2.988525e-08,4.074437499999995e-14,0.1507499999999995,2.9846249999999975e-08,-2.988525e-08,2.9846249999999975e-08,0.0
10,304.51494327452366,0.09324893523604949,0.7500000000000001,0.0,1.6296000000000002e-07,0.273963375,1.6296000000000002e-07,0.0,-0.00185772325,0.273963375,-0.00185772325,0.0
11,304.51494327452366,0.09324893528801657,0.75,0.0,2.4042749999999976e-07,0.0018577345,2.4042749999999976e-07,0.0,0.273963375,0.0018577345,0.273963375,0.0
12,342.94422892386444,0.8269132683389243,0.00585947668087169,-0.544699999999998,8.325650000000017e-14,-7.635000000000253e-10,8.325650000000017e-14,-0.544699999999998,1.5600000000001476e-10,-7.635000000000253e-10,1.5600000000001476e-10,-0.7246749999999968
13,473.57998761596605,0.0013349961555157329,0.75,0.0,-5.1580500000000056e-08,0.0449986275,-5.1580500000000056e-08,0.0,-9.9493525e-05,0.0449986275,-9.9493525e-05,0.0
14,473.57998761596605,0.001334995563749251,0.75,0.0,-2.7616324999999994e-07,9.950519999999999e-05,-2.7616324999999994e-07,0.0,0.044998617500000004,9.950519999999999e-05,0.044998617500000004,0.0
15,554.6984019024255,1.0,0.004835598317266554,0.8464750000000132,-2.9103750000000054e-14,-2.002525000000004e-08,-2.9103750000000054e-14,0.8464750000000132,-1.9546500000000042e-08,-2.002525000000004e-08,-1.9546500000000042e-08,1.0978249999999967
