# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.146828949900207088e-04
2.973492009512127554e-01 2.150490163207380626e-04
5.946984019024255108e-01 2.154161585807579668e-04
8.920476028536382662e-01 2.157843259496642111e-04
1.189396803804851022e+00 2.161535226308250262e-04
1.486746004756063666e+00 2.165237528515736036e-04
1.784095205707276532e+00 2.168950208633907840e-04
2.081444406658489399e+00 2.172673309420892357e-04
2.378793607609702043e+00 2.176406873879997207e-04
2.676142808560914688e+00 2.180150945261589328e-04
2.973492009512127332e+00 2.183905567064990704e-04
3.270841210463340420e+00 2.187670783040399569e-04
3.568190411414553065e+00 2.191446637190821371e-04
3.865539612365765709e+00 2.195233173774026032e-04
4.162888813316978798e+00 2.199030437304520379e-04
4.460238014268191442e+00 2.202838472555543618e-04
4.757587215219404086e+00 2.206657324561076092e-04
5.054936416170616731e+00 2.210487038617880019e-04
5.352285617121829375e+00 2.214327660287545923e-04
5.649634818073042020e+00 2.218179235398573220e-04
5.946984019024254664e+00 2.222041810048461100e-04
6.244333219975468197e+00 2.225915430605827873e-04
6.541682420926680841e+00 2.229800143712546573e-04
6.839031621877893485e+00 2.233695996285904692e-04
7.136380822829106130e+00 2.237603035520788577e-04
7.433730023780318774e+00 2.241521308891880832e-04
7.731079224731531419e+00 2.245450864155893237e-04
8.028428425682744063e+00 2.249391749353808062e-04
8.325777626633957595e+00 2.253344012813157063e-04
8.623126827585169352e+00 2.257307703150311857e-04
8.920476028536382884e+00 2.261282869272801402e-04
9.217825229487594640e+00 2.265269560381659572e-04
9.515174430438808173e+00 2.269267825973787626e-04
9.812523631390021706e+00 2.273277715844344610e-04
1.010987283234123346e+01 2.277299280089167832e-04
1.040722203329244699e+01 2.281332569107209611e-04
1.070457123424365875e+01 2.285377633603006002e-04
1.100192043519487228e+01 2.289434524589168025e-04
1.129926963614608404e+01 2.293503293388902975e-04
1.159661883709729757e+01 2.297583991638550910e-04
1.189396803804850933e+01 2.301676671290167771e-04
1.219131723899972286e+01 2.305781384614117159e-04
1.248866643995093639e+01 2.309898184201695192e-04
1.278601564090214815e+01 2.314027122967790052e-04
1.308336484185336168e+01 2.318168254153560781e-04
1.338071404280457344e+01 2.322321631329146425e-04
1.367806324375578697e+01 2.326487308396409884e-04
1.397541244470699873e+01 2.330665339591704794e-04
1.427276164565821226e+01 2.334855779488673037e-04
1.457011084660942579e+01 2.339058683001076411e-04
1.486746004756063755e+01 2.343274105385651873e-04
1.516480924851185108e+01 2.347502102245006361e-04
1.546215844946306284e+01 2.351742729530534109e-04
1.575950765041427637e+01 2.355996043545372995e-04
1.605685685136548813e+01 2.360262100947386370e-04
1.635420605231670166e+01 2.364540958752184730e-04
1.665155525326791519e+01 2.368832674336171507e-04
1.694890445421912872e+01 2.373137305439633048e-04
1.724625365517033870e+01 2.377454910169851904e-04
1.754360285612155224e+01 2.381785547004262936e-04
1.784095205707276577e+01 2.386129274793635997e-04
1.813830125802397930e+01 2.390486152765303055e-04
1.843565045897518928e+01 2.394856240526412701e-04
1.873299965992640281e+01 2.399239598067226661e-04
1.903034886087761635e+01 2.403636285764450470e-04
1.932769806182882988e+01 2.408046364384599917e-04
1.962504726278004341e+01 2.412469895087411944e-04
1.992239646373125339e+01 2.416906939429280755e-04
2.021974566468246692e+01 2.421357559366749492e-04
2.051709486563368046e+01 2.425821817260026027e-04
2.081444406658489399e+01 2.430299775876549717e-04
2.111179326753610397e+01 2.434791498394588789e-04
2.140914246848731750e+01 2.439297048406890848e-04
2.170649166943853103e+01 2.443816489924359675e-04
2.200384087038974457e+01 2.448349887379787869e-04
2.230119007134095810e+01 2.452897305631625258e-04
2.259853927229216808e+01 2.457458809967790684e-04
2.289588847324338161e+01 2.462034466109529326e-04
2.319323767419459514e+01 2.466624340215315824e-04
2.349058687514580868e+01 2.471228498884796981e-04
2.378793607609701866e+01 2.475847009162787053e-04
2.408528527704823219e+01 2.480479938543305850e-04
2.438263447799944572e+01 2.485127354973663480e-04
2.467998367895065925e+01 2.489789326858593316e-04
2.497733287990187279e+01 2.494465923064436482e-04
2.527468208085308277e+01 2.499157212923367529e-04
2.557203128180429630e+01 2.503863266237679741e-04
2.586938048275550983e+01 2.508584153284116529e-04
2.616672968370672336e+01 2.513319944818248890e-04
2.646407888465793690e+01 2.518070712078915763e-04
2.676142808560914688e+01 2.522836526792705575e-04
2.705877728656036041e+01 2.527617461178500134e-04
2.735612648751157394e+01 2.532413587952071104e-04
2.765347568846278747e+01 2.537224980330723099e-04
2.795082488941399745e+01 2.542051712038008882e-04
2.824817409036521099e+01 2.546893857308483587e-04
2.854552329131642452e+01 2.551751490892527796e-04
2.884287249226763805e+01 2.556624688061226447e-04
2.914022169321885158e+01 2.561513524611304664e-04
2.943757089417006156e+01 2.566418076870128099e-04
2.973492009512127510e+01 2.571338421700758567e-04
3.003226929607248863e+01 2.576274636507074728e-04
3.032961849702370216e+01 2.581226799238954582e-04
3.062696769797491214e+01 2.586194988397527879e-04
3.092431689892612567e+01 2.591179283040478953e-04
3.122166609987733921e+01 2.596179762787431417e-04
3.151901530082855274e+01 2.601196507825389768e-04
3.181636450177976627e+01 2.606229598914246051e-04
3.211371370273097625e+01 2.611279117392367299e-04
3.241106290368219334e+01 2.616345145182242052e-04
3.270841210463340332e+01 2.621427764796200070e-04
3.300576130558461330e+01 2.626527059342205223e-04
3.330311050653583038e+01 2.631643112529723737e-04
3.360045970748704036e+01 2.636776008675660197e-04
3.389780890843825745e+01 2.641925832710370538e-04
3.419515810938946743e+01 2.647092670183760136e-04
3.449250731034067741e+01 2.652276607271443704e-04
3.478985651129189449e+01 2.657477730780996800e-04
3.508720571224310447e+01 2.662696128158284861e-04
3.538455491319431445e+01 2.667931887493865412e-04
3.568190411414553154e+01 2.673185097529482985e-04
3.597925331509674152e+01 2.678455847664641546e-04
3.627660251604795860e+01 2.683744227963265295e-04
3.657395171699916858e+01 2.689050329160442947e-04
3.687130091795037856e+01 2.694374242669260369e-04
3.716865011890159565e+01 2.699716060587725925e-04
3.746599931985280563e+01 2.705075875705776050e-04
3.776334852080402271e+01 2.710453781512391948e-04
3.806069772175523269e+01 2.715849872202784603e-04
3.835804692270644267e+01 2.721264242685696340e-04
3.865539612365765976e+01 2.726696988590789116e-04
3.895274532460886974e+01 2.732148206276123893e-04
3.925009452556008682e+01 2.737617992835760352e-04
3.954744372651129680e+01 2.743106446107432500e-04
3.984479292746250678e+01 2.748613664680344629e-04
4.014214212841372387e+01 2.754139747903068102e-04
4.043949132936493385e+01 2.759684795891534630e-04
4.073684053031615093e+01 2.765248909537153157e-04
4.103418973126736091e+01 2.770832190515021601e-04
4.133153893221857089e+01 2.776434741292259497e-04
4.162888813316978798e+01 2.782056665136448505e-04
4.192623733412099796e+01 2.787698066124191646e-04
4.222358653507220794e+01 2.793359049149784753e-04
4.252093573602342502e+01 2.799039719934011514e-04
4.281828493697463500e+01 2.804740185033057246e-04
4.311563413792585209e+01 2.810460551847543550e-04
4.341298333887706207e+01 2.816200928631691983e-04
4.371033253982827205e+01 2.821961424502609714e-04
4.400768174077948913e+01 2.827742149449706359e-04
4.430503094173069911e+01 2.833543214344244718e-04
4.460238014268191620e+01 2.839364730949020532e-04
4.489972934363312618e+01 2.845206811928179935e-04
4.519707854458433616e+01 2.851069570857174052e-04
4.549442774553555324e+01 2.856953122232853471e-04
4.579177694648676322e+01 2.862857581483705814e-04
4.608912614743798031e+01 2.868783064980240231e-04
4.638647534838919029e+01 2.874729690045516083e-04
4.668382454934040027e+01 2.880697574965822880e-04
4.698117375029161735e+01 2.886686839001512540e-04
4.727852295124282733e+01 2.892697602397988326e-04
4.757587215219403731e+01 2.898729986396847728e-04
4.787322135314525440e+01 2.904784113247193406e-04
4.817057055409646438e+01 2.910860106217096998e-04
4.846791975504768146e+01 2.916958089605238579e-04
4.876526895599889144e+01 2.923078188752709821e-04
4.906261815695010142e+01 2.929220530054992260e-04
4.935996735790131851e+01 2.935385240974104702e-04
4.965731655885252849e+01 2.941572450050937101e-04
4.995466575980374557e+01 2.947782286917761713e-04
5.025201496075495555e+01 2.954014882310926392e-04
5.054936416170616553e+01 2.960270368083738708e-04
5.084671336265738262e+01 2.966548877219537085e-04
5.114406256360859260e+01 2.972850543844965778e-04
5.144141176455980968e+01 2.979175503243435236e-04
5.173876096551101966e+01 2.985523891868793354e-04
5.203611016646222964e+01 2.991895847359194588e-04
5.233345936741344673e+01 2.998291508551186989e-04
5.263080856836465671e+01 3.004711015493999825e-04
5.292815776931587379e+01 3.011154509464059417e-04
5.322550697026708377e+01 3.017622132979713148e-04
5.352285617121829375e+01 3.024114029816193081e-04
5.382020537216951084e+01 3.030630345020789368e-04
5.411755457312072082e+01 3.037171224928271397e-04
5.441490377407193080e+01 3.043736817176538796e-04
5.471225297502314788e+01 3.050327270722513122e-04
5.500960217597435786e+01 3.056942735858278926e-04
5.530695137692557495e+01 3.063583364227472007e-04
5.560430057787678493e+01 3.070249308841917582e-04
5.590164977882799491e+01 3.076940724098543834e-04
5.619899897977921199e+01 3.083657765796535624e-04
5.649634818073042197e+01 3.090400591154782552e-04
5.679369738168163906e+01 3.097169358829581810e-04
5.709104658263284904e+01 3.103964228932632689e-04
5.738839578358405902e+01 3.110785363049305922e-04
5.768574498453527610e+01 3.117632924257211736e-04
5.798309418548648608e+01 3.124507077145056836e-04
5.828044338643770317e+01 3.131407987831809304e-04
5.857779258738891315e+01 3.138335823986162739e-04
5.887514178834012313e+01 3.145290754846316443e-04
5.917249098929134021e+01 3.152272951240076525e-04
5.946984019024255019e+01 3.159282585605276313e-04
5.976718939119376728e+01 3.166319832010535025e-04
6.006453859214497726e+01 3.173384866176346048e-04
6.036188779309618724e+01 3.180477865496516491e-04
6.065923699404740432e+01 3.187599009059952060e-04
6.095658619499861430e+01 3.194748477672797009e-04
6.125393539594982428e+01 3.201926453880949222e-04
6.155128459690104137e+01 3.209133121992938510e-04
6.184863379785225135e+01 3.216368668103182743e-04
6.214598299880346843e+01 3.223633280115632133e-04
6.244333219975467841e+01 3.230927147767814669e-04
6.274068140070588839e+01 3.238250462655269698e-04
6.303803060165710548e+01 3.245603418256400551e-04
6.333537980260831546e+01 3.252986209957745120e-04
6.363272900355953254e+01 3.260399035079668208e-04
6.393007820451074252e+01 3.267842092902488622e-04
6.422742740546195250e+01 3.275315584693057314e-04
6.452477660641316959e+01 3.282819713731775150e-04
6.482212580736438667e+01 3.290354685340086656e-04
6.511947500831558955e+01 3.297920706908432373e-04
6.541682420926680663e+01 3.305517987924689108e-04
6.571417341021802372e+01 3.313146740003096989e-04
6.601152261116922659e+01 3.320807176913686339e-04
6.630887181212044368e+01 3.328499514612222256e-04
6.660622101307166076e+01 3.336223971270655514e-04
6.690357021402286364e+01 3.343980767308122075e-04
6.720091941497408072e+01 3.351770125422474933e-04
6.749826861592529781e+01 3.359592270622370003e-04
6.779561781687651489e+01 3.367447430259921199e-04
6.809296701782771777e+01 3.375335834063935571e-04
6.839031621877893485e+01 3.383257714173726859e-04
6.868766541973015194e+01 3.391213305173544873e-04
6.898501462068135481e+01 3.399202844127604986e-04
6.928236382163257190e+01 3.407226570615760550e-04
6.957971302258378898e+01 3.415284726769799275e-04
6.987706222353499186e+01 3.423377557310406391e-04
7.017441142448620894e+01 3.431505309584795141e-04
7.047176062543742603e+01 3.439668233605010553e-04
7.076910982638862890e+01 3.447866582086938497e-04
7.106645902733984599e+01 3.456100610490025972e-04
7.136380822829106307e+01 3.464370577057727810e-04
7.166115742924228016e+01 3.472676742858690096e-04
7.195850663019348303e+01 3.481019371828709876e-04
7.225585583114470012e+01 3.489398730813451097e-04
7.255320503209591720e+01 3.497815089611962854e-04
7.285055423304712008e+01 3.506268721021011336e-04
7.314790343399833716e+01 3.514759900880230878e-04
7.344525263494955425e+01 3.523288908118125040e-04
7.374260183590075712e+01 3.531856024798935034e-04
7.403995103685197421e+01 3.540461536170389618e-04
7.433730023780319129e+01 3.549105730712358124e-04
7.463464943875440838e+01 3.557788900186423437e-04
7.493199863970561125e+01 3.566511339686409608e-04
7.522934784065682834e+01 3.575273347689866821e-04
7.552669704160804542e+01 3.584075226110541900e-04
7.582404624255924830e+01 3.592917280351867423e-04
7.612139544351046538e+01 3.601799819361473781e-04
7.641874464446168247e+01 3.610723155686765924e-04
7.671609384541288534e+01 3.619687605531563164e-04
7.701344304636410243e+01 3.628693488813869265e-04
7.731079224731531951e+01 3.637741129224752209e-04
7.760814144826652239e+01 3.646830854288383517e-04
7.790549064921773947e+01 3.655962995423268566e-04
7.820283985016895656e+01 3.665137888004668448e-04
7.850018905112017364e+01 3.674355871428287086e-04
7.879753825207137652e+01 3.683617289175199227e-04
7.909488745302259360e+01 3.692922488878087601e-04
7.939223665397381069e+01 3.702271822388802816e-04
7.968958585492501356e+01 3.711665645847287711e-04
7.998693505587623065e+01 3.721104319751878655e-04
8.028428425682744773e+01 3.730588209031041242e-04
8.058163345777865061e+01 3.740117683116558271e-04
8.087898265872986769e+01 3.749693116018206884e-04
8.117633185968108478e+01 3.759314886399969845e-04
8.147368106063230186e+01 3.768983377657792355e-04
8.177103026158350474e+01 3.778698977998966790e-04
8.206837946253472182e+01 3.788462080523133445e-04
8.236572866348593891e+01 3.798273083304972634e-04
8.266307786443714178e+01 3.808132389478608207e-04
8.296042706538835887e+01 3.818040407323786438e-04
8.325777626633957595e+01 3.827997550353846564e-04
8.355512546729077883e+01 3.838004237405538265e-04
8.385247466824199591e+01 3.848060892730756550e-04
8.414982386919321300e+01 3.858167946090189176e-04
8.444717307014441587e+01 3.868325832848970927e-04
8.474452227109563296e+01 3.878534994074371860e-04
8.504187147204685004e+01 3.888795876635575883e-04
8.533922067299806713e+01 3.899108933305597390e-04
8.563656987394927000e+01 3.909474622865402073e-04
8.593391907490048709e+01 3.919893410210273659e-04
8.623126827585170417e+01 3.930365766458479701e-04
8.652861747680290705e+01 3.940892169062322069e-04
8.682596667775412413e+01 3.951473101921598166e-04
8.712331587870534122e+01 3.962109055499553095e-04
8.742066507965654409e+01 3.972800526941396514e-04
8.771801428060776118e+01 3.983548020195418313e-04
8.801536348155897826e+01 3.994352046136802337e-04
8.831271268251019535e+01 4.005213122694186931e-04
8.861006188346139822e+01 4.016131774979057965e-04
8.890741108441261531e+01 4.027108535418036676e-04
8.920476028536383239e+01 4.038143943888145818e-04
8.950210948631503527e+01 4.049238547855122956e-04
8.979945868726625235e+01 4.060392902514879036e-04
9.009680788821746944e+01 4.071607570938159688e-04
9.039415708916867231e+01 4.082883124218515507e-04
9.069150629011988940e+01 4.094220141623665355e-04
9.098885549107110648e+01 4.105619210750330729e-04
9.128620469202230936e+01 4.117080927682646913e-04
9.158355389297352644e+01 4.128605897154246328e-04
9.188090309392474353e+01 4.140194732714101342e-04
9.217825229487596062e+01 4.151848056896246912e-04
9.247560149582716349e+01 4.163566501393473561e-04
9.277295069677838057e+01 4.175350707235099676e-04
9.307029989772959766e+01 4.187201324968947789e-04
9.336764909868080053e+01 4.199119014847615397e-04
9.366499829963201762e+01 4.211104447019199128e-04
9.396234750058323471e+01 4.223158301722541668e-04
9.425969670153443758e+01 4.235281269487179779e-04
9.455704590248565466e+01 4.247474051338086666e-04
9.485439510343687175e+01 4.259737359005359930e-04
9.515174430438807462e+01 4.272071915138984672e-04
9.544909350533929171e+01 4.284478453528841962e-04
9.574644270629050880e+01 4.296957719330052133e-04
9.604379190724172588e+01 4.309510469293875690e-04
9.634114110819292875e+01 4.322137472004277010e-04
9.663849030914414584e+01 4.334839508120336225e-04
9.693583951009536293e+01 4.347617370624668669e-04
9.723318871104656580e+01 4.360471865078030789e-04
9.753053791199778289e+01 4.373403809880289776e-04
9.782788711294899997e+01 4.386414036537936352e-04
9.812523631390020284e+01 4.399503389938332087e-04
9.842258551485141993e+01 4.412672728630908617e-04
9.871993471580263702e+01 4.425922925115469467e-04
9.901728391675385410e+01 4.439254866137878008e-04
9.931463311770505697e+01 4.452669452993281694e-04
9.961198231865627406e+01 4.466167601837146362e-04
9.990933151960749115e+01 4.479750244004290847e-04
