# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.30400000 1.7272340431e-02 -5.7777783927e-18 0.0000000000e+00 -5.7777783927e-18 1.7272340431e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2870800320e-04
0.60800000 3.4546739594e-02 -1.1555556785e-17 0.0000000000e+00 -1.1555556785e-17 3.4546739594e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5741971954e-04
0.91200000 5.1825256832e-02 -1.6863940408e-17 0.0000000000e+00 -1.6863940408e-17 5.1825256832e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.8613886224e-04
1.21600000 6.9109952719e-02 -2.2484437893e-17 0.0000000000e+00 -2.2484437893e-17 6.9109952719e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3148691448e-03
1.52000000 8.6402889673e-02 -2.8734059008e-17 0.0000000000e+00 -2.8734059008e-17 8.6402889673e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6436142809e-03
1.82400000 1.0370613257e-01 -3.4981232171e-17 0.0000000000e+00 -3.4981232171e-17 1.0370613257e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9723779848e-03
2.12800000 1.2102174936e-01 -3.9975053979e-17 0.0000000000e+00 -3.9975053979e-17 1.2102174936e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3011639711e-03
2.43200000 1.3835181170e-01 -4.4968875786e-17 0.0000000000e+00 -4.4968875786e-17 1.3835181170e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.6299759553e-03
2.73600000 1.5569839555e-01 -4.9962697594e-17 0.0000000000e+00 -4.9962697594e-17 1.5569839555e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9588176533e-03
3.04000000 1.7306358183e-01 -5.7463222112e-17 0.0000000000e+00 -5.7463222112e-17 1.7306358183e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2876927821e-03
3.34400000 1.9044945700e-01 -6.2452148016e-17 0.0000000000e+00 -6.2452148016e-17 1.9044945700e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6166050596e-03
3.64800000 2.0785811374e-01 -6.9962464342e-17 0.0000000000e+00 -6.9962464342e-17 2.0785811374e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9455582046e-03
3.95200000 2.2529165155e-01 -7.4956286150e-17 0.0000000000e+00 -7.4956286150e-17 2.2529165155e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.2745559372e-03
4.25600000 2.4275217740e-01 -7.9959899765e-17 0.0000000000e+00 -7.9959899765e-17 2.4275217740e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6036019787e-03
4.56000000 2.6024180637e-01 -8.4943929765e-17 0.0000000000e+00 -8.4943929765e-17 2.6024180637e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9327000518e-03
4.86400000 2.7776266229e-01 -8.9937751572e-17 0.0000000000e+00 -8.9937751572e-17 2.7776266229e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.2618538807e-03
5.16800000 2.9531687839e-01 -9.7448067899e-17 0.0000000000e+00 -9.7448067899e-17 2.9531687839e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5910671910e-03
5.47200000 3.1290659796e-01 -1.0494859242e-16 0.0000000000e+00 -1.0494859242e-16 3.1290659796e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.9203437102e-03
5.77600000 3.3053397502e-01 -1.0993262242e-16 0.0000000000e+00 -1.0993262242e-16 3.3053397502e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.2496871675e-03
6.08000000 3.4820117497e-01 -1.1242953332e-16 0.0000000000e+00 -1.1242953332e-16 3.4820117497e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5791012940e-03
6.38400000 3.6591037527e-01 -1.1991047422e-16 0.0000000000e+00 -1.1991047422e-16 3.6591037527e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.9085898228e-03
6.68800000 3.8366376612e-01 -1.2743058236e-16 0.0000000000e+00 -1.2743058236e-16 3.8366376612e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2381564889e-03
6.99200000 4.0146355117e-01 -1.3242440417e-16 0.0000000000e+00 -1.3242440417e-16 4.0146355117e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.5678050299e-03
7.29600000 4.1931194818e-01 -1.3491152326e-16 0.0000000000e+00 -1.3491152326e-16 4.1931194818e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.8975391855e-03
7.60000000 4.3721118973e-01 -1.4491875049e-16 0.0000000000e+00 -1.4491875049e-16 4.3721118973e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.2273626978e-03
7.90400000 4.5516352397e-01 -1.4991257230e-16 0.0000000000e+00 -1.4991257230e-16 4.5516352397e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5572793115e-03
8.20800000 4.7317121529e-01 -1.5490639411e-16 0.0000000000e+00 -1.5490639411e-16 4.7317121529e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.8872927738e-03
8.51200000 4.9123654507e-01 -1.5990021591e-16 0.0000000000e+00 -1.5990021591e-16 4.9123654507e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.2174068348e-03
8.81600000 5.0936181246e-01 -1.6489403772e-16 0.0000000000e+00 -1.6489403772e-16 5.0936181246e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.5476252475e-03
9.12000000 5.2754933504e-01 -1.7490126495e-16 0.0000000000e+00 -1.7490126495e-16 5.2754933504e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.8779517676e-03
9.42400000 5.4580144969e-01 -1.7488168134e-16 0.0000000000e+00 -1.7488168134e-16 5.4580144969e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0208390154e-02
9.72800000 5.6412051326e-01 -1.8490849218e-16 0.0000000000e+00 -1.8490849218e-16 5.6412051326e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0538944169e-02
10.03200000 5.8250890343e-01 -1.8988273037e-16 0.0000000000e+00 -1.8988273037e-16 5.8250890343e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0869617578e-02
10.33600000 6.0096901947e-01 -1.9487655218e-16 0.0000000000e+00 -1.9487655218e-16 6.0096901947e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1200414149e-02
10.64000000 6.1950328307e-01 -2.0490336303e-16 0.0000000000e+00 -2.0490336303e-16 6.1950328307e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1531337655e-02
10.94400000 6.3811413911e-01 -2.0989718483e-16 0.0000000000e+00 -2.0989718483e-16 6.3811413911e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1862391872e-02
11.24800000 6.5680405659e-01 -2.1487142303e-16 0.0000000000e+00 -2.1487142303e-16 6.5680405659e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2193580579e-02
11.55200000 6.7557552937e-01 -2.1986524483e-16 0.0000000000e+00 -2.1986524483e-16 6.7557552937e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2524907559e-02
11.85600000 6.9443107714e-01 -2.2485906664e-16 0.0000000000e+00 -2.2485906664e-16 6.9443107714e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2856376601e-02
12.16000000 7.1337324621e-01 -2.3486629387e-16 0.0000000000e+00 -2.3486629387e-16 7.1337324621e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3187991494e-02
12.46400000 7.3240461047e-01 -2.3986011568e-16 0.0000000000e+00 -2.3986011568e-16 7.3240461047e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3519756035e-02
12.76800000 7.5152777228e-01 -2.4988692652e-16 0.0000000000e+00 -2.4988692652e-16 7.5152777228e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3851674024e-02
13.07200000 7.7074536337e-01 -2.5486116472e-16 0.0000000000e+00 -2.5486116472e-16 7.7074536337e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4183749264e-02
13.37600000 7.9006004587e-01 -2.5987457014e-16 0.0000000000e+00 -2.5987457014e-16 7.9006004587e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4515985564e-02
13.68000000 8.0947451319e-01 -2.6986221375e-16 0.0000000000e+00 -2.6986221375e-16 8.0947451319e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4848386737e-02
13.98400000 8.2899149104e-01 -2.6986221375e-16 0.0000000000e+00 -2.6986221375e-16 8.2899149104e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5180956601e-02
14.28800000 8.4861373846e-01 -2.7988902460e-16 0.0000000000e+00 -2.7988902460e-16 8.4861373846e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5513698978e-02
14.59200000 8.6834404880e-01 -2.8987666821e-16 0.0000000000e+00 -2.8987666821e-16 8.6834404880e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5846617697e-02
14.89600000 8.8818525080e-01 -2.8987666821e-16 0.0000000000e+00 -2.8987666821e-16 8.8818525080e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6179716590e-02
15.20000000 9.0814020967e-01 -2.9986431183e-16 0.0000000000e+00 -2.9986431183e-16 9.0814020967e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6512999493e-02
15.50400000 9.2821182813e-01 -2.9982514460e-16 0.0000000000e+00 -2.9982514460e-16 9.2821182813e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6846470252e-02
15.80800000 9.4840304759e-01 -3.0985195544e-16 0.0000000000e+00 -3.0985195544e-16 9.4840304759e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7180132713e-02
16.11200000 9.6871684925e-01 -3.1987876629e-16 0.0000000000e+00 -3.1987876629e-16 9.6871684925e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7513990730e-02
16.41600000 9.8915625528e-01 -3.2986640990e-16 0.0000000000e+00 -3.2986640990e-16 9.8915625528e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7848048163e-02
16.72000000 1.0097243300e+00 -3.2986640990e-16 0.0000000000e+00 -3.2986640990e-16 1.0097243300e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8182308877e-02
17.02400000 1.0304241812e+00 -3.3985405352e-16 0.0000000000e+00 -3.3985405352e-16 1.0304241812e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8516776743e-02
17.32800000 1.0512589611e+00 -3.4984169713e-16 0.0000000000e+00 -3.4984169713e-16 1.0512589611e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8851455638e-02
17.63200000 1.0722318680e+00 -3.4984169713e-16 0.0000000000e+00 -3.4984169713e-16 1.0722318680e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9186349443e-02
17.93600000 1.0933461474e+00 -3.5982934075e-16 0.0000000000e+00 -3.5982934075e-16 1.0933461474e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9521462049e-02
18.24000000 1.1146050934e+00 -3.6985615159e-16 0.0000000000e+00 -3.6985615159e-16 1.1146050934e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9856797351e-02
18.54400000 1.1360120497e+00 -3.6985615159e-16 0.0000000000e+00 -3.6985615159e-16 1.1360120497e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0192359249e-02
18.84800000 1.1575704118e+00 -3.7984379521e-16 0.0000000000e+00 -3.7984379521e-16 1.1575704118e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0528151653e-02
19.15200000 1.1792836276e+00 -3.7980462798e-16 0.0000000000e+00 -3.7980462798e-16 1.1792836276e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0864178477e-02
19.45600000 1.2011551995e+00 -3.9985824967e-16 0.0000000000e+00 -3.9985824967e-16 1.2011551995e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1200443643e-02
19.76000000 1.2231886854e+00 -3.9985824967e-16 0.0000000000e+00 -3.9985824967e-16 1.2231886854e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1536951078e-02
20.06400000 1.2453877007e+00 -4.0984589328e-16 0.0000000000e+00 -4.0984589328e-16 1.2453877007e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1873704717e-02
20.36800000 1.2677559195e+00 -4.1983353690e-16 0.0000000000e+00 -4.1983353690e-16 1.2677559195e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2210708504e-02
20.67200000 1.2902970767e+00 -4.2986034774e-16 0.0000000000e+00 -4.2986034774e-16 1.2902970767e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2547966388e-02
20.97600000 1.3130149691e+00 -4.2986034774e-16 0.0000000000e+00 -4.2986034774e-16 1.3130149691e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2885482325e-02
21.28000000 1.3359134575e+00 -4.3988715859e-16 0.0000000000e+00 -4.3988715859e-16 1.3359134575e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3223260280e-02
21.58400000 1.3589964685e+00 -4.3984799136e-16 0.0000000000e+00 -4.3984799136e-16 1.3589964685e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3561304224e-02
