# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.3055766010e+01 -1.1185077278e-13 0.0000000000e+00 -1.1185077278e-13 1.3055766010e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3563739129e+00
0.36766954 1.3055849569e+01 -1.1187454111e-13 0.0000000000e+00 -1.1187454111e-13 1.3055849569e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3563763521e+00
0.73533908 1.3056100255e+01 -1.1187454111e-13 0.0000000000e+00 -1.1187454111e-13 1.3056100255e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3563836698e+00
1.10300863 1.3056518102e+01 -1.1187454111e-13 0.0000000000e+00 -1.1187454111e-13 1.3056518102e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3563958662e+00
1.47067817 1.3057103166e+01 -1.1187454111e-13 0.0000000000e+00 -1.1187454111e-13 1.3057103166e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3564129413e+00
1.83834771 1.3057855523e+01 -1.1187454111e-13 0.0000000000e+00 -1.1187454111e-13 1.3057855523e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3564348955e+00
2.20601725 1.3058775274e+01 -1.1189830943e-13 0.0000000000e+00 -1.1189830943e-13 1.3058775274e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3564617291e+00
2.57368680 1.3059862539e+01 -1.1192207776e-13 0.0000000000e+00 -1.1192207776e-13 1.3059862539e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3564934425e+00
2.94135634 1.3061117462e+01 -1.1192504880e-13 0.0000000000e+00 -1.1192504880e-13 1.3061117462e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3565300363e+00
3.30902588 1.3062540211e+01 -1.1196961441e-13 0.0000000000e+00 -1.1196961441e-13 1.3062540211e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3565715109e+00
3.67669542 1.3064130972e+01 -1.1197258545e-13 0.0000000000e+00 -1.1197258545e-13 1.3064130972e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3566178671e+00
4.04436496 1.3065889957e+01 -1.1202012211e-13 0.0000000000e+00 -1.1202012211e-13 1.3065889957e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3566691055e+00
