# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.184596531817836296e-04 1.184596531817848358e-04 2.228955730300867259e-05 2.592088636665771414e-04
3.039999999999999925e-01 1.191673560432897870e-04 1.191673560432909932e-04 2.233287219486057427e-05 2.606675842814413341e-04
6.079999999999999849e-01 1.198817227864777636e-04 1.198817227864789833e-04 2.237631346216331079e-05 2.621397590351200678e-04
9.119999999999999218e-01 1.206028381631253936e-04 1.206028381631266269e-04 2.241988159698552453e-05 2.636255579232375823e-04
1.215999999999999970e+00 1.213307882788185952e-04 1.213307882788198285e-04 2.246357709379306612e-05 2.651251536514314831e-04
1.520000000000000018e+00 1.220656606189812759e-04 1.220656606189825228e-04 2.250740044946292987e-05 2.666387216874267557e-04
1.823999999999999844e+00 1.228075440754908829e-04 1.228075440754921297e-04 2.255135216329747034e-05 2.681664403142804999e-04
2.128000000000000114e+00 1.235565289738944526e-04 1.235565289738956994e-04 2.259543273703853425e-05 2.697084906848286659e-04
2.431999999999999940e+00 1.243127071012406634e-04 1.243127071012419102e-04 2.263964267488184309e-05 2.712650568773643895e-04
2.735999999999999766e+00 1.250761717345442081e-04 1.250761717345454820e-04 2.268398248349137237e-05 2.728363259525810490e-04
3.040000000000000036e+00 1.258470176698985065e-04 1.258470176698997804e-04 2.272845267201387652e-05 2.744224880118121363e-04
3.343999999999999861e+00 1.266253412522537784e-04 1.266253412522550523e-04 2.277305375209348837e-05 2.760237362566023665e-04
3.647999999999999687e+00 1.274112404058783815e-04 1.274112404058797097e-04 2.281778623788646766e-05 2.776402670496445554e-04
3.951999999999999957e+00 1.282048146655205166e-04 1.282048146655218176e-04 2.286265064607595639e-05 2.792722799771183177e-04
4.256000000000000227e+00 1.290061652082894091e-04 1.290061652082907372e-04 2.290764749588695772e-05 2.809199779124670667e-04
4.559999999999999609e+00 1.298153948862751849e-04 1.298153948862765402e-04 2.295277730910133524e-05 2.825835670816530536e-04
4.863999999999999879e+00 1.306326082599260075e-04 1.306326082599273356e-04 2.299804061007289016e-05 2.842632571299262773e-04
5.168000000000000149e+00 1.314579116322038880e-04 1.314579116322052432e-04 2.304343792574267566e-05 2.859592611901518272e-04
5.471999999999999531e+00 1.322914130835389844e-04 1.322914130835403125e-04 2.308896978565423333e-05 2.876717959527334964e-04
5.775999999999999801e+00 1.331332225076048306e-04 1.331332225076062130e-04 2.313463672196913452e-05 2.894010817371801781e-04
6.080000000000000071e+00 1.339834516479349610e-04 1.339834516479363163e-04 2.318043926948241327e-05 2.911473425653536974e-04
6.383999999999999453e+00 1.348422141354054871e-04 1.348422141354068695e-04 2.322637796563833471e-05 2.929108062364506608e-04
6.687999999999999723e+00 1.357096255266057984e-04 1.357096255266072079e-04 2.327245335054605496e-05 2.946917044037590376e-04
6.991999999999999993e+00 1.365858033431221889e-04 1.365858033431236254e-04 2.331866596699557587e-05 2.964902726532414037e-04
7.295999999999999375e+00 1.374708671117585317e-04 1.374708671117599412e-04 2.336501636047366587e-05 2.983067505839921219e-04
7.599999999999999645e+00 1.383649384057205126e-04 1.383649384057219491e-04 2.341150507918000437e-05 3.001413818906224491e-04
7.903999999999999915e+00 1.392681408867897923e-04 1.392681408867912560e-04 2.345813267404332284e-05 3.019944144476243678e-04
8.208000000000000185e+00 1.401806003485140686e-04 1.401806003485155051e-04 2.350489969873781018e-05 3.038661003957673500e-04
8.512000000000000455e+00 1.411024447604429305e-04 1.411024447604443670e-04 2.355180670969945700e-05 3.057566962305867104e-04
8.815999999999998948e+00 1.420338043134373454e-04 1.420338043134388090e-04 2.359885426614266769e-05 3.076664628930188424e-04
9.119999999999999218e+00 1.429748114660829713e-04 1.429748114660844621e-04 2.364604293007690290e-05 3.095956658622443227e-04
9.423999999999999488e+00 1.439256009922381145e-04 1.439256009922396053e-04 2.369337326632342706e-05 3.115445752508011739e-04
9.727999999999999758e+00 1.448863100297481253e-04 1.448863100297496161e-04 2.374084584253227618e-05 3.135134659020300278e-04
1.003200000000000003e+01 1.458570781303588954e-04 1.458570781303604133e-04 2.378846122919919508e-05 3.155026174899185206e-04
1.033600000000000030e+01 1.468380473108634441e-04 1.468380473108649620e-04 2.383621999968285252e-05 3.175123146214112722e-04
1.064000000000000057e+01 1.478293621055165618e-04 1.478293621055181068e-04 2.388412273022200546e-05 3.195428469412566266e-04
1.094399999999999906e+01 1.488311696197532595e-04 1.488311696197548045e-04 2.393216999995298182e-05 3.215945092394610627e-04
1.124799999999999933e+01 1.498436195852484855e-04 1.498436195852500305e-04 2.398036239092707854e-05 3.236676015614255945e-04
1.155199999999999960e+01 1.508668644163564351e-04 1.508668644163580071e-04 2.402870048812827815e-05 3.257624293208427136e-04
1.185599999999999987e+01 1.519010592679686741e-04 1.519010592679702462e-04 2.407718487949090763e-05 3.278793034154298212e-04
1.216000000000000014e+01 1.529463620948329542e-04 1.529463620948345263e-04 2.412581615591759561e-05 3.300185403455850727e-04
1.246400000000000041e+01 1.540029337123731868e-04 1.540029337123748131e-04 2.417459491129720229e-05 3.321804623360452157e-04
1.276799999999999891e+01 1.550709378590567366e-04 1.550709378590583358e-04 2.422352174252299681e-05 3.343653974606381201e-04
1.307199999999999918e+01 1.561505412603512641e-04 1.561505412603529175e-04 2.427259724951089554e-05 3.365736797702151110e-04
1.337599999999999945e+01 1.572419136943200137e-04 1.572419136943216671e-04 2.432182203521782575e-05 3.388056494238595438e-04
1.367999999999999972e+01 1.583452280589017357e-04 1.583452280589033891e-04 2.437119670566027904e-05 3.410616528234653496e-04
1.398399999999999999e+01 1.594606604409263889e-04 1.594606604409280423e-04 2.442072186993293252e-05 3.433420427517873603e-04
