# Periodic mirror-symmetry analysis
# mirror_asymmetry = 0.0982754838413
# odd_rms_eV = 0.0576230036119
# mirror_center_fraction = 0.38764693877
# fraction  profile_eV  mirrored_eV  odd_component_eV
     0.000000000      -0.847459432      -0.847459432      -0.000000000
     0.033333333      -0.860927568      -0.794130232      -0.033398668
     0.066666667      -0.829315774      -0.708257665      -0.060529054
     0.100000000      -0.750785171      -0.597994404      -0.076395384
     0.133333333      -0.627751674      -0.471272590      -0.078239542
     0.166666667      -0.466950091      -0.334980129      -0.065984981
     0.200000000      -0.278622688      -0.194443765      -0.042089461
     0.233333333      -0.075167975      -0.053370551      -0.010898712
     0.266666667       0.130259952       0.085733351       0.022263301
     0.300000000       0.324889104       0.220909911       0.051989596
     0.333333333       0.497211184       0.350195863       0.073507661
     0.366666667       0.637778397       0.471296254       0.083241071
     0.400000000       0.739980653       0.581345625       0.079317514
     0.433333333       0.800646776       0.676605498       0.062020639
     0.466666667       0.820199440       0.752197521       0.034000959
     0.500000000       0.802180181       0.802180181       0.000000000
     0.533333333       0.752197521       0.820199440      -0.034000959
     0.566666667       0.676605498       0.800646776      -0.062020639
     0.600000000       0.581345625       0.739980653      -0.079317514
     0.633333333       0.471296254       0.637778397      -0.083241071
     0.666666667       0.350195863       0.497211184      -0.073507661
     0.700000000       0.220909911       0.324889104      -0.051989596
     0.733333333       0.085733351       0.130259952      -0.022263301
     0.766666667      -0.053370551      -0.075167975       0.010898712
     0.800000000      -0.194443765      -0.278622688       0.042089461
     0.833333333      -0.334980129      -0.466950091       0.065984981
     0.866666667      -0.471272590      -0.627751674       0.078239542
     0.900000000      -0.597994404      -0.750785171       0.076395384
     0.933333333      -0.708257665      -0.829315774       0.060529054
     0.966666667      -0.794130232      -0.860927568       0.033398668
